"Name","Rank","Number of Births"
"Jack","1","686"
"James","2","589"
"Noah","3","494"
"Conor","4","489"
"Daniel","5","433"
"Harry","6","429"
"Luke","7","368"
"Michael","8","354"
"Adam","9","349"
"Charlie","10","347"
"Liam","11","338"
"Thomas","12","321"
"Seán","13","317"
"Fionn","14","309"
"Oisín","15","303"
"Alex","16","292"
"Cillian","17","289"
"Patrick","18","282"
"Finn","18","282"
"Tadhg","20","280"
"Darragh","21","277"
"Jamie","22","276"
"Matthew","23","259"
"Oliver","24","253"
"Ryan","25","250"
"Dylan","26","247"
"Cian","27","241"
"John","27","241"
"Ben","29","234"
"David","30","225"
"Alexander","31","206"
"Tom","32","198"
"Rían","33","193"
"Aaron","34","190"
"Max","35","189"
"Leo","36","186"
"Ethan","37","185"
"Oscar","37","185"
"Sam","39","183"
"Jake","40","182"
"Jacob","41","180"
"Ollie","42","172"
"Bobby","43","165"
"Evan","44","163"
"Logan","45","162"
"Callum","46","159"
"Alfie","46","159"
"William","48","157"
"Joseph","49","150"
"Nathan","49","150"
"Aidan","51","149"
"Joshua","52","146"
"Mason","53","142"
"Samuel","54","141"
"Lucas","55","129"
"Benjamin","56","124"
"Robert","57","116"
"Donnacha","57","116"
"Senan","59","114"
"Cathal","60","113"
"Leon","61","106"
"Theo","62","104"
"Muhammad","63","102"
"Louis","64","101"
"Eoin","65","98"
"Kyle","65","98"
"Shay","65","98"
"Jayden","68","96"
"Tommy","69","95"
"Danny","70","94"
"George","70","94"
"Rory","72","93"
"Arthur","73","92"
"Sean","74","91"
"Christopher","75","90"
"Andrew","76","89"
"Eoghan","77","88"
"Luca","77","88"
"Ronan","79","87"
"Martin","79","87"
"Billy","81","86"
"Henry","81","86"
"Mark","83","85"
"Kai","84","83"
"Zach","85","81"
"Peter","86","80"
"Edward","87","78"
"Hugo","87","78"
"Archie","89","75"
"Tomás","89","75"
"Freddie","91","72"
"Shane","92","71"
"Tyler","93","70"
"Sebastian","93","70"
"Theodore","93","70"
"Kevin","96","69"
"Scott","96","69"
"Anthony","98","68"
"Isaac","98","68"
"Dara","100","67"
"Frankie","100","67"
"Rian","102","65"
"Killian","103","64"
"Jaxon","103","64"
"Josh","105","63"
"Blake","106","62"
"Gabriel","106","62"
"Hunter","106","62"
"Brody","109","61"
"Kayden","110","60"
"Jakub","111","59"
"Caleb","111","59"
"Arlo","111","59"
"Sonny","114","58"
"Ruairí","114","58"
"Brian","116","56"
"Joey","117","55"
"Ciarán","117","55"
"Jason","119","54"
"Filip","120","53"
"Daithí","120","53"
"Cormac","122","52"
"Lorcan","122","52"
"Harrison","122","52"
"Tadgh","125","50"
"Reuben","125","50"
"Jackson","125","50"
"Cody","128","49"
"Eli","129","48"
"Dáithí","129","48"
"Odhran","131","47"
"Lewis","131","47"
"Elliot","133","46"
"Elijah","133","46"
"Hugh","135","45"
"Tiernan","135","45"
"Jonah","135","45"
"Eric","138","44"
"Joe","138","44"
"Éanna","138","44"
"Odhrán","138","44"
"Alan","142","43"
"Cooper","142","43"
"Paul","144","42"
"Rhys","144","42"
"Paddy","144","42"
"Jude","144","42"
"Riley","144","42"
"Nicholas","149","40"
"Dominic","149","40"
"Stephen","151","39"
"Oran","151","39"
"Donagh","151","39"
"Louie","151","39"
"Teddy","151","39"
"Páidí","151","39"
"Jordan","157","38"
"Ezra","157","38"
"Niall","159","37"
"Charles","159","37"
"Ross","159","37"
"Calvin","159","37"
"Diarmuid","163","36"
"Ted","163","36"
"Antoni","165","35"
"Levi","165","35"
"Iarla","165","35"
"Christian","168","34"
"Cameron","168","34"
"Kacper","168","34"
"Cole","168","34"
"Corey","172","33"
"Zack","172","33"
"Jan","172","33"
"Rowan","172","33"
"Aleksander","172","33"
"Jesse","177","32"
"Iarlaith","177","32"
"Séan","177","32"
"Jonathan","180","31"
"Adrian","180","31"
"Harvey","180","31"
"Zac","180","31"
"Carter","180","31"
"Dáire","180","31"
"Pádraig","180","31"
"Lee","187","30"
"Denis","187","30"
"Philip","187","30"
"Bradley","187","30"
"Dominik","187","30"
"Robbie","187","30"
"Casey","187","30"
"Gearóid","187","30"
"Calum","195","29"
"Toby","195","29"
"Marcel","195","29"
"Robin","195","29"
"Séamus","195","29"
"Colm","200","28"
"Reece","200","28"
"Richard","200","28"
"Ned","200","28"
"Ruadhán","200","28"
"Dean","205","27"
"Tristan","205","27"
"Timothy","205","27"
"Fiachra","205","27"
"Conn","205","27"
"Naoise","205","27"
"Myles","205","27"
"Austin","205","27"
"Keegan","205","27"
"Kian","214","26"
"Daire","214","26"
"Owen","216","25"
"Keelan","216","25"
"Oskar","216","25"
"Conall","216","25"
"Elliott","216","25"
"Aiden","216","25"
"Parker","216","25"
"Mícheál","216","25"
"Colin","224","24"
"Brendan","224","24"
"Leonardo","224","24"
"Julian","224","24"
"Carson","224","24"
"Kaiden","224","24"
"Aodhán","224","24"
"Simon","231","23"
"Marcus","231","23"
"Szymon","231","23"
"Johnny","231","23"
"Milo","231","23"
"Caden","231","23"
"Harley","231","23"
"Tymon","231","23"
"Connor","239","22"
"Mikolaj","239","22"
"Will","239","22"
"Beau","239","22"
"Tiarnán","239","22"
"Darren","244","21"
"Lukas","244","21"
"Flynn","244","21"
"Oisin","247","20"
"Brandon","247","20"
"Jay","247","20"
"Victor","247","20"
"Francis","247","20"
"Michal","247","20"
"Eddie","247","20"
"Cayden","247","20"
"Matei","247","20"
"Grayson","247","20"
"Frank","257","19"
"Damian","257","19"
"Jaxson","257","19"
"Mateo","257","19"
"Caolán","257","19"
"Kieran","262","18"
"Gerard","262","18"
"Hayden","262","18"
"Felix","262","18"
"Malachy","262","18"
"Bodhi","262","18"
"Zayn","262","18"
"Donncha","269","17"
"Zachary","269","17"
"Noel","269","17"
"Mohammad","269","17"
"Donnchadh","269","17"
"Maximilian","269","17"
"Ruben","269","17"
"Caelan","269","17"
"Nathaniel","269","17"
"Andy","269","17"
"Fabian","269","17"
"Peadar","269","17"
"Franciszek","269","17"
"Cuán","269","17"
"Seamus","283","16"
"Dillon","283","16"
"Vincent","283","16"
"Shea","283","16"
"Tony","283","16"
"Dan","283","16"
"Art","283","16"
"Seán Óg","283","16"
"Gavin","291","15"
"Patryk","291","15"
"Lennon","291","15"
"Donal","291","15"
"Ian","291","15"
"Bernard","291","15"
"Maksymilian","291","15"
"Nicolas","291","15"
"Ashton","291","15"
"Kealan","291","15"
"Ibrahim","291","15"
"Rayan","291","15"
"Leighton","291","15"
"Tymoteusz","291","15"
"Jasper","291","15"
"Justin","306","14"
"Emmet","306","14"
"Troy","306","14"
"Nikodem","306","14"
"Stefan","306","14"
"Rocco","306","14"
"Artur","306","14"
"Ajay","306","14"
"Luan","306","14"
"Caiden","306","14"
"Jace","306","14"
"Micheál","306","14"
"Olivier","318","13"
"Mikey","318","13"
"Mohamed","318","13"
"Albert","318","13"
"Frederick","318","13"
"Darius","318","13"
"Jimmy","318","13"
"Finley","318","13"
"Olly","318","13"
"Beauden","318","13"
"Dónal","318","13"
"Eamon","329","12"
"Luka","329","12"
"Conan","329","12"
"Lochlann","329","12"
"Abdullah","329","12"
"Natan","329","12"
"Oliwier","329","12"
"Roman","329","12"
"Domhnall","329","12"
"Kyran","329","12"
"Quinn","329","12"
"Axel","329","12"
"Lachlan","329","12"
"Miles","329","12"
"Phoenix","329","12"
"Ignacy","329","12"
"Eóghan","329","12"
"Fionnán","329","12"
"Ódhran","329","12"
"Óran","329","12"
"Sé","329","12"
"Ewan","350","11"
"Declan","350","11"
"Ivan","350","11"
"Morgan","350","11"
"Eamonn","350","11"
"Joel","350","11"
"Kane","350","11"
"Roan","350","11"
"Laurence","350","11"
"Erik","350","11"
"Maximus","350","11"
"Cullen","350","11"
"Elias","350","11"
"Lincoln","350","11"
"Culann","350","11"
"Hudson","350","11"
"Omar","350","11"
"Reggie","350","11"
"Rónán","350","11"
"Padraig","369","10"
"Micheal","369","10"
"Tiarnan","369","10"
"Pearse","369","10"
"Conal","369","10"
"Ali","369","10"
"Mohammed","369","10"
"Kenneth","369","10"
"Ultan","369","10"
"Jerry","369","10"
"Aron","369","10"
"Bill","369","10"
"Devin","369","10"
"Diego","369","10"
"Andrei","369","10"
"Antonio","369","10"
"Nojus","369","10"
"Dion","369","10"
"Maxwell","369","10"
"Xavier","369","10"
"Alfred","369","10"
"Brayden","369","10"
"Ellis","369","10"
"Freddy","369","10"
"Braxton","369","10"
"Brodie","369","10"
"Mylo","369","10"
"Nikolas","369","10"
"Jayce","369","10"
"Eóin","369","10"
"Lorcán","369","10"
"Páraic","369","10"
"Tomas","401","9"
"Daragh","401","9"
"Dawid","401","9"
"Caolan","401","9"
"Damien","401","9"
"Glen","401","9"
"Emmanuel","401","9"
"Euan","401","9"
"Raymond","401","9"
"Matas","401","9"
"Clayton","401","9"
"Alexandru","401","9"
"Olan","401","9"
"Davin","401","9"
"Jeremiah","401","9"
"Cuan","401","9"
"Hubert","401","9"
"Tobias","401","9"
"Leonard","401","9"
"Cal","401","9"
"Matteo","401","9"
"Callan","401","9"
"Eden","401","9"
"Xander","401","9"
"Aodh","401","9"
"Brogan","401","9"
"Rua","401","9"
"Remy","401","9"
"Santiago","401","9"
"Cían","401","9"
"Fíonn","401","9"
"Kyren","401","9"
"Séimí","401","9"
"Shéa","401","9"
"Steven","435","8"
"Mateusz","435","8"
"Bryan","435","8"
"Neil","435","8"
"Derek","435","8"
"Preston","435","8"
"Ahmed","435","8"
"Igor","435","8"
"Tim","435","8"
"Wiktor","435","8"
"Kajus","435","8"
"Rossa","435","8"
"Emil","435","8"
"Cristian","435","8"
"Stanislaw","435","8"
"Ahmad","435","8"
"Kuba","435","8"
"Aryan","435","8"
"Kylan","435","8"
"Milan","435","8"
"Bruno","435","8"
"Isaiah","435","8"
"Kade","435","8"
"Lochlainn","435","8"
"Ruan","435","8"
"Aronas","435","8"
"Dawson","435","8"
"Bowie","435","8"
"Enzo","435","8"
"Fletcher","435","8"
"Kody","435","8"
"Lochlan","435","8"
"Tobiasz","435","8"
"Koa","435","8"
"Bryson","435","8"
"Kit","435","8"
"Daithi","471","7"
"Shaun","471","7"
"Keith","471","7"
"Marc","471","7"
"Barry","471","7"
"Gary","471","7"
"Pierce","471","7"
"Travis","471","7"
"Bartosz","471","7"
"Bailey","471","7"
"Brooklyn","471","7"
"Zak","471","7"
"Marco","471","7"
"Saul","471","7"
"Gerry","471","7"
"Chris","471","7"
"Eugene","471","7"
"Krzysztof","471","7"
"Miguel","471","7"
"Piotr","471","7"
"Eryk","471","7"
"Ayaan","471","7"
"Raphael","471","7"
"Regan","471","7"
"Danielius","471","7"
"Eduard","471","7"
"Hassan","471","7"
"Mustafa","471","7"
"Rafael","471","7"
"Rio","471","7"
"Cahir","471","7"
"Dovydas","471","7"
"Emanuel","471","7"
"Kyron","471","7"
"Lorenzo","471","7"
"Lucca","471","7"
