"Name","Rank","Number of Births"
"Emily","1","460"
"Grace","2","423"
"Emma","3","366"
"Sophie","4","344"
"Amelia","5","339"
"Ella","6","311"
"Mia","7","309"
"Ellie","7","309"
"Ava","9","308"
"Fiadh","10","306"
"Hannah","11","304"
"Anna","12","285"
"Lucy","13","277"
"Olivia","14","273"
"Lily","15","262"
"Chloe","16","251"
"Aoife","17","240"
"Kate","17","240"
"Sadie","19","230"
"Saoirse","20","225"
"Sarah","21","216"
"Sophia","22","215"
"Holly","23","196"
"Robyn","24","192"
"Caoimhe","25","190"
"Isabelle","26","189"
"Freya","26","189"
"Molly","28","186"
"Cara","29","184"
"Katie","30","176"
"Evie","31","173"
"Zoe","32","170"
"Ruby","33","168"
"Alice","33","168"
"Lauren","35","164"
"Leah","36","158"
"Isla","37","147"
"Róisín","38","138"
"Charlotte","39","137"
"Eva","40","136"
"Jessica","41","127"
"Isabella","41","127"
"Ciara","43","126"
"Sofia","43","126"
"Clodagh","45","124"
"Julia","46","123"
"Faye","46","123"
"Eve","48","121"
"Éabha","48","121"
"Willow","50","116"
"Millie","51","115"
"Sadhbh","52","114"
"Erin","53","112"
"Alannah","53","112"
"Zara","53","112"
"Harper","53","112"
"Layla","57","111"
"Mary","58","105"
"Niamh","59","104"
"Aria","60","103"
"Maria","61","100"
"Amy","62","99"
"Laura","62","99"
"Emilia","62","99"
"Maya","65","98"
"Rosie","65","98"
"Mila","67","97"
"Aoibhin","68","94"
"Rose","68","93"
"Aoibhín","68","93"
"Sienna","70","92"
"Ada","70","92"
"Daisy","72","89"
"Annie","73","87"
"Clara","74","84"
"Abigail","75","83"
"Maisie","75","83"
"Pippa","77","82"
"Ellen","78","81"
"Kayla","79","79"
"Aoibheann","80","76"
"Rebecca","81","75"
"Amber","82","74"
"Áine","82","74"
"Ivy","84","73"
"Lilly","85","72"
"Georgia","85","72"
"Bella","85","72"
"Abbie","88","69"
"Megan","88","69"
"Ailbhe","90","67"
"Elizabeth","91","65"
"Lara","91","65"
"Bonnie","91","65"
"Heidi","94","64"
"Evelyn","94","64"
"Aisling","96","62"
"Tara","96","62"
"Hanna","96","62"
"Isabel","99","60"
"Hazel","99","60"
"Mollie","101","59"
"Poppy","101","59"
"Victoria","103","58"
"Penny","103","58"
"Méabh","103","58"
"Rachel","106","57"
"Nicole","107","56"
"Sara","108","54"
"Hollie","109","53"
"Phoebe","109","53"
"Elsie","109","53"
"Annabelle","112","52"
"Alexandra","113","51"
"Maeve","114","50"
"Doireann","114","50"
"Maja","116","49"
"Nina","116","49"
"Brooke","118","47"
"Hayley","118","47"
"Paige","120","46"
"Matilda","120","46"
"Hailey","120","46"
"Lexi","123","45"
"Aoibhinn","124","44"
"Catherine","124","44"
"Luna","124","44"
"Síofra","124","44"
"Eimear","128","43"
"Ruth","128","43"
"Zuzanna","128","43"
"Madison","131","42"
"Nora","131","42"
"Lena","131","42"
"Cora","134","41"
"Elena","134","41"
"Maia","134","41"
"Riley","134","41"
"Laoise","138","40"
"Lola","138","40"
"Zoey","138","40"
"Fíadh","138","40"
"Aoibhe","142","39"
"Alanna","142","39"
"Eleanor","142","39"
"Summer","142","39"
"Siun","145","39"
"Beth","146","38"
"Zofia","147","37"
"Eliza","147","37"
"Siún","147","37"
"Margaret","150","36"
"Jasmine","151","35"
"Muireann","151","35"
"Fia","151","35"
"Lottie","151","35"
"Lucia","155","34"
"Juliette","155","34"
"Liliana","155","34"
"Aurora","155","34"
"Robin","159","33"
"Nevaeh","159","33"
"Penelope","159","33"
"Jane","162","32"
"Alison","162","32"
"Natalia","162","32"
"Tess","162","32"
"Callie","162","32"
"Ayda","162","32"
"Darcie","162","32"
"Siofra","165","32"
"Orla","169","31"
"Isobel","169","31"
"Naomi","169","31"
"Mya","169","31"
"Stella","169","31"
"Gracie","169","31"
"Frankie","169","31"
"Keeva","176","30"
"Teagan","176","30"
"Róise","176","30"
"Caitlin","179","29"
"Katelyn","179","29"
"Alicja","179","29"
"Eloise","179","29"
"Indie","179","29"
"Esmé","179","29"
"Maggie","185","28"
"Lana","185","28"
"Esme","185","28"
"Bridget","188","27"
"Cassie","188","27"
"Nadia","188","27"
"Kara","188","27"
"Savannah","188","27"
"Elise","188","27"
