"cosit","class","year","month","day","VehicleCount"
"000000001044","3","2020","4","24","2055"
"000000001055","3","2020","4","24","125"
"000000001201","5","2020","4","24","139"
"000000001202","2","2020","4","24","1579"
"000000001506","1","2020","4","24","76"
"000000020064","3","2020","4","24","663"
"000000003173","3","2020","4","24","368"
"000000020093","3","2020","4","24","302"
"000000001741","5","2020","4","24","78"
"000000001781","2","2020","4","24","615"
"000000001312","6","2020","4","24","14"
"000000020243","5","2020","4","24","141"
"000000001624","1","2020","4","24","5"
"000000001611","7","2020","4","24","37"
"000000020906","7","2020","4","24","29"
"000000001812","6","2020","4","24","30"
"000000003804","7","2020","4","24","27"
"000000001811","1","2020","4","24","12"
"000000020861","4","2020","4","24","11"
"000000003181","4","2020","4","24","2"
"000000001508","0","2020","4","24","1"
"000000001014","3","2020","4","24","3072"
"000000001073","2","2020","4","24","13718"
"000000001092","6","2020","4","24","712"
"000000001112","4","2020","4","24","40"
"000000003114","3","2020","4","24","561"
"000000020257","3","2020","4","24","1469"
"000000020301","3","2020","4","24","112"
"000000200713","5","2020","4","24","312"
"000000200715","2","2020","4","24","1170"
"000000201081","2","2020","4","24","4780"
"000000020203","4","2020","4","24","70"
"000000020082","2","2020","4","24","1010"
"000000001782","3","2020","4","24","179"
"000000202301","2","2020","4","24","536"
"000000001191","3","2020","4","24","378"
"000000020094","7","2020","4","24","26"
"000000020905","7","2020","4","24","38"
"000000020045","7","2020","4","24","33"
"000000020186","7","2020","4","24","55"
"000000020023","7","2020","4","24","36"
"000000005047","4","2020","4","24","46"
"000000001591","7","2020","4","24","23"
"000000005045","7","2020","4","24","8"
"000000020601","1","2020","4","24","4"
"000000001691","4","2020","4","24","5"
"000000001511","4","2020","4","24","4"
"000000001025","4","2020","4","24","6"
"000000001255","3","2020","4","24","1308"
"000000001501","2","2020","4","24","17018"
"000000001703","2","2020","4","24","1944"
"000000003115","3","2020","4","24","196"
"000000020907","2","2020","4","24","958"
"000000001242","2","2020","4","24","2805"
"000000020183","2","2020","4","24","4116"
"000000001033","4","2020","4","24","215"
"000000001111","2","2020","4","24","1240"
"000000020255","2","2020","4","24","1880"
"000000003115","6","2020","4","24","172"
"000000020016","4","2020","4","24","25"
"000000020091","4","2020","4","24","34"
"000000001225","6","2020","4","24","50"
"000000020561","3","2020","4","24","300"
"000000001542","5","2020","4","24","52"
"000000020078","4","2020","4","24","68"
"000000001715","5","2020","4","24","38"
"000000020185","4","2020","4","24","11"
"000000001694","4","2020","4","24","1"
"000000020153","7","2020","4","24","17"
"000000020086","1","2020","4","24","4"
"000000001086","1","2020","4","24","5"
"000000001011","2","2020","4","24","4070"
"000000001012","2","2020","4","24","11561"
"000000001253","2","2020","4","24","14755"
"000000001711","1","2020","4","24","14"
"000000001551","6","2020","4","24","92"
"000000001841","5","2020","4","24","59"
"000000020254","3","2020","4","24","898"
"000000020019","4","2020","4","24","75"
"000000020591","1","2020","4","24","3"
"000000001241","5","2020","4","24","53"
"000000020171","5","2020","4","24","77"
"000000020223","1","2020","4","24","20"
"000000200171","1","2020","4","24","4"
"000000020524","4","2020","4","24","5"
"000000003806","6","2020","4","24","16"
"000000004041","5","2020","4","24","12"
"000000201321","0","2020","4","24","1"
"000000001011","3","2020","4","24","556"
"000000001252","3","2020","4","24","575"
"000000020071","5","2020","4","24","808"
"000000200171","5","2020","4","24","174"
"000000001254","3","2020","4","24","221"
"000000003182","3","2020","4","24","393"
"000000020802","2","2020","4","24","1088"
"000000001509","1","2020","4","24","199"
"000000001581","2","2020","4","24","993"
"000000020019","5","2020","4","24","330"
"000000020185","5","2020","4","24","134"
"000000001561","2","2020","4","24","2050"
"000000001500","1","2020","4","24","135"
"000000001271","3","2020","4","24","395"
"000000001503","7","2020","4","24","126"
"000000020721","6","2020","4","24","35"
"000000020044","1","2020","4","24","10"
"000000020079","7","2020","4","24","61"
"000000001651","5","2020","4","24","62"
"000000001842","7","2020","4","24","30"
"000000001056","5","2020","4","24","49"
"000000001281","1","2020","4","24","30"
"000000001271","6","2020","4","24","46"
"000000001301","1","2020","4","24","10"
"000000001661","4","2020","4","24","10"
"000000020801","7","2020","4","24","53"
"000000020184","0","2020","4","24","2"
"000000001111","6","2020","4","24","46"
"000000001501","3","2020","4","24","4563"
"000000020086","5","2020","4","24","182"
"000000208001","3","2020","4","24","515"
"000000001242","6","2020","4","24","341"
"000000001721","2","2020","4","24","1196"
"000000001771","6","2020","4","24","243"
"000000020183","3","2020","4","24","925"
"000000020224","4","2020","4","24","20"
"000000020907","3","2020","4","24","296"
"000000001211","5","2020","4","24","110"
"000000001522","3","2020","4","24","104"
"000000001717","5","2020","4","24","24"
"000000020524","5","2020","4","24","90"
"000000020224","7","2020","4","24","23"
"000000020119","1","2020","4","24","25"
"000000001151","4","2020","4","24","12"
"000000031041","7","2020","4","24","5"
"000000020591","5","2020","4","24","24"
"000000020221","7","2020","4","24","7"
"000000001053","1","2020","4","24","9"
"000000003171","4","2020","4","24","9"
"000000001716","4","2020","4","24","1"
"000000020202","6","2020","4","24","322"
"000000001141","2","2020","4","24","2507"
"000000001631","2","2020","4","24","771"
"000000020172","5","2020","4","24","171"
"000000003171","3","2020","4","24","400"
"000000001842","3","2020","4","24","279"
"000000200720","4","2020","4","24","24"
"000000001593","7","2020","4","24","44"
"000000001623","5","2020","4","24","36"
"000000020242","5","2020","4","24","62"
"000000001254","7","2020","4","24","16"
"000000001681","5","2020","4","24","39"
"000000001069","1","2020","4","24","30"
"000000001722","5","2020","4","24","39"
"000000001581","1","2020","4","24","8"
"000000001714","5","2020","4","24","4"
"000000001011","6","2020","4","24","294"
"000000001024","2","2020","4","24","1291"
"000000001500","4","2020","4","24","81"
"000000020111","2","2020","4","24","8014"
"000000020116","2","2020","4","24","1588"
"000000003182","6","2020","4","24","232"
"000000020251","6","2020","4","24","215"
"000000020251","3","2020","4","24","262"
"000000001252","6","2020","4","24","258"
"000000001021","4","2020","4","24","31"
"000000001693","6","2020","4","24","80"
"000000001871","2","2020","4","24","278"
"000000020033","6","2020","4","24","26"
"000000001065","4","2020","4","24","41"
"000000001281","4","2020","4","24","38"
"000000001831","6","2020","4","24","20"
"000000020671","7","2020","4","24","10"
"000000020522","5","2020","4","24","87"
"000000020241","1","2020","4","24","20"
"000000031041","5","2020","4","24","22"
"000000001622","1","2020","4","24","1"
"000000020024","1","2020","4","24","3"
"000000001054","1","2020","4","24","4"
"000000001102","4","2020","4","24","7"
"000000001012","6","2020","4","24","3182"
"000000001072","4","2020","4","24","144"
"000000001503","5","2020","4","24","1477"
"000000020011","3","2020","4","24","2992"
"000000020201","2","2020","4","24","1870"
"000000020255","6","2020","4","24","252"
"000000031031","6","2020","4","24","1237"
"000000208001","6","2020","4","24","167"
"000000001851","2","2020","4","24","935"
"000000001523","5","2020","4","24","51"
"000000001151","7","2020","4","24","30"
"000000201321","7","2020","4","24","12"
"000000001141","1","2020","4","24","4"
"000000001086","5","2020","4","24","96"
"000000001253","6","2020","4","24","947"
"000000001505","2","2020","4","24","16467"
"000000001693","3","2020","4","24","117"
"000000015011","5","2020","4","24","375"
"000000020022","2","2020","4","24","4672"
"000000020074","3","2020","4","24","1235"
"000000020079","5","2020","4","24","250"
"000000031031","3","2020","4","24","945"
"000000200812","6","2020","4","24","820"
"000000201082","2","2020","4","24","1924"
"000000001303","3","2020","4","24","163"
"000000001761","3","2020","4","24","202"
"000000001522","6","2020","4","24","134"
"000000020221","5","2020","4","24","59"
"000000001711","5","2020","4","24","173"
"000000003801","3","2020","4","24","328"
"000000001716","7","2020","4","24","42"
"000000020223","5","2020","4","24","124"
"000000001842","5","2020","4","24","65"
"000000001679","4","2020","4","24","4"
"000000001013","5","2020","4","24","118"
"000000001043","2","2020","4","24","1477"
"000000001501","6","2020","4","24","3735"
"000000020112","2","2020","4","24","6927"
"000000020183","6","2020","4","24","366"
"000000020907","6","2020","4","24","441"
"000000200720","3","2020","4","24","596"
"000000001114","3","2020","4","24","1011"
"000000001509","4","2020","4","24","97"
"000000003805","2","2020","4","24","279"
"000000020202","5","2020","4","24","168"
"000000001761","6","2020","4","24","131"
"000000020014","7","2020","4","24","67"
"000000001222","6","2020","4","24","103"
"000000020033","3","2020","4","24","276"
"000000001254","6","2020","4","24","128"
"000000001832","3","2020","4","24","39"
"000000003802","7","2020","4","24","17"
"000000020044","4","2020","4","24","55"
"000000001661","7","2020","4","24","20"
"000000020063","1","2020","4","24","8"
"000000001701","6","2020","4","24","2"
"000000001072","3","2020","4","24","3588"
"000000001102","6","2020","4","24","21"
"000000001032","3","2020","4","24","414"
"000000001522","5","2020","4","24","45"
"000000020521","3","2020","4","24","219"
"000000208001","5","2020","4","24","95"
"000000001169","7","2020","4","24","17"
"000000020119","3","2020","4","24","518"
"000000001679","3","2020","4","24","91"
"000000020033","5","2020","4","24","33"
"000000020111","1","2020","4","24","51"
"000000001741","1","2020","4","24","6"
"000000001594","4","2020","4","24","1"
"000000001021","2","2020","4","24","1566"
"000000001056","6","2020","4","24","186"
"000000001211","6","2020","4","24","81"
"000000001281","2","2020","4","24","5245"
"000000020075","5","2020","4","24","319"
"000000020086","6","2020","4","24","883"
"000000020185","6","2020","4","24","254"
"000000200171","6","2020","4","24","971"
"000000001711","3","2020","4","24","661"
"000000020256","6","2020","4","24","486"
"000000001723","5","2020","4","24","74"
"000000020036","7","2020","4","24","16"
"000000001114","1","2020","4","24","27"
"000000001717","6","2020","4","24","21"
"000000020255","4","2020","4","24","12"
"000000001761","1","2020","4","24","3"
"000000001703","4","2020","4","24","3"
"000000020802","0","2020","4","24","1"
"000000001045","2","2020","4","24","1811"
"000000001716","6","2020","4","24","366"
"000000001812","2","2020","4","24","2830"
"000000003802","6","2020","4","24","418"
"000000020908","2","2020","4","24","1657"
"000000001021","3","2020","4","24","317"
