category,date,Population (Number),Annual Rate
Both Sexes,1911,477196,6.3
Both Sexes,1926,505654,3.9
Both Sexes,1936,586925,15
Both Sexes,1946,636193,8.1
Both Sexes,1951,693022,17.3
Both Sexes,1956,705781,3.7
Both Sexes,1961,718332,3.5
Both Sexes,1966,795047,20.5
Both Sexes,1971,852219,14
Both Sexes,1979,983683,18.1
Both Sexes,1981,1003164,9.9
Both Sexes,1986,1021449,3.6
Both Sexes,1991,1025304,0.8
Both Sexes,1996,1058264,6.3
Both Sexes,2002,1122821,9.9
Both Sexes,2006,1187176,14
Both Sexes,2011,1273069,14
Both Sexes,2016,1347359,11.3
Male,1911,226364,6.7
Male,1926,238995,3.6
Male,1936,277098,14.9
Male,1946,292205,5.3
Male,1951,326126,22.2
Male,1956,329627,2.1
Male,1961,335004,3.2
Male,1966,375692,23.2
Male,1971,406008,15.6
Male,1979,473104,19.3
Male,1981,482342,9.7
Male,1986,492279,4.1
Male,1991,492432,0.1
Male,1996,508966,6.6
Male,2002,544075,11.2
Male,2006,582557,17.2
Male,2011,619902,12.4
Male,2016,658371,12
Female,1911,250832,5.9
Female,1926,266659,4.1
Female,1936,309827,15.1
Female,1946,343988,10.5
Female,1951,366896,13
Female,1956,376154,5
Female,1961,383328,3.8
Female,1966,419355,18.1
Female,1971,446211,12.5
Female,1979,510579,17
Female,1981,520822,10
Female,1986,529170,3.2
Female,1991,532872,1.4
Female,1996,549298,6.1
Female,2002,578746,8.7
Female,2006,604619,11
Female,2011,653167,15.4
Female,2016,688988,10.7
