region,date,Population (Number),Annual Rate
Dublin,1911,477196,6.3
Dublin,1926,505654,3.9
Dublin,1936,586925,15
Dublin,1946,636193,8.1
Dublin,1951,693022,17.3
Dublin,1956,705781,3.7
Dublin,1961,718332,3.5
Dublin,1966,795047,20.5
Dublin,1971,852219,14
Dublin,1979,983683,18.1
Dublin,1981,1003164,9.9
Dublin,1986,1021449,3.6
Dublin,1991,1025304,0.8
Dublin,1996,1058264,6.3
Dublin,2002,1122821,9.9
Dublin,2006,1187176,14
Dublin,2011,1273069,14
Dublin,2016,1347359,11.3
Ireland,1911,3139688,-2.6
Ireland,1926,2971992,-3.7
Ireland,1936,2968420,-0.1
Ireland,1946,2955107,-0.4
Ireland,1951,2960593,0.4
Ireland,1956,2898264,-4.2
Ireland,1961,2818341,-5.6
Ireland,1966,2884002,4.6
Ireland,1971,2978248,6.5
Ireland,1979,3368217,15.5
Ireland,1981,3443405,11.1
Ireland,1986,3540643,5.6
Ireland,1991,3525719,-0.8
Ireland,1996,3626087,5.6
Ireland,2002,3917203,13
Ireland,2006,4239848,20
Ireland,2011,4588252,15.8
Ireland,2016,4761865,7.4
