Name,Address,County,ig_xcord,ig_ycord
24 Doc,"21a Store Street, Dublin 1",Dublin,316400.1582,234721.8679
25 Belvedere Road,"25 Belvidere Road, Dublin 1",Dublin,315904.469,235782.55
Abbey Street Medical Centre,"71 Abbey Street Middle, Dublin 1",Dublin,315812.792,234502.861
Abdul Ibrahim,"52 Ardara Avenue, The Donahies, Dublin 13",Dublin,321811.184,239998.994
Acupuncture Practice,"61 Wilfield Road, Dublin 4",Dublin,318700.966,232596.203
Adare Cosmetics Dublin,"26 Fitzwilliam Square South, Dublin 2, D02 RR80",Dublin,316385.8546,233040.3569
Addiction Centre,"Dr. Steeven's Hospital, Steeven's Lane, Dublin 8",Dublin,313726.8768,234128.4058
Addiction Treatment Centre,"Addiction Services, Patrick Street Centre, 99-101 Patrick Street, Dun Laoghaire, Co. Dublin",Dublin,324215.688,228427.453
Aidan Morris,"204 Ballymun Road, Ballymun, Dublin 11",Dublin,315559.814,239193.721
Ailesbury Clinic,"6 Block A, Merrion Court, Merrion Road, Dublin 4, D04dd58",Dublin,318973.7046,231473.1059
Amaranta Family Practice,"30 Ardagh Grove, Blackrock, Co. Dublin",Dublin,321142.1231,227422.2282
"Annesley Bridge Medical Centre,","83 North Strand Road, Dublin 3, D03c3y1",Dublin,317168.7346,235901.8659
Anthony Hussain,"2 Saint Mary's Terrace, Grange Road, Rathfarnham, Dublin 14",Dublin,314328.669,228768.022
Aranleigh Health Centre,"1 Aranleigh Mount, Dublin 14, D14k822",Dublin,314520.4266,228047.8129
Arbour Hill Prison,"Mens Prison, Department Of Justice And Equality, Arbour Hill Prison, Arbour Hill, Dublin 7",Dublin,313998.8,234667.3
Artane Daycare Centre,"Kilmore Road, Dublin 5",Dublin,318720.6477,239241.6922
Artane Medical Centre,"2 Mornington Park, Malahide Road, Dublin 5, D05kf96",Dublin,319237.4246,238397.906
Ashleigh Occupational Health Clinic,"Unit 14, Ashleigh Centre, Castleknock Road, Dublin 15, D15ew2r",Dublin,309067.5006,237109.234
Ashwood Surgery,"19 Ashwood Road, Dublin 22, D22 E9K6",Dublin,305863.6106,231826.8329
Aungier Street Clinic ,"14-16 Redmond's Hill, Dublin 2, D02 RP46",Dublin,315466.1876,233363.883
Aylesbury Clinic,"Aylesbury Shopping Centre, Church Grove, Dublin 24, D24ptk3",Dublin,308953.7202,226284.6879
"Baggot Street Clinic,","HSE, City Of Dublin Royal Hospital, 14/18 Baggot Street Upper, Dublin 4",Dublin,317017.2023,232920.1007
Baggot Street Medical,"10 Baggot Street Upper, Dublin 4, D04kt35",Dublin,316924.5636,232953.7029
