type,value
"Agriculture, forestry and fishing (A)",0
Industry and Construction (B to F),85.1
Industry (B to E),48.9
Construction (F),36.2
Services (G to U),534.8
"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",78.3
Transportation and storage (H),37
Accommodation and food service activities (I),45.9
Information and communication (J),47.9
"Financial, insurance and real estate activities (K,L)",54
"Professional, scientific and technical activities (M)",50.4
Administrative and support service activities (N),28.1
"Public administration and defence, compulsory social security (O)",33.2
Education (P),44.5
Human health and social work activities (Q),81.4
Other NACE activities (R to U),34.1
