Year,Dublin,National excl. Dublin
Q1 08,93.450146,105.2146905
Q2 08,73.99906069,88.8525838
Q3 08,69.54547782,83.47325897
Q4 08,65.72046885,75.4413965
Q1 09,69.78063551,82.69892477
Q2 09,59.99147683,80.35882173
Q3 09,70.7449059,75.55432497
Q4 09,71.44801221,74.41722703
Q1 10,76.12798888,85.79309323
Q2 10,79.24767366,84.55595189
Q3 10,76.70180754,75.79785669
Q4 10,76.04907763,70.31089146
Q1 11,67.69963344,71.19010424
Q2 11,64.46083358,77.4836322
Q3 11,64.26640217,75.3064713
Q4 11,74.50743327,79.6889299
Q1 12,70.19759431,82.51131337
Q2 12,72.21031818,80.76152678
Q3 12,81.89220046,81.46052803
Q4 12,67.41659896,79.36509086
Q1 13,70.96355108,77.78591953
Q2 13,75.5222533,80.28857415
Q3 13,76.99017936,88.51443438
Q4 13,83.89325315,90.24757839
Q1 14,90.55289916,98.23918828
Q2 14,95.77341137,94.99540329
Q3 14,92.27454033,107.5752106
Q4 14,92.66189186,99.35611195
Q1 15,102.6632356,114.1076976
Q2 15,110.8951297,111.3593568
Q3 15,100.9007997,117.274387
Q4 15,102.2726743,118.651234
Q1 16,122.5,125.2
Q2 16,107.9087748,120.2888489
Q3 16,115.2269619,127.0168534
Q4 16,104.2666213,121.7458662
