Year,Dublin,National excl.Dublin
Q1 08,91.38876924,87.92267923
Q2 08,101.8853293,82.34810585
Q3 08,84.86339044,77.5818004
Q4 08,48.92570225,53.52948254
Q1 09,41.42784869,43.62327788
Q2 09,45.21011284,63.73287264
Q3 09,61.59535446,60.17595924
Q4 09,74.98374068,81.17993389
Q1 10,76.155893,100.7227049
Q2 10,109.7089516,109.3463176
Q3 10,93.63586774,97.0551325
Q4 10,56.59886565,60.87273018
Q1 11,82.10440307,83.62823424
Q2 11,92.16543888,97.85454642
Q3 11,94.29238141,87.11124722
Q4 11,93.27953537,89.49929933
Q1 12,100.2796328,89.64680098
Q2 12,107.9976739,105.7434496
Q3 12,123.3625458,113.7864096
Q4 12,114.0338283,92.73895278
Q1 13,126.5266927,106.9236456
Q2 13,123.7547647,113.7124839
Q3 13,116.9266229,127.6759483
Q4 13,153.1036948,142.8204455
Q1 14,173.9438704,160.7203381
Q2 14,169.2504011,158.03801
Q3 14,179.8184229,174.8843392
Q4 14,174.822892,173.3321755
Q1 15,198.9987995,188.8495619
Q2 15,203.9443426,194.441296
Q3 15,197.4263028,194.7191954
Q4 15,207.1465251,200.6421185
Q1 16,211.1,194.3
Q2 16,202.2358707,189.7933824
Q3 16,187.8475707,180.1827003
Q4 16,174.0938995,179.9907992
