Year,Dublin,National excl. Dublin
Q1 08,92.46066414,96.36669304
Q2 08,87.38475389,85.52436458
Q3 08,76.89823203,80.45871026
Q4 08,57.65880967,64.22948161
Q1 09,56.17100881,62.70465005
Q2 09,52.89627143,71.8516358
Q3 09,66.35302794,67.68550402
Q4 09,73.14519792,77.87757713
Q1 10,76.14138314,93.43229518
Q2 10,93.86939759,97.24071647
Q3 10,84.83032906,86.67480553
Q4 10,66.7127776,65.48156157
Q1 11,74.6140697,77.55446178
Q2 11,77.75932655,87.90704646
Q3 11,78.67917829,81.34675345
Q4 11,83.51823364,84.70871171
Q1 12,84.63727944,86.16240838
Q2 12,89.38861374,93.54430753
Q3 12,101.798389,98.0010746
Q4 12,89.79334427,86.20824486
Q1 13,97.63442546,92.69514679
Q2 13,98.67435044,97.39096111
Q3 13,96.16007937,108.5526456
Q4 13,117.1149707,117.1481272
Q1 14,130.5814155,130.2096193
Q2 14,131.0431155,127.2531213
Q3 14,134.2964964,142.0160277
Q4 14,132.1000095,137.2082745
Q1 15,148.9052883,152.351706
Q2 15,155.5597005,153.8708249
Q3 15,147.2340252,156.9014411
Q4 15,152.6131918,160.6044299
Q1 16,159.8,160.5
Q2 16,153.1867424,155.8530135
Q3 16,150.0855944,154.2208189
Q4 16,137.7844266,151.5487046
