Quarter,Dublin - PPI - All Residential (2005 = 100),National excluding Dublin - all residential properties,% YoY Dublin,% YoY National excl. Dublin,MoM Dublin,MoM National excl. Dublin,%MoM Dublin,%MoM National excl. Dublin,,,,,,,,
Jan 05,100,100,,,,,,,,,,,,,,
Feb 05,102.1,100.1,,,2.1,0.1,2.1%,0.1%,,,,,,,,
Mar 05,102.9,100.5,,,0.8,0.4,0.8%,0.4%,,,,,,,,
Apr 05,103.6,101.2,,,0.7,0.7,0.7%,0.7%,,,,,,,,
May 05,104.4,101.9,,,0.8,0.7,0.8%,0.7%,,,,,,,,
Jun 05,104.5,103.3,,,0.1,1.4,0.1%,1.4%,,,,,,,,
Jul 05,105.7,105.1,,,1.2,1.8,1.1%,1.7%,,,,,,,,
Aug 05,107.8,106.7,,,2.1,1.6,2.0%,1.5%,,,,,,,,
Sep 05,109.7,107.4,,,1.9,0.7,1.8%,0.7%,,,,,,,,
Oct 05,112.8,109.3,,,3.1,1.9,2.8%,1.8%,,,,,,,,
Nov 05,114.3,110,,,1.5,0.7,1.3%,0.6%,,,,,,,,
Dec 05,114.9,111.4,,,0.6,1.4,0.5%,1.3%,,,,,,,,
Jan 06,115.4,111.9,15%,11.9%,0.5,0.5,0.4%,0.4%,,,,,,,,
Feb 06,116.4,111.8,14.0%,11.7%,1.0,-0.1,0.9%,-0.1%,,,,,,,,
Mar 06,117.1,112.4,13.8%,11.8%,0.7,0.6,0.6%,0.5%,,,,,,,,
Apr 06,119.2,113.9,15.1%,12.5%,2.1,1.5,1.8%,1.3%,,,,,,,,
May 06,122.3,115.8,17.1%,13.6%,3.1,1.9,2.6%,1.7%,,,,,,,,
Jun 06,125.5,117.4,20.1%,13.6%,3.2,1.6,2.6%,1.4%,,,,,,,,
Jul 06,129.5,119.5,22.5%,13.7%,4.0,2.1,3.2%,1.8%,,,,,,,,
Aug 06,133.3,121.6,23.7%,14.0%,3.8,2.1,2.9%,1.8%,,,,,,,,
Sep 06,133.5,123.1,21.7%,14.6%,0.2,1.5,0.2%,1.2%,,,,,,,,
Oct 06,134.4,123.8,19.1%,13.3%,0.9,0.7,0.7%,0.6%,,,,,,,,
Nov 06,133.9,124.1,17.1%,12.8%,-0.5,0.3,-0.4%,0.2%,,,,,,,,
Dec 06,134.1,125.5,16.7%,12.7%,0.2,1.4,0.1%,1.1%,,,,,,,,
Jan 07,134.3,127.1,16.4%,13.6%,0.2,1.6,0.1%,1.3%,,,,,,,,
Feb 07,135,127.7,16.0%,14.2%,0.7,0.6,0.5%,0.5%,,,,,,,,
Mar 07,133.7,128.6,14.2%,14.4%,-1.3,0.9,-1.0%,0.7%,,,,,,,,
Apr 07,134,129.2,12.4%,13.4%,0.3,0.6,0.2%,0.5%,,,,,,,,
May 07,132.7,129.3,8.5%,11.7%,-1.3,0.1,-1.0%,0.1%,,,,,,,,
Jun 07,133,128.7,6.0%,9.6%,0.3,-0.6,0.2%,-0.5%,,,,,,,,
Jul 07,133.7,128.8,3.2%,7.8%,0.7,0.1,0.5%,0.1%,,,,,,,,
Aug 07,133,128.8,-0.2%,5.9%,-0.7,0.0,-0.5%,0.0%,,,,,,,,
Sep 07,133.3,128.7,-0.1%,4.5%,0.3,-0.1,0.2%,-0.1%,,,,,,,,
Oct 07,133.3,128.1,-0.8%,3.5%,0.0,-0.6,0.0%,-0.5%,,,,,,,,
Nov 07,132.2,128.7,-1.3%,3.7%,-1.1,0.6,-0.8%,0.5%,,,,,,,,
Dec 07,130.5,128.4,-2.7%,2.3%,-1.7,-0.3,-1.3%,-0.2%,,,,,,,,
Jan 08,127.5,128.2,-5.1%,0.9%,-3.0,-0.2,-2.3%,-0.2%,,,,,,,,
Feb 08,126.8,126.9,-6.1%,-0.6%,-0.7,-1.3,-0.5%,-1.0%,,,,,,,,
Mar 08,126.1,125.6,-5.7%,-2.3%,-0.7,-1.3,-0.6%,-1.0%,,,,,,,,
Apr 08,126.1,124.1,-5.9%,-3.9%,0.0,-1.5,0.0%,-1.2%,,,,,,,,
May 08,126.2,122.1,-4.9%,-5.6%,0.1,-2.0,0.1%,-1.6%,,,,,,,,
Jun 08,124.9,120.9,-6.1%,-6.1%,-1.3,-1.2,-1.0%,-1.0%,,,,,,,,
Jul 08,123.4,120.5,-7.7%,-6.4%,-1.5,-0.4,-1.2%,-0.3%,,,,,,,,
Aug 08,121.7,119.5,-8.5%,-7.2%,-1.7,-1.0,-1.4%,-0.8%,,,,,,,,
Sep 08,117.5,119.1,-11.9%,-7.5%,-4.2,-0.4,-3.5%,-0.3%,,,,,,,,
Oct 08,113.4,117.2,-14.9%,-8.5%,-4.1,-1.9,-3.5%,-1.6%,,,,,,,,
Nov 08,110.2,115.7,-16.6%,-10.1%,-3.2,-1.5,-2.8%,-1.3%,,,,,,,,
Dec 08,108,113.5,-17.2%,-11.6%,-2.2,-2.2,-2.0%,-1.9%,,,,,,,,
Jan 09,105,110.8,-17.6%,-13.6%,-3.0,-2.7,-2.8%,-2.4%,,,,,,,,
Feb 09,100.3,108.5,-20.9%,-14.5%,-4.7,-2.3,-4.5%,-2.1%,,,,,,,,
Mar 09,96.6,106.3,-23.4%,-15.4%,-3.7,-2.2,-3.7%,-2.0%,,,,,,,,
Apr 09,92.9,104.6,-26.3%,-15.7%,-3.7,-1.7,-3.8%,-1.6%,,,,,,,,
May 09,90.9,102.1,-28.0%,-16.4%,-2.0,-2.5,-2.2%,-2.4%,,,,,,,,
Jun 09,89.8,100.2,-28.1%,-17.1%,-1.1,-1.9,-1.2%,-1.9%,,,,,,,,
Jul 09,88.9,98.5,-28.0%,-18.3%,-0.9,-1.7,-1.0%,-1.7%,,,,,,,,
Aug 09,89,96.6,-26.9%,-19.2%,0.1,-1.9,0.1%,-1.9%,,,,,,,,
Sep 09,88.6,96.8,-24.6%,-18.7%,-0.4,0.2,-0.4%,0.2%,,,,,,,,
Oct 09,86.6,96.2,-23.6%,-17.9%,-2.0,-0.6,-2.3%,-0.6%,,,,,,,,
Nov 09,85,96.4,-22.9%,-16.7%,-1.6,0.2,-1.8%,0.2%,,,,,,,,
Dec 09,83.2,95.5,-23.0%,-15.9%,-1.8,-0.9,-2.1%,-0.9%,,,,,,,,
Jan 10,81.1,95.2,-22.8%,-14.1%,-2.1,-0.3,-2.5%,-0.3%,,,,,,,,
Feb 10,79.2,94.1,-21.0%,-13.3%,-1.9,-1.1,-2.3%,-1.2%,,,,,,,,
Mar 10,77.5,93.6,-19.8%,-11.9%,-1.7,-0.5,-2.1%,-0.5%,,,,,,,,
Apr 10,77.3,92.8,-16.8%,-11.3%,-0.2,-0.8,-0.3%,-0.9%,,,,,,,,
May 10,76.5,90.7,-15.8%,-11.2%,-0.8,-2.1,-1.0%,-2.3%,,,,,,,,
Jun 10,75.5,89.9,-15.9%,-10.3%,-1.0,-0.8,-1.3%,-0.9%,,,,,,,,
Jul 10,75,88.8,-15.6%,-9.8%,-0.5,-1.1,-0.7%,-1.2%,,,,,,,,
Aug 10,75.4,87.9,-15.3%,-9.0%,0.4,-0.9,0.5%,-1.0%,,,,,,,,
Sep 10,75.2,86.2,-15.1%,-11.0%,-0.2,-1.7,-0.3%,-1.9%,,,,,,,,
Oct 10,74,84.6,-14.5%,-12.1%,-1.2,-1.6,-1.6%,-1.9%,,,,,,,,
Nov 10,72.5,82.9,-14.7%,-14.0%,-1.5,-1.7,-2.0%,-2.0%,,,,,,,,
Dec 10,71.2,81.8,-14.4%,-14.3%,-1.3,-1.1,-1.8%,-1.3%,,,,,,,,
Jan 11,70.5,81.3,-13.1%,-14.6%,-0.7,-0.5,-1.0%,-0.6%,,,,,,,,
Feb 11,69,79.8,-12.9%,-15.2%,-1.5,-1.5,-2.1%,-1.8%,,,,,,,,
Mar 11,67.1,78.1,-13.4%,-16.6%,-1.9,-1.7,-2.8%,-2.1%,,,,,,,,
Apr 11,66.6,76.6,-13.8%,-17.5%,-0.5,-1.5,-0.7%,-1.9%,,,,,,,,
May 11,65.5,75.2,-14.4%,-17.1%,-1.1,-1.4,-1.7%,-1.8%,,,,,,,,
Jun 11,64.6,74.1,-14.4%,-17.6%,-0.9,-1.1,-1.4%,-1.5%,,,,,,,,
Jul 11,63.6,72.2,-15.2%,-18.7%,-1.0,-1.9,-1.5%,-2.6%,,,,,,,,
Aug 11,62.3,70,-17.4%,-20.4%,-1.3,-2.2,-2.0%,-3.0%,,,,,,,,
Sep 11,60.6,68.9,-19.4%,-20.1%,-1.7,-1.1,-2.7%,-1.6%,,,,,,,,
Oct 11,59.4,67.7,-19.7%,-20.0%,-1.2,-1.2,-2.0%,-1.7%,,,,,,,,
Nov 11,58.1,66.9,-19.9%,-19.3%,-1.3,-0.8,-2.2%,-1.2%,,,,,,,,
Dec 11,57,66.1,-19.9%,-19.2%,-1.1,-0.8,-1.9%,-1.2%,,,,,,,,
Jan 12,56,65.1,-20.6%,-19.9%,-1.0,-1.0,-1.8%,-1.5%,,,,,,,,
Feb 12,54.5,63.9,-21.0%,-19.9%,-1.5,-1.2,-2.7%,-1.8%,,,,,,,,
Mar 12,54.9,64.1,-18.2%,-17.9%,0.4,0.2,0.7%,0.3%,,,,,,,,
Apr 12,54.7,62.4,-17.9%,-18.5%,-0.2,-1.7,-0.4%,-2.7%,,,,,,,,
May 12,54.7,62,-16.5%,-17.6%,0.0,-0.4,0.0%,-0.6%,,,,,,,,
Jun 12,55,61.5,-14.9%,-17.0%,0.3,-0.5,0.5%,-0.8%,,,,,,,,
Jul 12,56.1,61.5,-11.8%,-14.8%,1.1,0.0,2.0%,0.0%,,,,,,,,
Aug 12,56.8,61,-8.8%,-12.9%,0.7,-0.5,1.2%,-0.8%,,,,,,,,
Sep 12,57.5,61.2,-5.1%,-11.2%,0.7,0.2,1.2%,0.3%,,,,,,,,
Oct 12,58,61.1,-2.4%,-9.7%,0.5,-0.1,0.9%,-0.2%,,,,,,,,
Nov 12,58.4,60.3,0.5%,-9.9%,0.4,-0.8,0.7%,-1.3%,,,,,,,,
Dec 12,59.1,60,3.7%,-9.2%,0.7,-0.3,1.2%,-0.5%,,,,,,,,
Jan 13,58.6,58.3,4.6%,-10.4%,-0.5,-1.7,-0.8%,-2.8%,,,,,,,,
Feb 13,57.6,58.1,5.7%,-9.1%,-1.0,-0.2,-1.7%,-0.3%,,,,,,,,
Mar 13,57.2,56.8,4.2%,-11.4%,-0.4,-1.3,-0.7%,-2.2%,,,,,,,,
Apr 13,57.9,56.7,5.9%,-9.1%,0.7,-0.1,1.2%,-0.2%,,,,,,,,
May 13,58.3,56.2,6.6%,-9.4%,0.4,-0.5,0.7%,-0.9%,,,,,,,,
Jun 13,60.4,56.9,9.8%,-7.5%,2.1,0.7,3.6%,1.2%,,,,,,,,
Jul 13,62.6,57.4,11.6%,-6.7%,2.2,0.5,3.6%,0.9%,,,,,,,,
Aug 13,64.2,57.5,13.0%,-5.7%,1.6,0.1,2.6%,0.2%,,,,,,,,
Sep 13,65.3,58.3,13.6%,-4.7%,1.1,0.8,1.7%,1.4%,,,,,,,,
Oct 13,65.7,58.7,13.3%,-3.9%,0.4,0.4,0.6%,0.7%,,,,,,,,
Nov 13,66.5,58.4,13.9%,-3.2%,0.8,-0.3,1.2%,-0.5%,,,,,,,,
Dec 13,67.3,59.1,13.9%,-1.5%,0.8,0.7,1.2%,1.2%,,,,,,,,
Jan 14,67.6,58.9,15.4%,1.0%,0.3,-0.2,0.4%,-0.3%,,,,,,,,
Feb 14,68,59.1,18.1%,1.7%,0.4,0.2,0.6%,0.3%,,,,,,,,
Mar 14,69,58.9,20.6%,3.7%,1.0,-0.2,1.5%,-0.3%,,,,,,,,
Apr 14,71,59.5,22.6%,4.9%,2.0,0.6,2.9%,1.0%,,,,,,,,
May 14,73.6,60.5,26.2%,7.7%,2.6,1.0,3.7%,1.7%,,,,,,,,
Jun 14,76.6,61.2,26.8%,7.6%,3.0,0.7,4.1%,1.2%,,,,,,,,
Jul 14,79.7,62.3,27.3%,8.5%,3.1,1.1,4.0%,1.8%,,,,,,,,
