Quarter,Dublin ,Greater Dublin Area (ex Dublin),Outside GDA,%YoY Dublin,%YoY Greater Dublin ,%YoY Outside GDA,YoY Dublin,QoQ Dublin,%QoQ Dublin
Q3 07,"€1,244",€998,€772,,,,,,
Q4 07,"€1,301","€1,023",€770,,,,,€57,4.60%
Q1 08,"€1,297",€998,€768,,,,,-€4,-0.30%
Q2 08,"€1,290","€1,004",€771,,,,,-€7,-0.50%
Q3 08,"€1,187",€962,€734,-4.60%,-3.60%,-4.90%,-€57,-€103,-8.00%
Q4 08,"€1,194",€939,€725,-8.20%,-8.20%,-5.80%,-€107,€7,0.60%
Q1 09,"€1,120",€883,€698,-13.60%,-11.50%,-9.10%,-€177,-€74,-6.20%
Q2 09,"€1,067",€835,€677,-17.30%,-16.80%,-12.20%,-€223,-€53,-4.70%
Q3 09,"€1,025",€814,€653,-13.60%,-15.40%,-11.00%,-€162,-€42,-3.90%
Q4 09,€990,€769,€629,-17.10%,-18.10%,-13.20%,-€204,-€35,-3.40%
Q1 10,€975,€756,€923,-12.90%,-14.40%,32.20%,-€145,-€15,-1.50%
Q2 10,€973,€764,€922,-8.80%,-8.50%,36.20%,-€94,-€2,-0.20%
Q3 10,€973,€768,€614,-5.10%,-5.70%,-6.00%,-€52, €-   ,0.00%
Q4 10,€978,€752,€608,-1.20%,-2.20%,-3.30%,-€12,€5,0.50%
Q1 11,€952,€745,€598,-2.40%,-1.50%,-35.20%,-€23,-€26,-2.70%
Q2 11,€978,€743,€597,0.50%,-2.70%,-35.20%,€5,€26,2.70%
Q3 11,€993,€748,€601,2.10%,-2.60%,-2.10%,€20,€15,1.50%
Q4 11,€982,€732,€592,0.40%,-2.70%,-2.60%,€4,-€11,-1.10%
Q1 12,€961,€730,€583,0.90%,-2.00%,-2.50%,€9,-€21,-2.10%
Q2 12,€997,€739,€583,1.90%,-0.50%,-2.30%,€19,€36,3.70%
Q3 12,"€1,003",€744,€621,1.00%,-0.50%,3.30%,€10,€6,0.60%
Q4 12,"€1,013",€736,€588,3.20%,0.50%,-0.70%,€31,€10,1.00%
Q1 13,€997,€739,€583,3.70%,1.20%,0.00%,€36,-€16,-1.60%
Q2 13,"€1,039",€762,€582,4.20%,3.10%,-0.20%,€42,€42,4.20%
Q3 13,"€1,072",€765,€618,6.90%,2.80%,-0.50%,€69,€33,3.20%
Q4 13,"€1,090",€762,€586,7.60%,3.50%,-0.30%,€77,€18,1.70%
Q1 14,"€1,088",€783,€586,9.10%,6.00%,0.50%,€91,-€2,-0.20%
Q2 14,"€1,153",€910,€597,11.00%,19.40%,2.60%,€114,€65,6.00%
Q3 14,"€1,194",€944,€638,11.40%,23.40%,3.20%,€122,€41,3.60%
Q4 14,"€1,198",€939,€606,9.90%,23.20%,3.40%,€108,€4,0.30%
Q1 15,"€1,193",€859,€616,9.70%,9.70%,5.10%,€105,-€5,-0.40%
Q2 15,"€1,254",€887,€630,8.80%,-2.50%,5.50%,€101,€61,5.10%
Q3 15,"€1,297",€921,€676,8.60%,-2.40%,6.10%,€103,€43,3.40%
Q4 15,"€1,321",€940,€677,10.30%,0.10%,10.90%,€123,€24,1.90%
Q1 16,"€1,316",€968,€672,10.30%,12.70%,13.00%,€123,-€5,-0.40%
Q2 16,"€1,377",€987,€696,9.80%,11.30%,15.70%,€123,€61,4.60%
Q3 16,"€1,402",€998,€729,8.10%,8.40%,6.20%,€105,€25,1.80%
Q4 16,"€1,432","€1,024",€719,8.40%,8.90%,7.70%,€111,€30,2.10%
Q1 17,"€1,412","€1,030",€724,7.30%,6.40%,7.60%,€96,-€20,-1.40%
Q2 17,"€1,469","€1,066",€749,6.70%,8.00%,6.00%,€92,€57,4.00%
Q3 17,"€1,507","€1,083",€773,7.50%,8.50%,6.30%,€105,€38,2.60%
Q4 17,"€1,519","€1,109",€764,6.10%,8.30%,6.40%,€87,€12,0.80%
Q1 18,"€1,536","€1,092",€770,8.80%,6.00%,6.50%,€124,€17,1.10%
Q2 18,"€1,604","€1,122",€798,9.20%,5.30%,7.00%,€135,€68,4.40%
Q3 18,"€1,652","€1,144",€827,9.60%,5.60%,6.90%,€145,€48,3.00%
Q4 18,"€1,639","€1,156",€817,7.90%,4.20%,9.20%,€120,-€13,-0.80%
Q1 19,"€1,654","€1,162",€841,7.70%,6.40%,5.40%,€118,€15,0.90%
Q2 19,"€1,715","€1,196",€859,6.90%,6.60%,3.90%,€111,€61,3.70%
Q3 19,"€1,762","€1,247",€903,6.70%,9.00%,10.50%,€110,€47,2.70%
