Quarter,Public Transport million trips,Bus Éireann,Dublin City Bus,Irish Rail,Luas,YoY Public Transport,QoQ Public Transport,%YoY Public Transport,%QoQ Public Transport,%QoQ Bus Eireann,%QoQ Dub City Bus ,%QoQ Irish Rail,%QoQ Luas,Bus Éireann,Dublin City Bus,Irish Rail,Luas
Q3 07,,,,,,,,,,,,,,,,,
Q4 07,,,,,,,,,,,,,,,,,
Q1 08,,,,,,,,,,,,,,,,,
Q2 08,,,,,,,,,,,,,,,,,
Q3 08,,,,,,,,,,,,,,,,,
Q4 08,,,,,,,,,,,,,,,,,
Q1 09,,,,,,,,,,,,,,,,,
Q2 09,,,,,,,,,,,,,,,,,
Q3 09,,,,,,,,,,,,,,,,,
Q4 09,,,,,,,,,,,,,,,,,
Q1 10,45.6,1.7,29.9,7.2,6.8,,,,,,,,,"1,724,294","29,885,008","7,215,645","6,769,043"
Q2 10,45.1,1.7,29.6,7,6.7,,-0.51,,-1.10%,1.30%,-0.90%,-2.70%,-0.90%,"1,746,621","29,606,098","7,022,084","6,708,852"
Q3 10,44.8,1.7,29.4,7,6.7,,-0.27,,-0.60%,-1.50%,-0.70%,-0.90%,0.50%,"1,719,644","29,393,813","6,955,476","6,741,150"
Q4 10,44.9,1.8,28.9,7.1,7.1,,0.06,,0.10%,2.70%,-1.50%,1.40%,5.50%,"1,766,851","28,938,905","7,052,025","7,108,562"
Q1 11,44.9,1.7,29,7,7.1,,-0.01,,0.00%,-2.00%,0.20%,-1.10%,0.50%,"1,730,925","29,001,473","6,976,378","7,146,244"
Q2 11,45.7,1.7,29.5,7,7.3,,0.8,,1.80%,0.40%,1.90%,0.80%,2.60%,"1,738,506","29,543,800","7,035,269","7,333,425"
Q3 11,44.3,1.7,28.3,6.9,7.3,,-1.4,-1.20%,-3.10%,-0.20%,-4.30%,-1.70%,0.00%,"1,735,531","28,270,411","6,915,815","7,333,202"
Q4 11,42.5,1.6,27.1,6.7,7.2,,-1.72,-5.20%,-3.90%,-7.60%,-4.30%,-3.40%,-2.00%,"1,603,210","27,068,764","6,680,260","7,183,696"
Q1 12,43.2,1.7,27.5,6.8,7.2,,0.7,-3.60%,1.60%,6.30%,1.40%,2.30%,0.90%,"1,704,634","27,454,373","6,832,488","7,245,488"
