Quarter,Dublin Port Tonnage Total,,YoY%,QoQ%,Imports,Exports,Import YoY%,Export YoY%,Import QoQ%,Export QoQ%,Imports,Exports
Q1 07,7678250,7.7,,,,,,,,,0,0
Q2 07,7761156,7.8,,1.10%,,,,,,,0,0
Q3 07,7764384,7.8,,0.00%,,,,,,,0,0
Q4 07,7732245,7.7,,-0.40%,,,,,,,0,0
Q1 08,7767619,7.8,,0.50%,,,,,,,0,0
Q2 08,7564490,7.6,,-2.60%,,,,,,,0,0
Q3 08,7294248,7.3,-6.06%,-3.60%,,,,,,,0,0
Q4 08,6950838,7,-10.11%,-4.70%,,,,,,,0,0
Q1 09,6395721,6.4,-17.66%,-8.00%,,,,,,,0,0
Q2 09,6535217,6.5,-13.61%,2.20%,,,,,,,0,0
Q3 09,6640589,6.6,-8.96%,1.60%,,,,,,,0,0
Q4 09,6930985,6.9,-0.29%,4.40%,,,,,,,0,0
Q1 10,6920422,6.9,8.20%,-0.20%,,,,,,,0,0
Q2 10,7016681,7,7.37%,1.40%,,,,,,,0,0
Q3 10,7052779,7.1,6.21%,0.50%,,,,,,,0,0
Q4 10,7123600,7.1,2.78%,1.00%,,,,,,,0,0
Q1 11,7104280,7.1,2.66%,-0.30%,,,,,,,0,0
Q2 11,7004622,7,-0.17%,-1.40%,,,,,,,0,0
Q3 11,6955340,7,-1.38%,-0.70%,,,,,,,0,0
Q4 11,7031944,7,-1.29%,1.10%,0,0,,,,,0,0
Q1 12,6899754,6.9,-2.88%,-1.90%,4,2.9,,,,,4029000,2903000
Q2 12,6932245,6.9,-1.03%,0.50%,4.1,2.9,,,,,4052000,2851000
Q3 12,7022612,7,0.97%,1.30%,4.2,2.8,,,,,4165000,2835000
Q4 12,7139839,7.1,1.53%,1.70%,4.3,2.8,,,,,4332000,2821000
Q1 13,6781077,6.8,-1.72%,-5.00%,4,2.7,,,,,4040000,2720000
Q2 13,7293287,7.3,5.21%,7.60%,4.4,3,,,,,4383000,2978000
Q3 13,7362577,7.4,4.84%,1.00%,4.4,3,,,,,4411000,2952000
Q4 13,7414309,7.4,3.84%,0.70%,4.4,2.9,,,,,4437000,2920000
Q1 14,7526690,7.5,11.00%,1.50%,4.4,3,,,,,4385000,3048000
Q2 14,7687705,7.7,5.41%,2.10%,4.6,3.2,,,,,4606000,3233000
Q3 14,7758343,7.8,5.38%,0.90%,4.7,3.1,5.50%,6.10%,1.00%,-3.10%,4653000,3133000
Q4 14,7836411,7.8,5.69%,1.00%,4.7,3.1,6.20%,5.40%,1.30%,-1.80%,4714000,3077000
Q1 15,7959608,8,5.75%,1.60%,4.7,3.1,6.90%,3.00%,-0.60%,2.00%,4687000,3140000
Q2 15,8098794,8.1,5.35%,1.70%,4.8,3.4,4.40%,5.30%,2.60%,8.40%,4809000,3404000
Q3 15,8305509,8.3,7.05%,2.60%,4.9,3.4,6.30%,7.80%,2.80%,-0.80%,4946000,3378000
Q4 15,8457581,8.5,7.93%,1.80%,5.1,3.4,8.50%,9.60%,3.50%,-0.20%,5117000,3372000
Q1 16,8570549,8.6,7.68%,1.30%,5,3.4,6.10%,8.20%,-2.80%,0.80%,4972000,3399000
Q2 16,8745516,8.7,7.99%,2.00%,5.3,3.6,10.50%,7.10%,6.90%,7.20%,5315000,3644000
Q3 16,8745511,8.7,5.30%,0.00%,5.1,3.6,3.70%,5.70%,-3.50%,-2.10%,5127000,3569000
Q4 16,8857562,8.9,4.73%,1.30%,5.3,3.6,4.20%,5.90%,4.00%,0.10%,5331000,3571000
Q1 17,8939398,8.9,4.30%,0.90%,5.1,3.6,3.30%,5.90%,-3.60%,0.80%,5138000,3598000
Q2 17,9007608,9,3.00%,0.80%,5.4,3.8,0.90%,3.60%,4.40%,4.90%,5364000,3775000
Q3 17,9196710,9.2,5.16%,2.10%,5.5,3.8,6.70%,6.50%,2.00%,0.70%,5472000,3802000
Q4 17,9257340,9.3,4.51%,0.70%,5.6,3.7,4.60%,3.50%,1.90%,-2.80%,5576000,3696000
Q1 18,9293703,9.3,3.96%,0.40%,5.4,3.7,4.30%,2.10%,-3.90%,-0.60%,5360000,3672000
Q2 18,9565971,9.6,6.20%,2.90%,5.7,4.1,6.40%,7.50%,6.50%,10.60%,5707000,4060000
Q3 18,9604510,9.6,4.43%,0.40%,5.8,3.8,6.80%,-0.30%,2.40%,-6.60%,5843000,3791000
Q4 18,9625721,9.6,3.98%,0.20%,5.8,3.7,4.50%,1.14%,-0.30%,-1.40%,5828000,3738000
Q1 19,9705208,9.7,4.43%,0.80%,5.8,3.9,8.10%,5.86%,-0.60%,4.00%,5794000,3887000
Q2 19,9554123,9.6,-0.12%,-1.60%,5.7,3.9,-0.60%,-3.40%,-2.10%,0.90%,5670000,3922000
Q3 19,9469207,9.5,-1.41%,-0.90%,5.7,3.7,-1.70%,-1.40%,1.30%,-4.70%,5743000,3738000
Q4 19,9391665,9.4,-2.43%,-0.80%,5.7,3.7,-3.00%,-0.13%,-1.60%,-0.10%,5652000,3733000
Q1 20,9283510,9.3,-4.35%,-1.20%,5.5,3.7,-4.70%,-4.94%,-2.30%,-1.00%,5524000,3695000
Q2 20,7920411,7.9,-17.10%,-14.70%,4.5,3.5,-20.70%,-11.78%,-18.60%,-6.40%,4495000,3460000
