Quarter,Dublin Employment ('000) - Construction (F),"Dublin Employment ('000) - Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin Employment ('000) - Transportation and storage (H),Dublin Employment ('000) - Accommodation and food service activities (I),Dublin Employment ('000) - Information and communication (J),"Dublin Employment ('000) - Professional, scientific and technical activities (M)",Dublin Employment ('000) - Administrative and support service activities (N),"Dublin Employment ('000) - Public administration and defence, compulsory social security (O)",Dublin Employment ('000) - Education (P),Dublin Employment ('000) - Human health and social work activities (Q),Dublin Employment ('000) - Industry (B to E),Dublin Employment ('000) - Industry and Construction (B to F),Dublin Employment ('000) - Services (G to U),"Dublin Employment ('000) - Financial, insurance and real estate activities (K,L)",Dublin Employment ('000) - Other NACE activities (R to U),Dublin Employment ('000) - Not stated,Private Sector,Education,Human health & social work,Financial/ Insurance,Other
Q1 98,24,74.15614036,29.34740602,31.8,36.44825983,35.2,23.41233094,28.3,29.81117483,40.09612368,74.51964472,97.89134338,389.8539485,35.4,26.9,,316.7,,,,
Q2 98,24.3,73.13890862,29.92087557,31.3,37.32702193,36,23.49763792,27,30.34000199,40.26283136,74.97293091,99.89867886,391.8276744,35.7,25.7,,316.9,,,,
Q3 98,25,74.90853508,30.97561431,33.5,38.94617729,36.3,23.6357222,26.9,30.31867655,40.92629034,76.97133775,101.8693667,399.2985974,37.9,27.3,,328.5,,,,
Q4 98,26.2,72.85764482,31.96430966,30.8,39.59176887,37.5,24.26145439,26.9,30.85010876,40.94910401,76.00462659,102.4531576,401.7302781,38.3,26.6,,328.1,,,,
Q1 99,27.1,74.18227138,33.51936131,33.5,42.22582502,37.7,23.81243444,28.4,31.40374016,40.74466398,76.45337595,103.3397749,410.4605002,38.7,27.3,,338,,,,
Q2 99,27.5,75.26053396,33.46436684,34,42.91046461,40.5,23.59874454,28.3,30.83412709,42.0458904,76.0746624,103.7592387,418.1169039,39.7,25.9,,342.8,,,,
Q3 99,28,77.20872189,34.39754961,35.7,44.79684227,39.6,22.56503752,27.7,30.57970542,43.2468977,76.01020543,103.4775464,422.4454645,41.8,27,,351.1,,,,
Q4 99,28.8,78.36265184,33.38152177,33.1,44.70617209,40.3,24.66899866,28.1,30.44039696,44.48271555,75.64865966,104.9368221,427.3039314,40.9,27.5,,351.7,,,,
Q1 00,30,79.72037338,33.68905361,33.8,44.22112853,41,25.51391898,27.3,30.91843823,45.88447085,76.67567458,106.1107041,430.1994829,40.6,27.7,,356.2,,,,
Q2 00,30.9,81.707488,33.02128618,35,43.98833404,40,25.7252037,26.8,31.5557445,46.59300964,76.06534386,107.7549871,435.0763893,42.6,26.2,,359.1,,,,
Q3 00,32.7,83.0795398,34.14221248,35.5,44.42076962,40.6,25.86860776,29.1,32.3417829,47.84538945,78.05644867,109.8870549,441.2784402,43.6,27.2,,367.1,,,,
Q4 00,33,82.86168821,34.36642136,35.2,42.98124332,41.6,27.41295779,28.4,32.83551084,47.61573792,76.37077914,109.9623143,443.9772142,44,26.2,,367.6,,,,
Q1 01,33.5,83.26073574,35.4242144,34.5,43.76486396,42.4,26.51581663,28.2,33.08529798,46.68435558,77.30647877,110.0528996,446.1204329,44.5,27.2,,371.1,,,,
Q2 01,33.4,83.4032857,35.81649183,35.1,43.42595056,43.3,27.54811584,28.3,33.38168073,47.0636596,74.69739321,109.3464257,449.2286669,43.7,27.1,,372.8,,,,
Q3 01,33.7,82.73631943,37.10576924,38.1,44.31821262,42.1,28.00319325,27.3,33.25014053,48.32452564,74.69781659,107.6295917,452.7439366,46.7,27.9,,380.7,,,,
