Quarter,Completions NEW,Commencements,Completions > Commencements ,%YoY Completions ,%YoY Commencements ,YoY Completions ,YoY Commencements ,%QoQ Completions  ,%QoQ Commencements ,QoQ Completions ,QoQ Commencements ,,,,,,
Q1 2011,336,66,TRUE,,,,,,,,,,,,,,
Q2 2011,347,163,TRUE,,,,,3.3%,147.0%,11,97,,,,,,
Q3 2011,179,63,TRUE,,,,,-48.4%,-61.3%,-167.7007987,-100,,,,,,
Q4 2011,142,46,TRUE,,,,,-20.9%,-27.0%,-37.35724078,-17,,,,,,
Q1 2012,129,43,TRUE,-61.7%,-34.8%,-207,-23,-9.2%,-6.5%,-13.08734817,-3,,,,,,
Q2 2012,106,391,FALSE,-69.4%,139.9%,-240.8,228,-17.6%,809.3%,-22.6170832,348,,,,,,
Q3 2012,144,89,TRUE,-19.9%,41.3%,-35.6,26,35.4%,-77.2%,37.49310033,-302,,,,,,
Q4 2012,192,243,FALSE,35.5%,428.3%,50.3,197,33.8%,173.0%,48.54018062,154,,,,,,
Q1 2013,132,254,FALSE,2.7%,490.7%,3.5,211,-31.2%,4.5%,-59.93476469,11,,,,,,
Q2 2013,196,182,TRUE,84.9%,-53.5%,90.0,-209,48.4%,-28.3%,63.94070822,-72,,,,,,
Q3 2013,179,487,FALSE,24.9%,447.2%,35.7,398,-8.6%,167.6%,-16.82426204,305,,,,,,
Q4 2013,294,528,FALSE,52.9%,117.3%,101.7,285,63.9%,8.4%,114.4773513,41,,,,,,
Q1 2014,352,1575,FALSE,166.2%,520.1%,219.7,1321,19.8%,198.3%,58.06020291,1047,,,,,,
Q2 2014,467,144,TRUE,138.3%,-20.9%,271.2,-38,32.8%,-90.9%,115.4403722,-1431,,,,,,
Q3 2014,428,311,TRUE,138.7%,-36.1%,248.6,-176,-8.4%,116.0%,-39.35438632,167,,,,,,
Q4 2014,449,420,TRUE,52.7%,-20.5%,154.8,-108,4.8%,35.0%,20.63380655,109,,,,,,
Q1 2015,520,469,TRUE,47.8%,-70.2%,168.0,-1106,15.9%,11.7%,71.29152814,49,,,,,,
Q2 2015,464,898,FALSE,-0.7%,523.6%,-3.2,754,-10.7%,91.5%,-55.81947051,429,,,,,,
Q3 2015,558,1218,FALSE,30.3%,291.6%,129.7,907,20.2%,35.6%,93.59863077,320,,,,,,
Q4 2015,564,1301,FALSE,25.7%,209.8%,115.5,881,1.1%,6.8%,6.384241544,83,,,,,,
Q1 2016,927,1552,FALSE,78.4%,230.9%,407.4,1083,64.4%,19.3%,363.2132335,251,,,,,,
Q2 2016,896,1093,FALSE,93.1%,21.7%,432.0,195,-3.4%,-29.6%,-31.2055702,-459,,,,,,
Q3 2016,831,897,FALSE,49.0%,-26.4%,273.2,-321,-7.3%,-17.9%,-65.17856631,-196,,,,,,
Q4 2016,920,1862,FALSE,63.1%,43.1%,355.9,561,10.7%,107.6%,89.05086437,965,,,,,,
Q1 2017,1219,1465,FALSE,31.5%,-5.6%,292.1,-87,32.6%,-21.3%,299.4535022,-397,,,,,,
Q2 2017,1337,2196,FALSE,49.3%,100.9%,441.4,1103,9.7%,49.9%,118.1187409,731,,,,,,
Q3 2017,1505,1686,FALSE,81.1%,88.0%,673.8,789,12.5%,-23.2%,167.2154043,-510,,,,,,
Q4 2017,1471,1640,FALSE,59.9%,-11.9%,550.9,-222,-2.3%,-2.7%,-33.90659295,-46,,,,,,
Q1 2018,1395,1433,FALSE,14.4%,-2.2%,175.6,-32,-5.2%,-12.6%,-75.84146661,-207,,,,,,
Q2 2018,1898,1950,FALSE,41.9%,-11.2%,560.2,-246,36.0%,36.1%,502.7372104,517,,,,,,
Q3 2018,1835,2084,FALSE,21.9%,23.6%,330.2,398,-3.3%,6.9%,-62.8,134,,,,,,
Q4 2018,1736,2240,FALSE,18.0%,36.6%,264.9,600,-5.4%,7.5%,-99.2,156,,,,,,
Q1 2019,1724,2237,FALSE,23.6%,56.1%,329.5,804,-0.6%,-0.1%,-11.2,-3,,,,,,
Q2 2019,1568,1589,FALSE,-17.4%,-18.5%,-330.1,-361,-9.1%,-29.0%,-156.9,-648,,,,,,
Q3 2019,1892,2648,FALSE,3.1%,27.1%,57.2,564,20.7%,66.6%,324.5,1059,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
