quarter,region,Persons aged 15 years and over in Employment (Thousand),Unemployed Persons aged 15 years and over (Thousand),Persons aged 15 years and over in Labour Force (Thousand),ILO Unemployment Rate (15 - 74 years) (%),ILO Participation Rate (15 years and over) (%)
01/01/1998,Border,144.9,19,163.9,11.7,52.3
01/04/1998,Border,147.8,16.4,164.2,10.1,52.2
01/07/1998,Border,151.9,14.9,166.8,9,52.7
01/10/1998,Border,152.4,14.5,166.9,8.7,52.6
01/01/1999,Border,156.6,15.4,172.1,9,54.1
01/04/1999,Border,159,15.3,174.3,8.8,54.6
01/07/1999,Border,162.1,14.6,176.7,8.3,55.1
01/10/1999,Border,160.5,13.6,174.1,7.9,54
01/01/2000,Border,161.1,12.3,173.4,7.1,53.6
01/04/2000,Border,165.9,12.1,178,6.8,54.9
01/07/2000,Border,170,10.2,180.2,5.7,55.4
01/10/2000,Border,170.9,9.3,180.3,5.2,55.1
01/01/2001,Border,170.4,10.4,180.7,5.8,55.1
01/04/2001,Border,174.2,10.8,185,5.9,56.2
01/07/2001,Border,175.4,12.3,187.6,6.6,56.7
01/10/2001,Border,174.1,11.5,185.6,6.2,55.8
01/01/2002,Border,172.5,12.1,184.6,6.6,55.3
01/04/2002,Border,173.9,13.1,187,7.1,55.7
01/07/2002,Border,176.8,11.8,188.7,6.3,55.9
01/10/2002,Border,177.7,13.1,190.8,6.9,56.2
01/01/2003,Border,176.5,12.6,189.1,6.7,55.4
01/04/2003,Border,179.2,11.9,191.1,6.2,55.8
01/07/2003,Border,184.1,12,196.1,6.1,56.8
01/10/2003,Border,187.6,11,198.6,5.6,57
01/01/2004,Border,189.6,11.5,201.2,5.8,57.4
01/04/2004,Border,192.3,11.7,203.9,5.7,58
01/07/2004,Border,197.5,11.3,208.9,5.5,59.1
01/10/2004,Border,197.3,10.7,208,5.2,58.5
01/01/2005,Border,198.3,9.8,208.2,4.7,58.3
01/04/2005,Border,198.2,11.9,210.1,5.7,58.6
01/07/2005,Border,202.4,11.4,213.8,5.4,59.2
01/10/2005,Border,203.8,10.4,214.3,4.9,59
01/01/2006,Border,205.9,10.6,216.5,4.9,59.3
01/04/2006,Border,210.6,12.4,223,5.6,60.4
01/07/2006,Border,213.4,13.9,227.3,6.1,61
01/10/2006,Border,217.6,11,228.6,4.8,60.9
01/01/2007,Border,218,13.4,231.3,5.8,61.2
01/04/2007,Border,221.8,13.9,235.7,5.9,62
01/07/2007,Border,221.9,14.1,236,6,61.6
01/10/2007,Border,221.1,14,235.2,6,61
01/01/2008,Border,218.7,13.7,232.4,5.9,60
01/04/2008,Border,217.8,16,233.8,6.9,60
01/07/2008,Border,216.1,19.2,235.3,8.2,60
01/10/2008,Border,216.2,20,236.2,8.5,59.9
01/01/2009,Border,198.5,27,225.4,12,56.9
01/04/2009,Border,196.8,31.6,228.4,13.9,57.4
01/07/2009,Border,198.5,32.7,231.2,14.2,58.1
01/10/2009,Border,190.3,29.7,220,13.5,55.3
01/01/2010,Border,190.3,24.2,214.5,11.3,53.8
01/04/2010,Border,190.1,29.7,219.8,13.5,55.2
01/07/2010,Border,190.5,30.2,220.6,13.7,55.3
01/10/2010,Border,187.4,29.2,216.6,13.5,54.2
01/01/2011,Border,187.1,28.1,215.2,13.1,53.9
01/04/2011,Border,187.1,33.4,220.5,15.2,55.2
01/07/2011,Border,185.1,31.7,216.7,14.7,54.4
01/10/2011,Border,180.8,29.1,210,13.9,52.9
01/01/2012,Border,174.5,31.7,206.2,15.5,52.1
01/04/2012,Border,174.6,34.8,209.4,16.7,53.1
01/07/2012,Border,172.4,37.2,209.6,17.8,53.3
01/10/2012,Border,171.5,33.9,205.4,16.6,52.4
01/01/2013,Border,176.8,32.4,209.3,15.6,53.3
01/04/2013,Border,183.1,33.2,216.3,15.4,55.1
01/07/2013,Border,181.8,32.5,214.3,15.2,54.8
01/10/2013,Border,185.8,29,214.8,13.6,55.2
01/01/2014,Border,183.8,27.6,211.4,13.2,54.6
01/04/2014,Border,185,27.7,212.8,13.1,55
01/07/2014,Border,190.7,25.3,216,11.8,56.2
01/10/2014,Border,185.8,20.6,206.4,10.1,54
01/01/2015,Border,190.7,21.5,212.2,10.2,55.7
01/04/2015,Border,193.1,20,213.1,9.4,56.2
01/07/2015,Border,195.4,19.9,215.2,9.3,56.8
01/10/2015,Border,195,18.6,213.6,8.7,56.5
01/01/2016,Border,195.7,18.2,213.9,8.6,56.3
01/04/2016,Border,196.9,19.7,216.6,9.2,57
01/07/2016,Border,196.3,19.7,216,9.2,56.6
01/10/2016,Border,197.5,17.1,214.6,8,56.2
01/01/2017,Border,195.4,15.7,211.2,7.5,55.1
01/04/2017,Border,196.7,13.8,210.5,6.6,54.7
01/01/1998,Midland,76.9,7.7,84.6,9.1,53.1
01/04/1998,Midland,80.2,7.4,87.6,8.5,54.7
01/07/1998,Midland,80.8,6.7,87.5,7.7,54.2
01/10/1998,Midland,80.2,5.8,86,6.7,53
01/01/1999,Midland,81.9,6.2,88.2,7.1,54.2
01/04/1999,Midland,84.6,6.2,90.8,6.9,55.6
01/07/1999,Midland,86.8,5.9,92.7,6.4,56.5
01/10/1999,Midland,86.8,5.7,92.4,6.1,56.1
01/01/2000,Midland,88,5.4,93.4,5.8,56.5
01/04/2000,Midland,89.2,5.7,94.9,6.1,57.2
01/07/2000,Midland,90.8,5.1,95.8,5.3,57.4
01/10/2000,Midland,90.5,3.8,94.3,4.1,56
01/01/2001,Midland,90.6,3.9,94.4,4.1,55.9
