date,Dublin City,South Dublin,Fingal,Dun Laoghaire- Rathdown
2000,28958,8778,6594,11865
2001,28274,8625,5888,11761
2002,26409,8900,6453,11716
2003,24454,9540,7403,11556
2004,23626,9707,7641,11793
2005,22923,9557,7610,11904
2006,22914,9597,7190,11983
2007,22828,10342,6827,11770
2008,22900,10320,6837,11704
2009,22809,10336,6949,11804
2010,25298,8573,6125,12140
2011,25400,8576,6106,12085
2012,25497,8682,6232,12203
2013,25613,8640,6326,12109
2014,25427,8721,6375,12269
2015,25220,8798,6731,12247
2016,25198,8706,7029,12188
2017,25160,8740,7392,12329
2018,25123,8708,7796,12393
