datetime,value
2019-09-26 11:00,
2019-09-26 11:15,
2019-09-26 11:30,
2019-09-26 11:45,9.503
2019-09-26 12:00,9.502
2019-09-26 12:15,9.502
2019-09-26 12:30,9.499
2019-09-26 12:45,9.498
2019-09-26 13:00,9.499
2019-09-26 13:15,9.497
2019-09-26 13:30,9.496
2019-09-26 13:45,9.496
2019-09-26 14:00,9.494
2019-09-26 14:15,9.493
2019-09-26 14:30,9.491
2019-09-26 14:45,9.490
2019-09-26 15:00,9.490
2019-09-26 15:15,9.490
2019-09-26 15:30,9.488
2019-09-26 15:45,9.487
2019-09-26 16:00,9.486
2019-09-26 16:15,9.486
2019-09-26 16:30,9.485
2019-09-26 16:45,9.483
2019-09-26 17:00,9.482
2019-09-26 17:15,9.480
2019-09-26 17:30,9.479
2019-09-26 17:45,9.478
2019-09-26 18:00,9.477
2019-09-26 18:15,9.477
2019-09-26 18:30,9.476
2019-09-26 18:45,9.475
2019-09-26 19:00,9.474
2019-09-26 19:15,9.472
2019-09-26 19:30,9.471
2019-09-26 19:45,9.470
2019-09-26 20:00,9.470
2019-09-26 20:15,9.467
2019-09-26 20:30,9.467
2019-09-26 20:45,9.467
2019-09-26 21:00,9.466
2019-09-26 21:15,9.464
2019-09-26 21:30,9.463
2019-09-26 21:45,9.463
2019-09-26 22:00,9.460
2019-09-26 22:15,9.461
2019-09-26 22:30,9.460
2019-09-26 22:45,9.457
2019-09-26 23:00,9.456
2019-09-26 23:15,9.456
2019-09-26 23:30,9.454
2019-09-26 23:45,9.454
2019-09-27 00:00,9.451
2019-09-27 00:15,9.451
2019-09-27 00:30,9.450
2019-09-27 00:45,9.447
2019-09-27 01:00,9.447
2019-09-27 01:15,9.447
2019-09-27 01:30,9.445
2019-09-27 01:45,9.442
2019-09-27 02:00,9.443
2019-09-27 02:15,9.441
2019-09-27 02:30,9.440
2019-09-27 02:45,9.439
2019-09-27 03:00,9.439
2019-09-27 03:15,9.439
2019-09-27 03:30,9.437
2019-09-27 03:45,9.437
2019-09-27 04:00,9.435
2019-09-27 04:15,9.434
2019-09-27 04:30,9.434
2019-09-27 04:45,9.433
2019-09-27 05:00,9.433
2019-09-27 05:15,9.431
2019-09-27 05:30,9.431
2019-09-27 05:45,9.430
2019-09-27 06:00,9.429
2019-09-27 06:15,9.426
2019-09-27 06:30,9.426
2019-09-27 06:45,9.427
2019-09-27 07:00,9.425
2019-09-27 07:15,9.423
2019-09-27 07:30,9.424
2019-09-27 07:45,9.424
2019-09-27 08:00,9.423
2019-09-27 08:15,9.423
2019-09-27 08:30,9.420
2019-09-27 08:45,9.421
2019-09-27 09:00,9.419
2019-09-27 09:15,9.418
2019-09-27 09:30,9.418
2019-09-27 09:45,9.418
2019-09-27 10:00,9.416
2019-09-27 10:15,9.416
2019-09-27 10:30,9.416
2019-09-27 10:45,9.415
2019-09-27 11:00,9.413
2019-09-27 11:15,9.413
2019-09-27 11:30,9.415
2019-09-27 11:45,9.412
2019-09-27 12:00,9.413
2019-09-27 12:15,9.411
2019-09-27 12:30,9.409
2019-09-27 12:45,9.410
2019-09-27 13:00,9.410
2019-09-27 13:15,9.408
