datetime,value
2019-10-11 18:00,
2019-10-11 18:15,
2019-10-11 18:30,
2019-10-11 18:45,
2019-10-11 19:00,
2019-10-11 19:15,
2019-10-11 19:30,
2019-10-11 19:45,
2019-10-11 20:00,
2019-10-11 20:15,
2019-10-11 20:30,
2019-10-11 20:45,
2019-10-11 21:00,
2019-10-11 21:15,
2019-10-11 21:30,
2019-10-11 21:45,
2019-10-11 22:00,
2019-10-11 22:15,
2019-10-11 22:30,
2019-10-11 22:45,
2019-10-11 23:00,
2019-10-11 23:15,
2019-10-11 23:30,
2019-10-11 23:45,
2019-10-12 00:00,
2019-10-12 00:15,
2019-10-12 00:30,
2019-10-12 00:45,
2019-10-12 01:00,
2019-10-12 01:15,
2019-10-12 01:30,
2019-10-12 01:45,
2019-10-12 02:00,
2019-10-12 02:15,
2019-10-12 02:30,
2019-10-12 02:45,
2019-10-12 03:00,
2019-10-12 03:15,
2019-10-12 03:30,
2019-10-12 03:45,
2019-10-12 04:00,
2019-10-12 04:15,
2019-10-12 04:30,
2019-10-12 04:45,
2019-10-12 05:00,
2019-10-12 05:15,
2019-10-12 05:30,
2019-10-12 05:45,
2019-10-12 06:00,
2019-10-12 06:15,
2019-10-12 06:30,
2019-10-12 06:45,
2019-10-12 07:00,
2019-10-12 07:15,
2019-10-12 07:30,
2019-10-12 07:45,
2019-10-12 08:00,
2019-10-12 08:15,
2019-10-12 08:30,
2019-10-12 08:45,
2019-10-12 09:00,
2019-10-12 09:15,
2019-10-12 09:30,
2019-10-12 09:45,
2019-10-12 10:00,
2019-10-12 10:15,
2019-10-12 10:30,
2019-10-12 10:45,
2019-10-12 11:00,
2019-10-12 11:15,
2019-10-12 11:30,
2019-10-12 11:45,
2019-10-12 12:00,
2019-10-12 12:15,
2019-10-12 12:30,
2019-10-12 12:45,
2019-10-12 13:00,
2019-10-12 13:15,
2019-10-12 13:30,
2019-10-12 13:45,
2019-10-12 14:00,
2019-10-12 14:15,
2019-10-12 14:30,
2019-10-12 14:45,
2019-10-12 15:00,
2019-10-12 15:15,
2019-10-12 15:30,
2019-10-12 15:45,
2019-10-12 16:00,
2019-10-12 16:15,
2019-10-12 16:30,
2019-10-12 16:45,
2019-10-12 17:00,
2019-10-12 17:15,
2019-10-12 17:30,
2019-10-12 17:45,
2019-10-12 18:00,
2019-10-12 18:15,
2019-10-12 18:30,
2019-10-12 18:45,
2019-10-12 19:00,
2019-10-12 19:15,
2019-10-12 19:30,
2019-10-12 19:45,
2019-10-12 20:00,
2019-10-12 20:15,
2019-10-12 20:30,
2019-10-12 20:45,
2019-10-12 21:00,
2019-10-12 21:15,
2019-10-12 21:30,
2019-10-12 21:45,
2019-10-12 22:00,
2019-10-12 22:15,
2019-10-12 22:30,
2019-10-12 22:45,
2019-10-12 23:00,
2019-10-12 23:15,
2019-10-12 23:30,
2019-10-12 23:45,
2019-10-13 00:00,
2019-10-13 00:15,
2019-10-13 00:30,
2019-10-13 00:45,
2019-10-13 01:00,
2019-10-13 01:15,
2019-10-13 01:30,
2019-10-13 01:45,
2019-10-13 02:00,
2019-10-13 02:15,
2019-10-13 02:30,
2019-10-13 02:45,
2019-10-13 03:00,
2019-10-13 03:15,
2019-10-13 03:30,
2019-10-13 03:45,
2019-10-13 04:00,
2019-10-13 04:15,
2019-10-13 04:30,
2019-10-13 04:45,
2019-10-13 05:00,
2019-10-13 05:15,
2019-10-13 05:30,
2019-10-13 05:45,
2019-10-13 06:00,
2019-10-13 06:15,
2019-10-13 06:30,
2019-10-13 06:45,
2019-10-13 07:00,
2019-10-13 07:15,
2019-10-13 07:30,
2019-10-13 07:45,
2019-10-13 08:00,
2019-10-13 08:15,
2019-10-13 08:30,
2019-10-13 08:45,
2019-10-13 09:00,
2019-10-13 09:15,
2019-10-13 09:30,
2019-10-13 09:45,
2019-10-13 10:00,
2019-10-13 10:15,
2019-10-13 10:30,
2019-10-13 10:45,
2019-10-13 11:00,
2019-10-13 11:15,
2019-10-13 11:30,
2019-10-13 11:45,
2019-10-13 12:00,
2019-10-13 12:15,
2019-10-13 12:30,
2019-10-13 12:45,
2019-10-13 13:00,
2019-10-13 13:15,
2019-10-13 13:30,
2019-10-13 13:45,
2019-10-13 14:00,
2019-10-13 14:15,
2019-10-13 14:30,
2019-10-13 14:45,
2019-10-13 15:00,
2019-10-13 15:15,
2019-10-13 15:30,
2019-10-13 15:45,
2019-10-13 16:00,
2019-10-13 16:15,
2019-10-13 16:30,
2019-10-13 16:45,
2019-10-13 17:00,
2019-10-13 17:15,
2019-10-13 17:30,
2019-10-13 17:45,
2019-10-13 18:00,
2019-10-13 18:15,
2019-10-13 18:30,
2019-10-13 18:45,
2019-10-13 19:00,
2019-10-13 19:15,
2019-10-13 19:30,
2019-10-13 19:45,
2019-10-13 20:00,
2019-10-13 20:15,
2019-10-13 20:30,
2019-10-13 20:45,
2019-10-13 21:00,
2019-10-13 21:15,
2019-10-13 21:30,
2019-10-13 21:45,
2019-10-13 22:00,
2019-10-13 22:15,
2019-10-13 22:30,
2019-10-13 22:45,
2019-10-13 23:00,
2019-10-13 23:15,
2019-10-13 23:30,
2019-10-13 23:45,
2019-10-14 00:00,
2019-10-14 00:15,
2019-10-14 00:30,
2019-10-14 00:45,
2019-10-14 01:00,
2019-10-14 01:15,
2019-10-14 01:30,
2019-10-14 01:45,
2019-10-14 02:00,
2019-10-14 02:15,
2019-10-14 02:30,
2019-10-14 02:45,
2019-10-14 03:00,
2019-10-14 03:15,
2019-10-14 03:30,
2019-10-14 03:45,
2019-10-14 04:00,
2019-10-14 04:15,
2019-10-14 04:30,
2019-10-14 04:45,
2019-10-14 05:00,
2019-10-14 05:15,
2019-10-14 05:30,
2019-10-14 05:45,
2019-10-14 06:00,
2019-10-14 06:15,
