date,region,value
2008,Dublin City Council,11
2009,Dublin City Council,16
2010,Dublin City Council,26
2011,Dublin City Council,35
2012,Dublin City Council,30
2013,Dublin City Council,41
2014,Dublin City Council,43
2015,Dublin City Council,46
2008,Dun Laoghaire-Rathdown,11
2009,Dun Laoghaire-Rathdown,10
2010,Dun Laoghaire-Rathdown,10
2011,Dun Laoghaire-Rathdown,14
2012,Dun Laoghaire-Rathdown,11
2013,Dun Laoghaire-Rathdown,14
2014,Dun Laoghaire-Rathdown,15
2015,Dun Laoghaire-Rathdown,18
2008,Fingal,13
2009,Fingal,13
2010,Fingal,9
2011,Fingal,15
2012,Fingal,11
2013,Fingal,16
2014,Fingal,19
2015,Fingal,18
2008,South Dublin ,16
2009,South Dublin ,18
2010,South Dublin ,27
2011,South Dublin ,29
2012,South Dublin ,26
2013,South Dublin ,40
2014,South Dublin ,51
2015,South Dublin ,41
