date,region,value
2006,Dublin City,393
2007,Dublin City,386
2008,Dublin City,384
2009,Dublin City,344
2010,Dublin City,318
2011,Dublin City,295
2012,Dublin City,271
2013,Dublin City,264
2006,Dun Laoghaire- Rathdown,389
2007,Dun Laoghaire- Rathdown,379
2008,Dun Laoghaire- Rathdown,373
2009,Dun Laoghaire- Rathdown,421
2010,Dun Laoghaire- Rathdown,327
2011,Dun Laoghaire- Rathdown,319
2012,Dun Laoghaire- Rathdown,322
2013,Dun Laoghaire- Rathdown,334
2006,Fingal,402
2007,Fingal,436
2008,Fingal,437
2009,Fingal,411
2010,Fingal,409
2011,Fingal,353
2012,Fingal,350
2013,Fingal,362
2006,South Dublin,420
2007,South Dublin,426
2008,South Dublin,432
2009,South Dublin,438
2010,South Dublin,392
2011,South Dublin,345
2012,South Dublin,308
2013,South Dublin,296
