datetime,value
2019-11-01 19:00,
2019-11-01 19:15,
2019-11-01 19:30,
2019-11-01 19:45,
2019-11-01 20:00,31.932
2019-11-01 20:15,31.942
2019-11-01 20:30,31.951
2019-11-01 20:45,31.956
2019-11-01 21:00,31.963
2019-11-01 21:15,31.970
2019-11-01 21:30,31.980
2019-11-01 21:45,31.990
2019-11-01 22:00,32.000
2019-11-01 22:15,32.008
2019-11-01 22:30,32.017
2019-11-01 22:45,32.027
2019-11-01 23:00,32.037
2019-11-01 23:15,32.046
2019-11-01 23:30,32.054
2019-11-01 23:45,32.063
2019-11-02 00:00,32.071
2019-11-02 00:15,32.079
2019-11-02 00:30,32.087
2019-11-02 00:45,32.094
2019-11-02 01:00,32.101
2019-11-02 01:15,32.108
2019-11-02 01:30,32.115
2019-11-02 01:45,32.120
2019-11-02 02:00,32.127
2019-11-02 02:15,32.134
2019-11-02 02:30,32.141
2019-11-02 02:45,32.148
2019-11-02 03:00,32.156
2019-11-02 03:15,32.162
2019-11-02 03:30,32.169
2019-11-02 03:45,32.178
2019-11-02 04:00,32.184
2019-11-02 04:15,32.192
2019-11-02 04:30,32.199
2019-11-02 04:45,32.206
2019-11-02 05:00,32.213
2019-11-02 05:15,32.223
2019-11-02 05:30,32.230
2019-11-02 05:45,32.237
2019-11-02 06:00,32.244
2019-11-02 06:15,32.252
2019-11-02 06:30,32.260
2019-11-02 06:45,32.268
2019-11-02 07:00,32.275
2019-11-02 07:15,32.284
2019-11-02 07:30,32.291
2019-11-02 07:45,32.297
2019-11-02 08:00,32.304
2019-11-02 08:15,32.311
2019-11-02 08:30,32.316
2019-11-02 08:45,32.325
2019-11-02 09:00,32.330
2019-11-02 09:15,32.335
2019-11-02 09:30,32.340
2019-11-02 09:45,32.345
2019-11-02 10:00,32.351
2019-11-02 10:15,32.356
2019-11-02 10:30,32.365
2019-11-02 10:45,32.368
2019-11-02 11:00,32.372
2019-11-02 11:15,32.378
2019-11-02 11:30,32.381
2019-11-02 11:45,32.386
2019-11-02 12:00,32.391
2019-11-02 12:15,32.395
2019-11-02 12:30,32.399
2019-11-02 12:45,32.403
2019-11-02 13:00,32.406
2019-11-02 13:15,32.409
2019-11-02 13:30,32.413
2019-11-02 13:45,32.416
2019-11-02 14:00,32.417
