1,Connolly Hospital,11,12,13,13,13,15,15,14,14,14,14,13,12,12,12,10,10,10,11,11,12,12,13,13,12,12,10,9,8,8,7,7,7,7,7,8,9,10,11,12,13,14,13,13,14,14,15,13,11,11,9,9
2,St James' Hospital,4,5,5,5,4,5,6,7,8,10,10,10,9,9,7,6,5,5,4,4,3,4,4,5,5,5,5,5,6,7,8,9,10,10,10,10,11,14,13,14,15,15,14,12,13,13,13,12,12,13,13,13
3,Mater Misericordiae University Hospital,8,8,8,10,11,13,15,15,15,14,14,14,13,13,12,12,10,9,8,7,8,9,11,13,14,14,14,14,13,11,11,11,12,11,13,13,14,15,14,15,16,16,18,17,19,19,20,20,21,21,21,21
4,St Vincent's University Hospital,5,8,10,12,12,12,13,11,10,9,9,8,9,8,7,7,6,7,9,8,8,8,7,4,3,4,6,6,7,8,8,8,7,8,9,8,9,9,10,10,10,12,12,12,12,11,13,16,16,15,13,11
5,Beaumont Hospital,25,26,27,25,22,24,26,24,24,23,22,21,19,20,19,20,21,21,20,18,17,15,16,14,14,14,13,13,14,16,17,18,20,20,20,20,21,22,23,24,26,27,27,26,27,27,29,31,33,35,32,29
6,Tallaght Hospital,9,10,11,11,11,12,12,11,10,10,11,10,10,10,10,10,8,8,8,8,9,9,9,10,10,9,8,8,8,7,5,5,5,5,4,4,5,5,5,6,6,6,5,6,7,7,7,6,7,8,8,7
7,Connolly Hospital,14,13,13,12,12,13,14,15,15,16,17,17,18,17,18,19,19,19,18,18,18,18,17,17,16,15,15,15,14,14,15,15,14,13,13,14,15,15,15,16,17,17,17,18,18,17,16,15,14,13,12,11
8,St James' Hospital,4,4,4,6,6,7,8,9,9,8,9,9,10,11,12,14,14,14,13,12,11,10,10,9,8,8,7,6,5,4,4,4,4,4,4,5,6,6,5,6,5,5,4,4,4,3,3,3,3,4,4,4
9,Mater Misericordiae University Hospital,11,13,13,14,14,15,15,14,14,14,13,14,14,15,15,17,17,17,17,17,16,15,14,14,15,15,15,12,11,8,7,5,3,3,3,4,5,5,6,9,10,11,10,10,11,11,10,11,11,11,10,9
10,St Vincent's University Hospital,18,20,19,19,19,20,20,20,20,20,20,21,21,21,21,22,23,21,21,21,22,20,19,17,14,11,8,5,4,4,5,5,4,5,5,5,5,6,7,6,6,5,4,3,2,3,3,2,3,4,5,4
11,Beaumont Hospital,22,23,24,25,25,26,28,29,30,30,29,30,30,30,30,31,31,32,30,28,25,22,20,17,17,17,19,20,21,22,22,23,22,22,22,22,22,23,23,25,25,25,26,25,25,26,27,27,28,30,31,27
12,Tallaght Hospital,6,5,5,6,7,9,11,12,12,12,12,11,11,11,12,12,13,13,13,13,14,13,12,13,13,11,11,10,11,9,8,9,9,9,10,10,10,11,11,11,11,12,12,12,11,12,12,11,11,12,13,11
13,Connolly Hospital,8,10,10,10,12,13,13,13,13,14,13,12,12,10,11,11,11,10,10,10,10,11,11,12,12,12,11,11,9,9,9,9,9,9,9,8,7,7,7,8,7,7,8,8,8,7,8,8,9,9,9,9
14,St James' Hospital,12,12,12,11,11,12,12,13,12,13,14,13,14,15,16,18,18,18,17,17,16,14,14,13,14,15,14,14,13,12,9,8,8,6,4,5,6,6,6,6,7,6,7,6,7,7,8,8,8,8,8,8
