date,region,all,house,apartments
2005-Jan,Dublin,100,100,100
2005-Feb,Dublin,102.1,101.7,103.3
2005-Mar,Dublin,102.9,102.6,104.2
2005-Apr,Dublin,103.6,103.7,104.2
2005-May,Dublin,104.4,104.8,104.2
2005-Jun,Dublin,104.5,105.1,103.7
2005-Jul,Dublin,105.7,106.9,103.3
2005-Aug,Dublin,107.8,108.9,104.6
2005-Sep,Dublin,109.7,110.5,106.8
2005-Oct,Dublin,112.8,114,108.4
2005-Nov,Dublin,114.3,115.6,109.6
2005-Dec,Dublin,114.9,116,111.2
2006-Jan,Dublin,115.4,116.9,111
2006-Feb,Dublin,116.4,118.1,111.6
2006-Mar,Dublin,117.1,118.8,112.1
2006-Apr,Dublin,119.2,120.7,114.4
2006-May,Dublin,122.3,124.2,116.3
2006-Jun,Dublin,125.5,127.8,118
2006-Jul,Dublin,129.5,132.7,119.5
2006-Aug,Dublin,133.3,136.6,122.7
2006-Sep,Dublin,133.5,136.3,124.8
2006-Oct,Dublin,134.4,137.7,124.7
2006-Nov,Dublin,133.9,137,125.3
2006-Dec,Dublin,134.1,137,125.9
2007-Jan,Dublin,134.3,136.6,127.3
2007-Feb,Dublin,135,137,128.5
2007-Mar,Dublin,133.7,136.5,126.2
2007-Apr,Dublin,134,138.2,123.6
2007-May,Dublin,132.7,135.5,124.7
2007-Jun,Dublin,133,136,124.1
2007-Jul,Dublin,133.7,137,124
2007-Aug,Dublin,133,136,124
2007-Sep,Dublin,133.3,136.9,122.8
2007-Oct,Dublin,133.3,137.2,122.3
2007-Nov,Dublin,132.2,136.1,121.1
2007-Dec,Dublin,130.5,133.1,122.3
2008-Jan,Dublin,127.5,129,121.9
2008-Feb,Dublin,126.8,127.8,122.5
2008-Mar,Dublin,126.1,127.1,122.2
2008-Apr,Dublin,126.1,128.3,120.5
2008-May,Dublin,126.2,130.3,117.4
2008-Jun,Dublin,124.9,130,114.4
2008-Jul,Dublin,123.4,128.6,112.4
2008-Aug,Dublin,121.7,126.8,110.2
2008-Sep,Dublin,117.5,122.4,106.7
2008-Oct,Dublin,113.4,119.6,100.9
2008-Nov,Dublin,110.2,116.5,97.2
2008-Dec,Dublin,108,114,94.8
2009-Jan,Dublin,105,110.1,92.9
2009-Feb,Dublin,100.3,105.1,89.1
2009-Mar,Dublin,96.6,100.9,86.5
2009-Apr,Dublin,92.9,96.6,84
2009-May,Dublin,90.9,93.8,83
2009-Jun,Dublin,89.8,92.7,81.9
2009-Jul,Dublin,88.9,92.2,80.4
2009-Aug,Dublin,89,93.5,78.8
2009-Sep,Dublin,88.6,94.4,76.3
2009-Oct,Dublin,86.6,92.1,74.8
2009-Nov,Dublin,85,89.6,74.5
2009-Dec,Dublin,83.2,87.5,73.3
2010-Jan,Dublin,81.1,85,72.2
2010-Feb,Dublin,79.2,82.8,71.6
2010-Mar,Dublin,77.5,80.9,70.2
2010-Apr,Dublin,77.3,80.4,70.8
2010-May,Dublin,76.5,79.9,69.4
2010-Jun,Dublin,75.5,79.2,67.4
2010-Jul,Dublin,75,78.9,66
2010-Aug,Dublin,75.4,79.3,66
2010-Sep,Dublin,75.2,79.6,64.1
2010-Oct,Dublin,74,78.4,63.1
2010-Nov,Dublin,72.5,76.7,61.7
2010-Dec,Dublin,71.2,75.2,61.4
2011-Jan,Dublin,70.5,74,61.9
2011-Feb,Dublin,69,72.4,61.1
2011-Mar,Dublin,67.1,70.4,59.8
2011-Apr,Dublin,66.6,69.8,59.7
2011-May,Dublin,65.5,68.7,58.7
2011-Jun,Dublin,64.6,67.8,57.4
2011-Jul,Dublin,63.6,66.8,56.4
2011-Aug,Dublin,62.3,65.3,56.1
2011-Sep,Dublin,60.6,63.5,54.4
2011-Oct,Dublin,59.4,62.3,53.5
2011-Nov,Dublin,58.1,60.8,52.4
2011-Dec,Dublin,57,59.6,51.7
2012-Jan,Dublin,56,58.6,50.3
2012-Feb,Dublin,54.5,57.2,48.4
2012-Mar,Dublin,54.9,58,46.7
2012-Apr,Dublin,54.7,57.7,46.3
2012-May,Dublin,54.7,57.8,45.8
2012-Jun,Dublin,55,58.2,45.4
2012-Jul,Dublin,56.1,59.5,45.9
2012-Aug,Dublin,56.8,60.2,46.3
2012-Sep,Dublin,57.5,60.9,46.9
2012-Oct,Dublin,58,61.4,47.7
2012-Nov,Dublin,58.4,61.9,47.7
2012-Dec,Dublin,59.1,62.8,47.9
2013-Jan,Dublin,58.6,62,48.4
2013-Feb,Dublin,57.6,60.9,48.2
2013-Mar,Dublin,57.2,60.5,48
2013-Apr,Dublin,57.9,61.3,47.9
2013-May,Dublin,58.3,61.8,48
2013-Jun,Dublin,60.4,64.2,48.6
2013-Jul,Dublin,62.6,66.8,49.1
2013-Aug,Dublin,64.2,68.7,49.4
2013-Sep,Dublin,65.3,70,49.8
2013-Oct,Dublin,65.7,70.3,50.4
2013-Nov,Dublin,66.5,70.9,51.9
2013-Dec,Dublin,67.3,71.9,52.7
2014-Jan,Dublin,67.6,71.8,54.4
2014-Feb,Dublin,68,72.2,54.5
2014-Mar,Dublin,69,73.4,55.4
2014-Apr,Dublin,71,75.6,56.5
2014-May,Dublin,73.6,78.2,58.7
2014-Jun,Dublin,76.6,81.6,60.5
2014-Jul,Dublin,79.7,85.1,62.1
2014-Aug,Dublin,81.5,86.6,65.1
2014-Sep,Dublin,83.5,88.1,68.7
2014-Oct,Dublin,84,88.5,70.1
2014-Nov,Dublin,83.8,88.4,70.4
2014-Dec,Dublin,82.6,87.2,69.8
2015-Jan,Dublin,83,87.5,70.1
2015-Feb,Dublin,82.6,87.4,68.9
2015-Mar,Dublin,82.5,88.1,66.4
2015-Apr,Dublin,82.6,88.1,66.2
2015-May,Dublin,83.2,88.3,67
2015-Jun,Dublin,84.3,89.1,68.7
2015-Jul,Dublin,84.7,89.3,69.9
2015-Aug,Dublin,85.6,90.2,70.7
2015-Sep,Dublin,85.5,90.1,71.3
2015-Oct,Dublin,86.6,90.9,73.1
2015-Nov,Dublin,86.2,91.4,70.9
2015-Dec,Dublin,85.8,91,70.2
2016-Jan,Dublin,87,92.3,71
2016-Feb,Dublin,86.4,91.4,70.9
2016-Mar,Dublin,86.6,91.7,70.8
2016-Apr,Dublin,87.1,91.9,72.1
2016-May,Dublin,86.8,91.3,72.8
2016-Jun,Dublin,87,91.3,73.6
2016-Jul,Dublin,88.1,92.9,73.3
2016-Aug,Dublin,89.4,94.3,74.4
2016-Sep,Dublin,90.8,95.7,75.7
2016-Oct,Dublin,91,95.9,76
2016-Nov,Dublin,92.1,96.8,77.4
2016-Dec,Dublin,91.5,96.6,76.3
2017-Jan,Dublin,92,97,76.9
2017-Feb,Dublin,92.2,97.4,76.6
2017-Mar,Dublin,92.8,98.3,76.4
2017-Apr,Dublin,92.1,97.6,75.6
2017-May,Dublin,94.5,99.7,78
2017-Jun,Dublin,96.3,101.6,79.2
2017-Jul,Dublin,98.5,103.9,81.2
2017-Aug,Dublin,99.9,105.2,83.2
2017-Sep,Dublin,101,106.3,84.6
2017-Oct,Dublin,101.5,106.8,85.4
2017-Nov,Dublin,101.8,107.1,86
2017-Dec,Dublin,102.2,107,87.6
2018-Jan,Dublin,102.8,107.9,87.8
2018-Feb,Dublin,103.7,109.4,87.3
2018-Mar,Dublin,103.7,109.4,86.9
2018-Apr,Dublin,104.1,109.5,87.8
2018-May,Dublin,104.8,110.1,88.9
2018-Jun,Dublin,104.9,109.9,89.7
2018-Jul,Dublin,105.8,110.9,90.1
2018-Aug,Dublin,106.6,111.7,91
2018-Sep,Dublin,107.5,112.7,91.6
2018-Oct,Dublin,107.8,113.4,91.1
2018-Nov,Dublin,107,112.4,91.1
2018-Dec,Dublin,106.1,111.4,90.6
2019-Jan,Dublin,105.6,110.9,90.1
2019-Feb,Dublin,105.2,110.8,89.1
2019-Mar,Dublin,104.6,109.9,88.8
2019-Apr,Dublin,104.6,109.6,89.2
2019-May,Dublin,104.8,109.9,89.2
2019-Jun,Dublin,105,110,89.7
2019-Jul,Dublin,105.7,110.5,90.7
2019-Aug,Dublin,106.3,111,91.6
2005-Jan,Rest of Ireland,100,100,100
2005-Feb,Rest of Ireland,100.1,100.6,94.2
2005-Mar,Rest of Ireland,100.5,101.1,92.1
2005-Apr,Rest of Ireland,101.2,101.8,91.3
2005-May,Rest of Ireland,101.9,102.5,91.9
