Date,Dublin,Rest of Ireland,National
2005-Jan,null,null,null
2005-Feb,null,null,null
2005-Mar,null,null,null
2005-Apr,null,null,null
2005-May,null,null,null
2005-Jun,null,null,null
2005-Jul,null,null,null
2005-Aug,null,null,null
2005-Sep,null,null,null
2005-Oct,null,null,null
2005-Nov,null,null,null
2005-Dec,null,null,null
2006-Jan,0.154,0.119,0.132
2006-Feb,0.14,0.117,0.126
2006-Mar,0.138,0.118,0.125
2006-Apr,0.151,0.125,0.134
2006-May,0.171,0.136,0.15
2006-Jun,0.201,0.136,0.16
2006-Jul,0.225,0.137,0.168
2006-Aug,0.237,0.14,0.175
2006-Sep,0.217,0.146,0.172
2006-Oct,0.191,0.133,0.154
2006-Nov,0.171,0.128,0.144
2006-Dec,0.167,0.127,0.142
2007-Jan,0.164,0.136,0.146
2007-Feb,0.16,0.142,0.148
2007-Mar,0.142,0.144,0.144
2007-Apr,0.124,0.134,0.131
2007-May,0.085,0.117,0.105
2007-Jun,0.06,0.096,0.083
2007-Jul,0.032,0.078,0.062
2007-Aug,-0.002,0.059,0.037
2007-Sep,-0.001,0.045,0.028
2007-Oct,-0.008,0.035,0.019
2007-Nov,-0.013,0.037,0.019
2007-Dec,-0.027,0.023,0.005
2008-Jan,-0.051,0.009,-0.012
2008-Feb,-0.061,-0.006,-0.025
2008-Mar,-0.057,-0.023,-0.035
2008-Apr,-0.059,-0.039,-0.047
2008-May,-0.049,-0.056,-0.054
2008-Jun,-0.061,-0.061,-0.061
2008-Jul,-0.077,-0.064,-0.069
2008-Aug,-0.085,-0.072,-0.077
2008-Sep,-0.119,-0.075,-0.089
2008-Oct,-0.149,-0.085,-0.106
2008-Nov,-0.166,-0.101,-0.122
2008-Dec,-0.172,-0.116,-0.134
2009-Jan,-0.176,-0.136,-0.149
2009-Feb,-0.209,-0.145,-0.165
2009-Mar,-0.234,-0.154,-0.18
2009-Apr,-0.263,-0.157,-0.192
2009-May,-0.28,-0.164,-0.202
2009-Jun,-0.281,-0.171,-0.208
