date,type,value
2014Q1,Single house,24
2014Q2,Single house,37
2014Q3,Single house,45
2014Q4,Single house,49
2015Q1,Single house,43
2015Q2,Single house,45
2015Q3,Single house,44
2015Q4,Single house,61
2016Q1,Single house,59
2016Q2,Single house,53
2016Q3,Single house,63
2016Q4,Single house,75
2017Q1,Single house,62
2017Q2,Single house,88
2017Q3,Single house,73
2017Q4,Single house,80
2018Q1,Single house,47
2018Q2,Single house,66
2014Q1,Scheme house,149
2014Q2,Scheme house,205
2014Q3,Scheme house,262
2014Q4,Scheme house,333
2015Q1,Scheme house,326
2015Q2,Scheme house,298
2015Q3,Scheme house,418
2015Q4,Scheme house,535
2016Q1,Scheme house,481
2016Q2,Scheme house,609
2016Q3,Scheme house,597
2016Q4,Scheme house,802
2017Q1,Scheme house,622
2017Q2,Scheme house,825
2017Q3,Scheme house,924
2017Q4,Scheme house,1124
2018Q1,Scheme house,787
2018Q2,Scheme house,1415
2014Q1,Apartment,128
2014Q2,Apartment,199
2014Q3,Apartment,125
2014Q4,Apartment,153
2015Q1,Apartment,76
2015Q2,Apartment,95
2015Q3,Apartment,101
2015Q4,Apartment,75
2016Q1,Apartment,254
2016Q2,Apartment,185
2016Q3,Apartment,183
2016Q4,Apartment,220
2017Q1,Apartment,365
2017Q2,Apartment,352
2017Q3,Apartment,528
2017Q4,Apartment,546
2018Q1,Apartment,373
2018Q2,Apartment,323
