date,region,value
2007Q4,Dublin,1361.94
2008Q1,Dublin,1351.41
2008Q2,Dublin,1350.06
2008Q3,Dublin,1324.83
2008Q4,Dublin,1298.32
2009Q1,Dublin,1261.51
2009Q2,Dublin,1221.27
2009Q3,Dublin,1182.37
2009Q4,Dublin,1127.57
2010Q1,Dublin,1089.05
2010Q2,Dublin,1065.35
2010Q3,Dublin,1053.02
2010Q4,Dublin,1030.62
2011Q1,Dublin,1025.16
2011Q2,Dublin,1030.58
2011Q3,Dublin,1039.55
2011Q4,Dublin,1032.54
2012Q1,Dublin,1032.41
2012Q2,Dublin,1036.1
2012Q3,Dublin,1047
2012Q4,Dublin,1045.67
2013Q1,Dublin,1048.2
2013Q2,Dublin,1058.48
2013Q3,Dublin,1074.65
2013Q4,Dublin,1078.24
2014Q1,Dublin,1090.11
2014Q2,Dublin,1109.29
2014Q3,Dublin,1134.97
2014Q4,Dublin,1154.14
2015Q1,Dublin,1173.72
2015Q2,Dublin,1196.25
2015Q3,Dublin,1232.36
2015Q4,Dublin,1247.12
2016Q1,Dublin,1259.27
2016Q2,Dublin,1282.58
2016Q3,Dublin,1306.89
2016Q4,Dublin,1316.2
2017Q1,Dublin,1340.2
2017Q2,Dublin,1369.33
2017Q3,Dublin,1388.39
2017Q4,Dublin,1408.28
2018Q1,Dublin,1426.56
2018Q2,Dublin,1450.16
