date,Dublin,Dun Laoghaire- Rathdown,Fingal,South Dublin
Jan-14,35,61,36,10
Feb-14,44,75,47,17
Mar-14,33,24,43,84
Apr-14,138,48,34,22
May-14,127,141,47,89
Jun-14,109,55,71,26
Jul-14,100,38,76,63
Aug-14,48,27,94,46
Sep-14,122,35,113,225
Oct-14,56,43,69,153
Nov-14,28,55,89,58
Dec-14,74,111,90,39
Jan-15,37,25,42,14
Feb-15,55,26,86,12
Mar-15,90,115,116,34
Apr-15,55,85,107,14
May-15,39,67,110,13
Jun-15,37,38,101,54
Jul-15,35,47,100,27
Aug-15,63,45,84,27
Sep-15,83,51,87,36
Oct-15,58,41,175,27
Nov-15,53,43,120,32
Dec-15,62,68,132,23
Jan-16,87,86,109,20
Feb-16,82,173,130,23
Mar-16,50,69,166,11
Apr-16,102,84,86,24
May-16,94,86,232,19
Jun-16,85,41,104,30
Jul-16,95,45,82,39
Aug-16,136,89,109,32
Sep-16,108,126,106,71
Oct-16,56,66,172,77
Nov-16,67,182,138,39
Dec-16,78,132,127,69
Jan-17,86,142,122,36
Feb-17,42,154,96,84
Mar-17,60,152,133,144
Apr-17,68,122,110,134
May-17,171,124,154,78
Jun-17,101,192,107,77
Jul-17,168,69,264,88
Aug-17,186,96,159,57
Sep-17,205,61,208,69
Oct-17,171,72,244,70
Nov-17,132,100,314,106
Dec-17,169,145,215,122
Jan-18,175,38,101,85
Feb-18,111,144,228,69
Mar-18,null,null,null,null
Apr-18,null,null,null,null
May-18,null,null,null,null
Jun-18,null,null,null,null
Jul-18,null,null,null,null
Aug-18,null,null,null,null
Sep-18,null,null,null,null
Oct-18,null,null,null,null
Nov-18,null,null,null,null
Dec-18,null,null,null,null
