date,region,value
2008Q1,National New,308651
2008Q2,National New,313758
2008Q3,National New,302204
2008Q4,National New,280824
2009Q1,National New,257206
2009Q2,National New,246178
2009Q3,National New,238608
2009Q4,National New,231286
2010Q1,National New,235048
2010Q2,National New,231475
2010Q3,National New,233168
2010Q4,National New,234949
2011Q1,National New,244663
2011Q2,National New,237452
2011Q3,National New,228732
2011Q4,National New,228049
2012Q1,National New,218829
2012Q2,National New,231260
2012Q3,National New,223742
2012Q4,National New,219758
2013Q1,National New,229117
2013Q2,National New,227395
2013Q3,National New,235583
2013Q4,National New,234155
2014Q1,National New,235572
2014Q2,National New,243342
2014Q3,National New,248528
2014Q4,National New,258916
2015Q1,National New,268088
2015Q2,National New,276068
2015Q3,National New,285943
2015Q4,National New,300197
2016Q1,National New,309703
2016Q2,National New,314950
2016Q3,National New,304307
2016Q4,National New,322680
2008Q1,Dublin New,458916
2008Q2,Dublin New,445857
2008Q3,Dublin New,408474
2008Q4,Dublin New,368252
2009Q1,Dublin New,318121
2009Q2,Dublin New,306930
2009Q3,Dublin New,287401
2009Q4,Dublin New,255894
2010Q1,Dublin New,316199
2010Q2,Dublin New,279281
2010Q3,Dublin New,328144
2010Q4,Dublin New,277366
2011Q1,Dublin New,341631
2011Q2,Dublin New,340356
2011Q3,Dublin New,334807
2011Q4,Dublin New,321926
2012Q1,Dublin New,330510
2012Q2,Dublin New,324491
2012Q3,Dublin New,273600
2012Q4,Dublin New,253322
2013Q1,Dublin New,299024
2013Q2,Dublin New,328095
2013Q3,Dublin New,330897
2013Q4,Dublin New,319954
2014Q1,Dublin New,316803
2014Q2,Dublin New,345213
2014Q3,Dublin New,348541
2014Q4,Dublin New,343103
2015Q1,Dublin New,363359
2015Q2,Dublin New,395520
2015Q3,Dublin New,376438
2015Q4,Dublin New,391059
2016Q1,Dublin New,403843
2016Q2,Dublin New,401346
2016Q3,Dublin New,397644
2016Q4,Dublin New,391369
2008Q1,National Second Hand,369170
2008Q2,National Second Hand,363208
2008Q3,National Second Hand,342878
2008Q4,National Second Hand,327673
2009Q1,National Second Hand,301333
2009Q2,National Second Hand,290510
2009Q3,National Second Hand,258309
2009Q4,National Second Hand,248246
2010Q1,National Second Hand,250237
2010Q2,National Second Hand,284498
2010Q3,National Second Hand,285435
2010Q4,National Second Hand,278346
2011Q1,National Second Hand,281348
2011Q2,National Second Hand,281459
2011Q3,National Second Hand,258339
2011Q4,National Second Hand,251932
2012Q1,National Second Hand,254156
2012Q2,National Second Hand,258400
2012Q3,National Second Hand,257423
2012Q4,National Second Hand,250343
2013Q1,National Second Hand,252224
2013Q2,National Second Hand,267977
2013Q3,National Second Hand,263289
2013Q4,National Second Hand,265670
2014Q1,National Second Hand,261084
2014Q2,National Second Hand,279240
2014Q3,National Second Hand,271801
2014Q4,National Second Hand,261893
2015Q1,National Second Hand,265616
2015Q2,National Second Hand,273816
2015Q3,National Second Hand,274336
2015Q4,National Second Hand,263616
2016Q1,National Second Hand,264258
2016Q2,National Second Hand,277452
2016Q3,National Second Hand,276759
2016Q4,National Second Hand,284348
2008Q1,Dublin Second Hand,510402
2008Q2,Dublin Second Hand,485973
2008Q3,Dublin Second Hand,439333
2008Q4,Dublin Second Hand,443062
2009Q1,Dublin Second Hand,402779
2009Q2,Dublin Second Hand,383773
2009Q3,Dublin Second Hand,329741
2009Q4,Dublin Second Hand,305934
2010Q1,Dublin Second Hand,305725
2010Q2,Dublin Second Hand,366716
2010Q3,Dublin Second Hand,377352
2010Q4,Dublin Second Hand,370801
2011Q1,Dublin Second Hand,370719
2011Q2,Dublin Second Hand,365601
2011Q3,Dublin Second Hand,332450
2011Q4,Dublin Second Hand,329496
2012Q1,Dublin Second Hand,333963
2012Q2,Dublin Second Hand,334204
2012Q3,Dublin Second Hand,341292
2012Q4,Dublin Second Hand,339843
2013Q1,Dublin Second Hand,350696
2013Q2,Dublin Second Hand,375437
2013Q3,Dublin Second Hand,376548
2013Q4,Dublin Second Hand,385208
2014Q1,Dublin Second Hand,378175
2014Q2,Dublin Second Hand,407533
2014Q3,Dublin Second Hand,362315
2014Q4,Dublin Second Hand,340712
2015Q1,Dublin Second Hand,335025
2015Q2,Dublin Second Hand,357959
2015Q3,Dublin Second Hand,350276
2015Q4,Dublin Second Hand,338804
2016Q1,Dublin Second Hand,335123
2016Q2,Dublin Second Hand,351110
2016Q3,Dublin Second Hand,352880
2016Q4,Dublin Second Hand,363891
