date,region,value
2011Q1,Fingal,144
2011Q2,Fingal,134
2011Q3,Fingal,96
2011Q4,Fingal,33
2012Q1,Fingal,29
2012Q2,Fingal,29
2012Q3,Fingal,24
2012Q4,Fingal,49
2013Q1,Fingal,27
2013Q2,Fingal,25
2013Q3,Fingal,61
2013Q4,Fingal,72
2014Q1,Fingal,53
2014Q2,Fingal,74
2014Q3,Fingal,152
2014Q4,Fingal,178
2015Q1,Fingal,180
2015Q2,Fingal,239
2015Q3,Fingal,263
2015Q4,Fingal,349
2016Q1,Fingal,277
2016Q2,Fingal,367
2016Q3,Fingal,232
2016Q4,Fingal,357
2017Q1,Fingal,291
2017Q2,Fingal,343
2017Q3,Fingal,568
2017Q4,Fingal,624
2018Q1,Fingal,410
2018Q2,Fingal,666
2018Q3,Fingal,516
2018Q4,Fingal,545
2019Q1,Fingal,351
2019Q2,Fingal,493
2019Q3,Fingal,684
2011Q1,Dublin City,72
2011Q2,Dublin City,109
2011Q3,Dublin City,41
2011Q4,Dublin City,83
2012Q1,Dublin City,57
2012Q2,Dublin City,37
2012Q3,Dublin City,68
2012Q4,Dublin City,71
2013Q1,Dublin City,36
2013Q2,Dublin City,111
2013Q3,Dublin City,57
2013Q4,Dublin City,90
2014Q1,Dublin City,56
2014Q2,Dublin City,243
2014Q3,Dublin City,145
2014Q4,Dublin City,102
2015Q1,Dublin City,132
2015Q2,Dublin City,95
2015Q3,Dublin City,112
2015Q4,Dublin City,146
2016Q1,Dublin City,177
2016Q2,Dublin City,238
2016Q3,Dublin City,254
2016Q4,Dublin City,223
2017Q1,Dublin City,230
2017Q2,Dublin City,323
2017Q3,Dublin City,538
2017Q4,Dublin City,492
2018Q1,Dublin City,330
2018Q2,Dublin City,311
2018Q3,Dublin City,543
2018Q4,Dublin City,644
2019Q1,Dublin City,521
2019Q2,Dublin City,431
2019Q3,Dublin City,348
2011Q1,Dun Laoghaire-Rathdown,30
2011Q2,Dun Laoghaire-Rathdown,68
2011Q3,Dun Laoghaire-Rathdown,15
2011Q4,Dun Laoghaire-Rathdown,17
2012Q1,Dun Laoghaire-Rathdown,13
2012Q2,Dun Laoghaire-Rathdown,11
2012Q3,Dun Laoghaire-Rathdown,33
2012Q4,Dun Laoghaire-Rathdown,34
2013Q1,Dun Laoghaire-Rathdown,22
2013Q2,Dun Laoghaire-Rathdown,24
2013Q3,Dun Laoghaire-Rathdown,30
2013Q4,Dun Laoghaire-Rathdown,132
2014Q1,Dun Laoghaire-Rathdown,143
2014Q2,Dun Laoghaire-Rathdown,64
2014Q3,Dun Laoghaire-Rathdown,75
2014Q4,Dun Laoghaire-Rathdown,184
2015Q1,Dun Laoghaire-Rathdown,63
2015Q2,Dun Laoghaire-Rathdown,54
2015Q3,Dun Laoghaire-Rathdown,92
2015Q4,Dun Laoghaire-Rathdown,86
2016Q1,Dun Laoghaire-Rathdown,278
2016Q2,Dun Laoghaire-Rathdown,154
2016Q3,Dun Laoghaire-Rathdown,222
2016Q4,Dun Laoghaire-Rathdown,320
2017Q1,Dun Laoghaire-Rathdown,374
2017Q2,Dun Laoghaire-Rathdown,346
2017Q3,Dun Laoghaire-Rathdown,179
2017Q4,Dun Laoghaire-Rathdown,288
2018Q1,Dun Laoghaire-Rathdown,212
2018Q2,Dun Laoghaire-Rathdown,349
2018Q3,Dun Laoghaire-Rathdown,367
2018Q4,Dun Laoghaire-Rathdown,356
2019Q1,Dun Laoghaire-Rathdown,208
2019Q2,Dun Laoghaire-Rathdown,196
2019Q3,Dun Laoghaire-Rathdown,487
2011Q1,South Dublin,41
2011Q2,South Dublin,16
2011Q3,South Dublin,29
2011Q4,South Dublin,36
2012Q1,South Dublin,11
2012Q2,South Dublin,23
2012Q3,South Dublin,20
2012Q4,South Dublin,75
2013Q1,South Dublin,28
2013Q2,South Dublin,25
2013Q3,South Dublin,33
2013Q4,South Dublin,56
2014Q1,South Dublin,49
2014Q2,South Dublin,60
2014Q3,South Dublin,60
2014Q4,South Dublin,70
2015Q1,South Dublin,70
2015Q2,South Dublin,50
2015Q3,South Dublin,96
2015Q4,South Dublin,90
2016Q1,South Dublin,62
2016Q2,South Dublin,87
2016Q3,South Dublin,131
2016Q4,South Dublin,194
2017Q1,South Dublin,149
2017Q2,South Dublin,251
2017Q3,South Dublin,235
2017Q4,South Dublin,345
2018Q1,South Dublin,242
2018Q2,South Dublin,466
2018Q3,South Dublin,428
2018Q4,South Dublin,519
2019Q1,South Dublin,396
2019Q2,South Dublin,360
2019Q3,South Dublin,393
