date,Region,One bed,Two bed,Three bed,Four plus bed
2007Q4,Dublin,1055.18,1326.27,1456.18,1913.56
2008Q1,Dublin,1067.99,1319.38,1424.48,1841.73
2008Q2,Dublin,1065.7,1317.12,1419.09,1864.94
2008Q3,Dublin,1029.96,1287.09,1405.49,1839.11
2008Q4,Dublin,1012.01,1262.45,1379.17,1790.54
2009Q1,Dublin,979.54,1224,1335.06,1735.9
2009Q2,Dublin,930.63,1173.57,1303.83,1706.88
2009Q3,Dublin,891.5,1122.51,1263.96,1660.69
2009Q4,Dublin,855.18,1072.35,1204.85,1582.39
2010Q1,Dublin,831.74,1032.73,1159.37,1533.55
2010Q2,Dublin,814.68,1005.72,1132.76,1492.05
2010Q3,Dublin,801.63,988.34,1123.09,1489.83
2010Q4,Dublin,778.47,977.12,1111.71,1464.35
2011Q1,Dublin,779.76,971.36,1103.12,1436.31
2011Q2,Dublin,776.4,974.16,1108.59,1461.78
2011Q3,Dublin,775.39,978.68,1124.03,1516.22
2011Q4,Dublin,774.7,977.16,1117.29,1517.74
2012Q1,Dublin,776.84,977.03,1109.44,1518.71
2012Q2,Dublin,776.11,979.85,1112.79,1528.94
2012Q3,Dublin,774.86,1005.94,1138.33,1642.05
2012Q4,Dublin,772.1,1007.91,1130.49,1644.97
2013Q1,Dublin,778.36,1015.67,1127.13,1638.39
2013Q2,Dublin,788.14,1021.42,1133.91,1641.17
2013Q3,Dublin,791.29,1041.65,1155.6,1718.75
2013Q4,Dublin,804.39,1048.78,1155.26,1736.32
2014Q1,Dublin,825.39,1056.9,1154.84,1657.82
2014Q2,Dublin,837.94,1076.38,1175.98,1698.6
2014Q3,Dublin,859.19,1122.14,1210.22,1833.83
2014Q4,Dublin,882.76,1149.01,1225.91,1833.74
2015Q1,Dublin,901.13,1172.76,1243.43,1825.8
2015Q2,Dublin,914.85,1192.88,1277.52,1892.29
2015Q3,Dublin,948.73,1235.69,1330.16,2036.14
2015Q4,Dublin,975.75,1242.4,1341.75,1952.86
2016Q1,Dublin,988.53,1252.02,1354.56,1893.85
2016Q2,Dublin,1016.85,1268.58,1385.03,1940.04
2016Q3,Dublin,1037.39,1310.6,1415.04,2085.23
2016Q4,Dublin,1054.04,1323.18,1420.53,2099.13
2017Q1,Dublin,1077.81,1344.17,1429.04,2016.19
2017Q2,Dublin,1110.58,1376.92,1463.41,2053.67
2017Q3,Dublin,1132.04,1413.77,1497.82,2205.77
2017Q4,Dublin,1158.17,1432.67,1527.62,2237.88
2018Q1,Dublin,1176.32,1453.55,1542.75,2202.43
2018Q2,Dublin,"1,203.29","1,483.10","1,584.18","2,252.19"
2018Q3,Dublin,"1,226.12","1,519.23","1,639.30","2,316.36"
2018Q4,Dublin,"1,232.38","1,542.01","1,669.62","2,315.52"
2019Q1,Dublin,"1,248.86","1,565.72","1,682.87","2,346.34"
2019Q2,Dublin,"1,241.11","1,583.85","1,712.76","2,393.91"
2019Q3,Dublin,"1,245.65","1,600.51","1,747.62","2,462.23"
2019Q4,Dublin,"1,261.85","1,616.74","1,752.41","2,467.18"
