date,Region,One bed,Two bed,Three bed,Four plus bed
2016Q1,Dublin,989,1252,1355,1894
2016Q2,Dublin,1017,1269,1385,1940
2016Q3,Dublin,1037,1311,1415,2085
2016Q4,Dublin,1054,1323,1421,2099
2017Q1,Dublin,1078,1344,1429,2016
2017Q2,Dublin,1111,1377,1463,2054
2017Q3,Dublin,1132,1414,1498,2206
2017Q4,Dublin,1158,1433,1528,2238
2018Q1,Dublin,1176,1454,1543,2202
2018Q2,Dublin,1203,1483,1584,2252
2018Q3,Dublin,1226,1519,1639,2316
2018Q4,Dublin,1232,1542,1670,2316
2019Q1,Dublin,1249,1566,1683,2346
2019Q2,Dublin,1241,1584,1713,2394
2019Q3,Dublin,1246,1601,1748,2462
2019Q4,Dublin,1262,1617,1752,2467
