date,region,type,value
2002,Wicklow,Detached house,17319
2006,Wicklow,Detached house,19232
2011,Wicklow,Detached house,21290
2016,Wicklow,Detached house,22110
2002,Wicklow,Semi-detached house,10543
2006,Wicklow,Semi-detached house,12395
2011,Wicklow,Semi-detached house,13959
2016,Wicklow,Semi-detached house,14326
2002,Wicklow,Terraced house,5833
2006,Wicklow,Terraced house,6809
2011,Wicklow,Terraced house,7678
2016,Wicklow,Terraced house,7778
2002,Wicklow,Flat or apartment in a purpose- built block,886
2006,Wicklow,Flat or apartment in a purpose- built block,2150
2011,Wicklow,Flat or apartment in a purpose- built block,3050
2016,Wicklow,Flat or apartment in a purpose- built block,3381
2002,Wicklow,Flat or apartment in a converted house or commercial building and bedsits,970
2006,Wicklow,Flat or apartment in a converted house or commercial building and bedsits,1014
2011,Wicklow,Flat or apartment in a converted house or commercial building and bedsits,875
2016,Wicklow,Flat or apartment in a converted house or commercial building and bedsits,855
2002,Wicklow,Not stated,587
2006,Wicklow,Not stated,872
2011,Wicklow,Not stated,727
2016,Wicklow,Not stated,555
2002,South Dublin,Detached house,7984
2006,South Dublin,Detached house,8443
2011,South Dublin,Detached house,9491
2016,South Dublin,Detached house,9674
2002,South Dublin,Semi-detached house,42235
2006,South Dublin,Semi-detached house,43023
2011,South Dublin,Semi-detached house,45205
2016,South Dublin,Semi-detached house,46387
2002,South Dublin,Terraced house,19445
2006,South Dublin,Terraced house,20565
2011,South Dublin,Terraced house,22395
2016,South Dublin,Terraced house,22171
2002,South Dublin,Flat or apartment in a purpose- built block,1556
2006,South Dublin,Flat or apartment in a purpose- built block,5961
2011,South Dublin,Flat or apartment in a purpose- built block,10583
2016,South Dublin,Flat or apartment in a purpose- built block,12327
2002,South Dublin,Flat or apartment in a converted house or commercial building and bedsits,379
2006,South Dublin,Flat or apartment in a converted house or commercial building and bedsits,482
2011,South Dublin,Flat or apartment in a converted house or commercial building and bedsits,587
2016,South Dublin,Flat or apartment in a converted house or commercial building and bedsits,472
2002,South Dublin,Not stated,1619
2006,South Dublin,Not stated,1884
2011,South Dublin,Not stated,1616
2016,South Dublin,Not stated,1362
2002,Meath,Detached house,26008
2006,Meath,Detached house,29632
2011,Meath,Detached house,32659
2016,Meath,Detached house,33556
2002,Meath,Semi-detached house,10041
2006,Meath,Semi-detached house,15306
2011,Meath,Semi-detached house,17865
2016,Meath,Semi-detached house,18454
2002,Meath,Terraced house,2902
2006,Meath,Terraced house,4857
2011,Meath,Terraced house,6104
2016,Meath,Terraced house,6193
2002,Meath,Flat or apartment in a purpose- built block,1126
2006,Meath,Flat or apartment in a purpose- built block,2277
2011,Meath,Flat or apartment in a purpose- built block,3897
2016,Meath,Flat or apartment in a purpose- built block,4388
2002,Meath,Flat or apartment in a converted house or commercial building and bedsits,575
2006,Meath,Flat or apartment in a converted house or commercial building and bedsits,626
2011,Meath,Flat or apartment in a converted house or commercial building and bedsits,581
2016,Meath,Flat or apartment in a converted house or commercial building and bedsits,546
2002,Meath,Not stated,683
2006,Meath,Not stated,877
2011,Meath,Not stated,816
2016,Meath,Not stated,724
2002,Kildare,Detached house,22125
2006,Kildare,Detached house,25531
2011,Kildare,Detached house,28835
2016,Kildare,Detached house,29802
2002,Kildare,Semi-detached house,20076
