date,region,type,value,percent
1991,Wicklow,Private Owned,22495,81.05
1991,Wicklow,Social/Voluntary Body,2762,9.95
1991,Wicklow,Private Rented,2364,8.52
1991,Wicklow,Not Stated,135,0.49
2002,Wicklow,Private Owned,28785,79.65
2002,Wicklow,Social/Voluntary Body,2926,8.10
2002,Wicklow,Private Rented,3654,10.11
2002,Wicklow,Not Stated,773,2.14
2006,Wicklow,Private Owned,32728,77.06
2006,Wicklow,Social/Voluntary Body,4619,10.88
2006,Wicklow,Private Rented,3920,9.23
2006,Wicklow,Not Stated,1205,2.84
2011,Wicklow,Private Owned,34705,72.94
2011,Wicklow,Social/Voluntary Body,4400,9.25
2011,Wicklow,Private Rented,7819,16.43
2011,Wicklow,Not Stated,655,1.38
2016,Wicklow,Private Owned,35105,71.64
2016,Wicklow,Social/Voluntary Body,4791,9.78
2016,Wicklow,Private Rented,8042,16.41
2016,Wicklow,Not Stated,1067,2.18
1991,South Dublin,Private Owned,43390,79.54
1991,South Dublin,Social/Voluntary Body,8737,16.02
1991,South Dublin,Private Rented,2117,3.88
1991,South Dublin,Not Stated,307,0.56
2002,South Dublin,Private Owned,59538,81.32
2002,South Dublin,Social/Voluntary Body,6427,8.78
2002,South Dublin,Private Rented,5340,7.29
2002,South Dublin,Not Stated,1913,2.61
2006,South Dublin,Private Owned,61288,76.27
2006,South Dublin,Social/Voluntary Body,9727,12.10
2006,South Dublin,Private Rented,6666,8.30
2006,South Dublin,Not Stated,2677,3.33
2011,South Dublin,Private Owned,62715,69.78
2011,South Dublin,Social/Voluntary Body,10251,11.41
2011,South Dublin,Private Rented,15735,17.51
2011,South Dublin,Not Stated,1176,1.31
2016,South Dublin,Private Owned,62860,68.04
2016,South Dublin,Social/Voluntary Body,10921,11.82
2016,South Dublin,Private Rented,15809,17.11
2016,South Dublin,Not Stated,2803,3.03
1991,Meath,Private Owned,24555,85.87
1991,Meath,Social/Voluntary Body,1669,5.84
1991,Meath,Private Rented,2037,7.12
1991,Meath,Not Stated,335,1.17
2002,Meath,Private Owned,35289,85.37
2002,Meath,Social/Voluntary Body,1751,4.24
2002,Meath,Private Rented,3345,8.09
2002,Meath,Not Stated,950,2.30
2006,Meath,Private Owned,44720,83.47
2006,Meath,Social/Voluntary Body,3503,6.54
2006,Meath,Private Rented,4043,7.55
2006,Meath,Not Stated,1309,2.44
2011,Meath,Private Owned,48541,78.39
2011,Meath,Social/Voluntary Body,3169,5.12
2011,Meath,Private Rented,9462,15.28
2011,Meath,Not Stated,750,1.21
2016,Meath,Private Owned,48665,76.20
2016,Meath,Social/Voluntary Body,3545,5.55
2016,Meath,Private Rented,10235,16.03
2016,Meath,Not Stated,1416,2.22
1991,Kildare,Private Owned,27395,84.06
1991,Kildare,Social/Voluntary Body,2117,6.50
1991,Kildare,Private Rented,2832,8.69
1991,Kildare,Not Stated,245,0.75
2002,Kildare,Private Owned,41054,81.98
2002,Kildare,Social/Voluntary Body,2295,4.58
2002,Kildare,Private Rented,5478,10.94
2002,Kildare,Not Stated,1249,2.49
