date,region,type,value,percent
2002,Wicklow,Detached house,17319,47.92
2006,Wicklow,Detached house,19232,45.28
2011,Wicklow,Detached house,21290,44.75
2016,Wicklow,Detached house,22110,45.12
2002,Wicklow,Semi-detached house,10543,29.17
2006,Wicklow,Semi-detached house,12395,29.18
2011,Wicklow,Semi-detached house,13959,29.34
2016,Wicklow,Semi-detached house,14326,29.23
2002,Wicklow,Terraced house,5833,16.14
2006,Wicklow,Terraced house,6809,16.03
2011,Wicklow,Terraced house,7678,16.14
2016,Wicklow,Terraced house,7778,15.87
2002,Wicklow,Flat or apartment in a purpose- built block,886,2.45
2006,Wicklow,Flat or apartment in a purpose- built block,2150,5.06
2011,Wicklow,Flat or apartment in a purpose- built block,3050,6.41
2016,Wicklow,Flat or apartment in a purpose- built block,3381,6.90
2002,Wicklow,Flat or apartment in a converted house or commercial building and bedsits,970,2.68
2006,Wicklow,Flat or apartment in a converted house or commercial building and bedsits,1014,2.39
2011,Wicklow,Flat or apartment in a converted house or commercial building and bedsits,875,1.84
2016,Wicklow,Flat or apartment in a converted house or commercial building and bedsits,855,1.74
2002,Wicklow,Not stated,587,1.62
2006,Wicklow,Not stated,872,2.05
2011,Wicklow,Not stated,727,1.53
2016,Wicklow,Not stated,555,1.13
2002,South Dublin,Detached house,7984,10.90
2006,South Dublin,Detached house,8443,10.51
2011,South Dublin,Detached house,9491,10.56
2016,South Dublin,Detached house,9674,10.47
2002,South Dublin,Semi-detached house,42235,57.683
2006,South Dublin,Semi-detached house,43023,53.54
2011,South Dublin,Semi-detached house,45205,50.30
2016,South Dublin,Semi-detached house,46387,50.21
2002,South Dublin,Terraced house,19445,26.56
2006,South Dublin,Terraced house,20565,25.59
2011,South Dublin,Terraced house,22395,24.92
2016,South Dublin,Terraced house,22171,24.00
2002,South Dublin,Flat or apartment in a purpose- built block,1556,2.13
2006,South Dublin,Flat or apartment in a purpose- built block,5961,7.42
2011,South Dublin,Flat or apartment in a purpose- built block,10583,11.77
2016,South Dublin,Flat or apartment in a purpose- built block,12327,13.34
2002,South Dublin,Flat or apartment in a converted house or commercial building and bedsits,379,0.52
2006,South Dublin,Flat or apartment in a converted house or commercial building and bedsits,482,0.60
2011,South Dublin,Flat or apartment in a converted house or commercial building and bedsits,587,0.65
2016,South Dublin,Flat or apartment in a converted house or commercial building and bedsits,472,0.51
2002,South Dublin,Not stated,1619,2.21
2006,South Dublin,Not stated,1884,2.34
2011,South Dublin,Not stated,1616,1.80
