date,region,population,households,population rate,households rate
1991,Dublin City,478389,159163,0,0
1996,Dublin City,481854,173085,0.724305952,8.747007784
2002,Dublin City,495781,180852,3.635535098,13.62691078
2006,Dublin City,506211,190984,5.815769175,19.99271187
2011,Dublin City,527612,208008,10.28932521,30.68866508
2016,Dublin City,554554,211747,15.92114367,33.03782914
1991,Dún Laoghaire-Rathdown,185410,56352,0,0
1996,Dún Laoghaire-Rathdown,189999,61649,2.475055283,9.399843839
2002,Dún Laoghaire-Rathdown,191792,64132,3.442101289,13.80607609
2006,Dún Laoghaire-Rathdown,194038,68412,4.653470687,21.4011925
2011,Dún Laoghaire-Rathdown,206261,75819,11.24588749,34.54535775
2016,Dún Laoghaire-Rathdown,218018,78601,17.58696942,39.48218342
1991,Fingal,152766,40692,0,0
1996,Fingal,167683,47721,9.764607308,17.27366559
2002,Fingal,196413,60872,28.57114803,49.59205741
2006,Fingal,239992,80402,57.09778354,97.58674924
2011,Fingal,273991,93146,79.35339015,128.9049445
2016,Fingal,296020,96812,93.77348363,137.9140863
1991,South Dublin,208739,54802,0,0
1996,South Dublin,218728,61809,4.785401865,12.78602971
2002,South Dublin,238835,73516,14.41800526,34.14838874
2006,South Dublin,246935,80631,18.29844926,47.13149155
2011,South Dublin,265205,90019,27.05100628,64.2622532
2016,South Dublin,278767,92523,33.54811511,68.83142951
1991,Kildare,122656,32956,0,0
1996,Kildare,134992,39041,10.0573963,18.46401262
2002,Kildare,163944,50477,33.66162275,53.16482583
2006,Kildare,186335,60957,51.91674276,84.96480155
2011,Kildare,210312,70763,71.46490999,114.7196262
2016,Kildare,222504,73596,81.40490477,123.3159364
1991,Meath,105370,28806,0,0
1996,Meath,109732,31863,4.139698206,10.61237242
2002,Meath,134005,41675,27.1756667,44.67472054
2006,Meath,162831,53938,54.53259941,87.2457127
2011,Meath,184135,62201,74.75087786,115.9307089
2016,Meath,195044,64234,85.10391952,122.9882663
1991,Wicklow,97265,28066,0,0
1996,Wicklow,102683,31263,5.570349046,11.39100691
2002,Wicklow,114676,36572,17.90058089,30.30713319
2006,Wicklow,126194,42870,29.74245618,52.74709613
2011,Wicklow,136640,47798,40.48218784,70.30570797
2016,Wicklow,142425,49211,46.42985658,75.34026937
