Housing vacancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,,,,,1996,,,,,2002,,,,,2006,,,,,2011,,,,,2016,,,,
,Stock,Vac - HH,HH,% vac - HH,% vac,Stock,Vac - HH,HH,% vac - HH,% vac,Stock,Vac - HH,HH,% vac - HH,% vac,Stock,Vac - HH,HH,% vac - HH,% vac,Stock,Vac - HH,HH,% vac - HH,% vac,Stock,Vac - HH,HH,% vac - HH,% vac
  Dublin City," 175,933 ",9663,7,5.5,5.5,183844," 10,699 ", 60 ,5.8,5.9,199463,11749,253,5.9,6.0,223098,25981,111,11.6,11.7,241678,24316,322,10.1,10.2,240553,18424,1022,7.7,8.1
  Dun-Laoghaire-Rathdown+," 60,448 ",2442,5,4.0,4.0,63725," 2,036 ", 40 ,3.2,3.3,69207,2911,68,4.2,4.3,77508,6868,60,8.9,8.9,85896,6496,120,7.6,7.7,86962,4596,192,5.3,5.5
Fingal," 43,348 ",1433,249,3.3,3.9,49423," 1,462 ", 240 ,3.0,3.4,65432,3020,192,4.6,4.9,89909,7645,233,8.5,8.8,102793,6893,311,6.7,7.0,104851,4944,289,4.7,5.0
South Dublin," 57,182 ",1479,11,2.6,2.6,63216," 1,400 ", 7 ,2.2,2.2,76903,2116,10,2.8,2.8,87484,5393,14,6.2,6.2,97298,5225,24,5.4,5.4,98387,3495,35,3.6,3.6
Kildare," 35,580 ",1776,36,5.0,5.1,40521," 1,396 ", 84 ,3.4,3.7,54589,3057,141,5.6,5.9,68840,6722,116,9.8,9.9,78794,6123,188,7.8,8.0,80158,4560,152,5.7,5.9
Meath," 31,582 ",2184,149,6.9,7.4,34112," 1,900 ", 349 ,5.6,6.6,45170,2450,445,5.4,6.4,61257,6139,346,10.0,10.6,69697,5876,297,8.4,8.9,70649,4640,235,6.6,6.9
Wicklow," 31,709 ",2321,637,7.3,9.3,34042,1753,1026,5.1,8.2,40214,1750,1155,4.4,7.2,49088,4421,1156,9.0,11.4,54351,4286,1091,7.9,9.9,54986,3414,1040,6.2,8.1
State,"1,160,249",90343,14799,7.8,9.1,1232568,79579,25671,6.5,8.5,1460053,104035,39383,7.1,9.8,1769613,216533,49789,12.2,15.0,1994845,230056,59395,11.5,14.5,2003645,183312,62148,9.1,12.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stacked bar charts,,,graph,,,,,,,,,,,,,,,,,241678,24316,1022,,,,,,,
,,,,,,,,,,,,,,,,,,,,,85896,6496,192,,,,,,,
,,,,,,,,,,,,,,,,,,,,,102793,6893,289,,,,,,,
,,,,,,,,,,,,,,,,,,,,,97298,5225,35,,,,,,,
,,,,,,,,,,,,,,,,,,,,,527665,42930,1538,,,,,,,
,,,,,,,,,,,,,,,,,,,,,8.427316574,,44468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
