date,Dublin,State excl. Dublin,Carlow,Cavan,Clare,Cork,Donegal,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
2007Q4,1408,766,803.43,593.71,719.48,951.69,587.15,939.94,688.75,1034.54,784.91,737.87,553.2,874.95,593.33,829.97,669.2,937.72,670.62,738.05,672.58,759.8,689.47,732.6,720.86,735.91,1136.91
2008Q1,1381,757,760.78,599.69,730.73,931.05,593.68,881.78,735.99,1032.61,798.5,733.91,566.78,804.91,582.63,863.88,672.93,930.12,661.86,719.77,657.45,680.47,675.96,714.18,720.88,723.5,1145.06
2008Q2,1380,753,757.02,589.76,724.55,921.82,592.51,868.56,723.45,1030.8,798.81,728.7,565.5,804.97,582.53,871.23,668.2,930.4,658.49,714.04,642.17,681.01,683.37,715.81,717.67,724.85,1138.75
2008Q3,1357,742,746.39,576.6,701.95,922.96,578.55,893.71,683.28,1023.32,788.31,722.99,553.74,805.98,571.21,866.56,659.62,918.42,643.61,702.58,628.23,661.6,678.72,710.43,685.65,713.93,1113.88
2008Q4,1329,732,742.9,576.69,690.54,905.39,572.22,875.01,675.24,1010.59,770.12,714.53,552.29,795.59,562.7,841.01,654.24,901.82,634.41,695.11,616.46,652.08,679.82,703.3,671.13,704.69,1099.06
2009Q1,1287,713,718.05,561.97,678.83,876.58,564.23,826.17,694.48,980.26,754.12,699.66,538.02,759.96,549.88,812.59,649.19,877.83,603.34,674,591.87,634.15,675.87,687.57,659.27,689.95,1074.94
2009Q2,1248,695,702.98,542.73,658.26,851.5,553.92,809.29,682.61,948.78,737.48,674.76,513.87,737.67,535.04,787.34,648.75,847.67,593.86,657.53,579.2,617.23,666.48,674.12,644.82,677.72,1040.62
2009Q3,1206,678,692.28,525.23,635.59,843.92,544.83,827.06,640.79,916.32,713.32,648.24,494.41,746.06,519.4,754.75,636.02,815.92,571.41,637.38,564.49,593.74,652.04,660.76,635.08,663.15,1005.78
2009Q4,1148,658,672.13,513.48,619.94,818.62,538.19,802.37,619.36,880.33,688.76,622.92,482.91,730.9,504.27,723.38,623.36,780.81,559.58,620.4,546.94,587.21,637.6,636.5,617.08,649.88,966.61
2010Q1,1103,638,669.59,494.69,613.44,780.1,538.63,754.07,624.29,837.53,667.09,595.85,470.41,682.26,487.45,692.82,611.28,750.72,538.63,597.78,530.53,585.25,619.08,622.29,610.87,634.98,940.47
2010Q2,1078,625,661.21,487.45,596.67,760.81,530.07,738.59,610.04,816.95,647.46,574.53,458.1,669.19,479.42,674.52,604.34,727.47,536.81,581.02,519.59,580.44,603.91,610.84,599.65,623.98,920.16
2010Q3,1066,617,651.73,481.51,581.96,767.42,522.91,809.4,580.46,812.98,635.63,559.57,452.23,641.82,467.85,667.44,589.28,715.69,533.96,569.82,509.7,607.94,591.98,577.66,591.65,613.46,901.6
2010Q4,1044,607,645.94,474.03,571.95,757.62,508.88,801.75,566.5,805.38,622.69,545.12,443.04,634.01,457.13,659.16,578.78,705.59,526.65,563.48,497.97,599.09,584.34,570.39,571.65,606.83,885.4
2011Q1,1036,598,634.98,466,571.83,731.88,499.94,712.35,577.42,792.51,613.03,538.21,439.29,649.56,448,646.88,571.29,701.16,515.34,555.1,501.39,558.66,585.34,597.57,569.85,602.07,873.65
2011Q2,1044,592,620.22,459.95,559.67,723.65,494,705.53,569.84,790.33,605.25,537.64,430.25,641.96,441.34,642.84,566.46,693.87,512.51,547.88,494.25,554.59,583.38,596.03,565.85,597.03,869.02
2011Q3,1058,594,622.91,453.87,547.65,732.48,499.91,755.77,553.35,792.51,599.65,533.79,416.67,641.16,434.57,642.65,557.85,690.71,511.89,546.64,492.79,619.26,576.84,585.82,601.65,592.87,858.46
