date,Outstanding Mortgages: Total mortgage loan accounts outstanding,Arrears: Total mortgage accounts in arrears,Arrears: Total mortgage accounts in arrears - over 90 days,Arrears: % of loan accounts in arrears for more than 90 days
Jun-12,150187.00,34719.00,24879.00,16.60
Sep-12,150544.00,36635.00,27018.00,17.90
Dec-12,150124.00,37878.00,28366.00,18.90
Mar-13,149395.00,39371.00,29369.00,19.70
Jun-13,148529.00,39948.00,30326.00,20.40
Sep-13,147610.00,40396.00,31178.00,21.10
Dec-13,145528.00,39250.00,30706.00,21.10
Mar-14,144686.00,39361.00,31048.00,21.50
Jun-14,144187.00,39669.00,31749.00,22.00
Sep-14,143354.00,38463.00,31619.00,22.10
Dec-14,140995.00,35583.00,29224.00,20.70
Mar-15,139206.00,33475.00,27492.00,19.70
Jun-15,137303.00,31524.00,26071.00,19.00
Sep-15,137805.00,30212.00,24809.00,18.00
Dec-15,137504.00,28760.00,23344.00,17.00
Mar-16,137239.00,28716.00,23270.00,17.00
Jun-16,135874.00,27793.00,22666.00,16.70
Sep-16,133401.00,26737.00,22095.00,16.60
Dec-16,131501.00,25871.00,21113.00,16.10
Mar-17,128899.00,25175.00,20601.00,16.00
Jun-17,127704.00,24450.00,20191.00,15.80
Sep-17,125381.00,23779.00,19405.00,15.50
Dec-17,123269.00,23282.00,19018.00,15.40
Mar-18,121029.00,22545.00,18363.00,15.20
Jun-18,118234.00,21317.00,17394.00,14.70
