date,Dún Laoghaire-Rathdown,Fingal,South Dublin ,Dublin City,Kildare,Meath,Wicklow ,state
2000,7146,34721,12410,12740,9987,13288,5467,263346
2001,9526,42552,18680,20632,6240,15179,8653,247290
2002,10071,37115,25640,23874,9759,9993,6909,327784
2003,12191,44590,37246,24160,11209,3360,6341,368705
2004,13388,35623,34022,29160,12654,5370,4411,366724
2005,19777,45049,35480,44883,20168,12440,6125,459641
2006,20604,43863,39660,58227,19381,8735,7621,492219
2007,21175,24230,39468,61852,13519,8482,6444,469937
2008,26793,19361,37477,65389,20992,8182,4891,462709
2009,26631,19595,39935,67014,19566,7177,7177,472791
2010,19282,21808,41069,54498,22555,10017,7368,502736
2011,18274,22234,43460,55853,24039,11741,7088,461806
2012,18146,28612,33563,51845,24437,11865,7203,394357
