date,Dún Laoghaire-Rathdown,Fingal,South Dublin,Dublin City,Kildare,Meath,Wicklow,state
2000,136,1174,365,153,542,640,241,10775
2001,191,1304,530,148,328,733,321,8816
2002,213,1288,618,138,489,470,271,12177
2003,225,1487,724,119,543,168,256,12819
2004,252,1134,664,219,501,174,181,12540
2005,318,1287,783,412,841,387,146,14782
2006,342,1161,814,479,755,270,225,15877
2007,364,583,803,460,629,252,202,15100
2008,428,511,797,472,688,112,112,14191
2009,429,551,823,496,751,191,191,16480
2010,400,617,854,495,875,319,282,19821
2011,399,646,898,466,928,371,255,17223
2012,398,846,898,433,954,375,262,13707
