date,National,Dún Laoghaire-Rathdown,Fingal,South Dublin,Dublin City
1991,20343.00,,,,
1993,28200.00,1119.00,810.00,809.00,5152.00
1996,27427.00,1209.00,666.00,702.00,3966.00
1999,39176.00,1363.00,1274.00,2396.00,6477.00
2002,48413.00,2118.00,1769.00,3817.00,6993.00
2005,43684.00,2319.00,1975.00,1656.00,5540.00
2008,56249.00,2461.00,1931.00,4259.00,4885.00
2011,98318.00,3909.00,5003.00,8022.00,8091.00
2013,89872.00,3406.00,6020.00,6217.00,16171.00
2016,91600.00,3341.00,6858.00,5562.00,19811.00
2017,71858.00,,,,
2018,85799.00,2843.00,6993.00,4846.00,16514.00
