Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,"""x"" East Coordinates","""y"" North Coordinates",TOTAL,Complete & occupied,Complete & vacant
Abbey Close,Templeowen,Tullow,Carlow,684634,672753,30,2,5
Court Keep,Millstreet,Tullow,Carlow,685115,673256,10,5,5
Oakley Wood,Dublin Road,Tullow,Carlow,685501,673712,99,8,19
Phelim Wood,Dublin Road,Tullow,Carlow,685773,673750,238,135,13
Station Manor,Shillelagh Road,Tullow,Carlow,685884,673561,31,30,1
Park Gate,Shillelagh Road,Tullow,Carlow,686166,673608,72,16,15
Glendale,Shillelagh Road,Tullow,Carlow,686829,673588,150,29, 
Bramble Court,Tullow Hill,Tullow,Carlow,686011,673238,33,25,5
Mullawn Crescent,Mullawn,Tullow,Carlow,685491,672622,10, ,10
Mount Aaron Wood,Mullawn,Tullow,Carlow,685666,672496,12,4,2
The Village,Slaneyquarter,Tullow,Carlow,682137,677112,10,8, 
Fairgreen Crescent,Tinahely Road,Hackettstown,Carlow,697129,680124,8,6, 
Station View,Tinahely Road,Hackettstown,Carlow,697241,680090,2,,2
De Lacy Abbey,Tullow Road,Rathvilly,Carlow,687712,681470,55,47,4
Ard Bhile,Tullow Road,Rathvilly,Carlow,687267,681220,58,9,2
Radharc na Doirin,Clonegal,Clonegal,Carlow,691650,661499,10,3,2
Moyacomb Meadow,Clonegal,Clonegal,Carlow,691392,661193,31,24,1
Sliabh Baun,Fenagh Road,Myshall,Carlow,682457,660248,23,2, 
Borris Road,Borris Road,Myshall,Carlow,682123,660099,20, , 
Main Street,Mshall,Myshall,Carlow,682439,660088,2, ,2
Ballon Road,Ballon Road,Rathoe,Carlow,681029,671080,4,3, 
Barrowside,Pembroke Street,Carlow,Carlow,671639,676426,24, , 
Castlegate,Kennedy Street,Carlow,Carlow,671824,676688,30,23,7
Pembroke Court,Pembroke Street,Carlow,Carlow,671708,676444,14,14, 
Rivercourt,Tullow Road,Carlow,Carlow,672929,675602,132,37,11
Brownshill Road,Browneshill,Carlow,Carlow,673175,676602,32,30,2
Springfield Park,Burrin Road/Paupish Lane,Carlow,Carlow,672669,675726,36,22,14
Cluain Bui,Mortarstown,Carlow,Carlow,671836,674712,130,6,8
Clarance Gate,Kilkenny Road,Carlow,Carlow,671782,676022,36,11,19
Barrowvale,Kilkenny Road,Carlow,Carlow,671741,676257,36,10,3
Shamrock Plaza,Tullow Street,Carlow,Carlow,672459,676724,21,10,11
38 - 43,Tullow Street,Carlow,Carlow,672232,676654,16, ,16
Clarence Court,Brownshill Road,Carlow,Carlow,674420,676602,9,4,2
Brownshill Road,Brownshill Road,Carlow,Carlow,674459,676814,4, , 
Ballinacarrig,Quinagh,Carlow,Carlow,673158,675142,72, , 
Roseberry Hill,Ballinacarrig,Carlow,Carlow,673142,674968,19,3,1
FelthimHall,Blackbog Road,Carlow,Carlow,672304,675819,90,88,2
The Millstream,Blackbog Road,Carlow,Carlow,672285,675693,54,54, 
Castle Oaks,Dublin Road,Carlow,Carlow,673802,678108,260,67,23
Meadowbank ,Palatine,Carlow,Carlow,676406,680273,27,24,3
Lime Grove,Palatine,Carlow,Carlow,676681,679449,74,29, 
Sandhills,Hackettstown Road,Kernanstown ,Carlow,673800,676926,158,153,5
The Paddocks,Browneshill Road ,Chapelstown,Carlow,673922,676334,93,92,1
Willow Park,Tullow Road,Carlow,Carlow,673666,675680,159,150,9
Tullow Road Site,Tullow Road,Carlow,Carlow,674159,675856,75,, 
Gort Na Greine,Ballinabrannagh,Carlow,Carlow,668545,671135,84,35,5
Bushy Field,Ballinabrannagh,Carlow,Carlow,668436,670706,18,18, 
Milford Park,Ballinabrannagh,Carlow,Carlow,668768,670884,86,36,16
Tanner Hall,Athy Road,Carlow,Carlow,672210,677708,101,38, 
Maryborough Street,Graiguecullen,Carlow,Carlow,671560,676865,12,2,2
Riverdell,Haymarket / Centaur Street,Carlow,Carlow,671800,676850,60,45,15
Ballyknockan Manor,Kilkenny Road,Leighlinbridge,Carlow,668544,665278,60,7,15
Friars Lough,Leighlinbridge,Leighlinbridge,Carlow,668621,665158,29,10,3
Inis Gardens,Leighlinbridge,Leighlinbridge,Carlow,668882,665584,19,13,4
Royal Oak Close,Royal Oak,Bagenalstown,Carlow,668520,661539,10,2, 
Ashfield,Royal oak Road,Bagenalstown,Carlow,669622,661129,328,111,6
The Manor ,Market Square,Bagenalstown,Carlow,670467,661770,20, ,15
Newton Place,Bachelors Walk,Bagenalstown,Carlow,670437,661867,5, ,5
Castlerock,Carrigduff,Bunclody,Carlow,690241,657222,67,54, 
Granite,Main St,Fenagh,Carlow,677844,662986,17,7,1
 ,Myshall Road,Fenagh,Carlow,677999,663208,20,2, 
Rathsillan,Carlow Road,Tullow,Carlow,684159,673541,54,43,1
The Commons,Carrigslaney,Kilbride,Carlow,685072,666324,7,4, 
Leaca Beg,Ballon,Ballon,Carlow,683097,665831,35,7,2
Blackbog Grove,Blackbog Road,Carlow,Carlow,672167,674930,22,6,2
Brownshill Wood,Browneshill Road ,Chapelstown,Carlow,673965,676539,130,29,10
Roscolgan,Oldtown,Cavan,Cavan,642916,802222,25,14,0
Fort Village & Ringview,Gortnakesh,Cavan,Cavan,642559,803178,52,28,4
Old Town Manor,Gortnakesh & Oldtown,Cavan,Cavan,642750,802850,50,20,4
Cluain Aoibhin Court,Swellan Lower,Cavan,Cavan,640997,804623,143,86,21
Lakeland Close,Swellan Lower,Cavan,Cavan,641011,804467,24,2,6
No name evident on site. ,Swellan Lower,Cavan,Cavan,640821,804349,6,4,0
Páirc an Dúin,Swellan Lower,Cavan,Cavan,640777,804575,72,72,0
No name evident on site. ,Swellan Lower,Cavan,Cavan,640732,804185,28,28,0
Railway Bridge Embankment,Swellan Lower,Cavan,Cavan,640729,804065,4,3,1
Station Lane,Swellan Lower,Cavan,Cavan,640870,804004,250,43,12
The Elms,Swellan Lower,Cavan,Cavan,640447,804495,60,24,0
Loreto Wood,"Drumlark / Drumalee Road, Drumalee TD.",Cavan,Cavan,641238,807662,92,39,20
Cherry Grove-Drumgola Wood,Drumlark & Latt,Cavan,Cavan,642373,807803,11,8,1
Maple Drive-Drumgola Wood,Drumlark & Latt,Cavan,Cavan,642373,807803,47,27,7
Pine Crescent-Drumgola Wood,Drumlark & Latt,Cavan,Cavan,642373,807803,6,4,1
1-47 The Beeches-Drumgola Wood,Drumlark & Latt,Cavan,Cavan,642373,807803,47,42,5
40-54 The Birches-Drumgola Wood,Drumlark & Latt,Cavan,Cavan,641990,807724,15,15,0
Oak Manor,Drumlark & Latt,Cavan,Cavan,641822,807624,67,50,15
Glenwood Park,Tullybuck TD,Butlersbridge,Cavan,640744,810693,40,6,8
Drumany Fort,Kilnaglare Upper,Butlersbridge,Cavan,640808,811184,22,17,5
Erne View Apartments,Castlehill & Patrick St.,Belturbet,Cavan,636292,817033,11,5,6
Oriel Lodge,Church Street,Belturbet,Cavan,636204,816908,34,18,16
Not named,Willow Avenue,Belturbet,Cavan,636479,817210,6,4,0
Diamond Court,Corporation Lands,Belturbet,Cavan,636357,816916,14,2,12
Railway View,Corporation Lands,Belturbet,Cavan,636531,816773,42,17,9
Foalies Bridge,Foalies,Belturbet,Cavan,636509,821326,23,15,7
Shrewsbury,Kilconney,Belturbet,Cavan,635392,816764,22,18,0
Slí na Coille,Kilconney,Belturbet,Cavan,635485,816849,43,7,2
Daisyhill Manor,Mullaghduff,Ballyconnell,Cavan,627669,817914,130,30,3
No name- 2 detached dwellings on public road. ,Mullaghduff,Ballyconnell,Cavan,627653,818075,2,1,1
No name- 2 detached dwellings on public road. ,Mullaghduff,Ballyconnell,Cavan,627624,818109,2,0,2
No name.,Snugborough Td,Ballyconnell,Cavan,626351,818941,6,3,3
Bawn Villas,Kilsob,Bawnboy,Cavan,620878,818743,13,4,9
No name,Tuam,Blacklion,Cavan,608054,838024,10,1,9
Slí McNean,Tuam,Blacklion,Cavan,608089,838035,16,0,16
An Bonnan Buí Way,Tuam,Blacklion,Cavan,608280,838058,37,14,23
Riverrun,Loughdooley,Belturbet,Cavan,636688,819730,78,62,16
Bruce Manor,Drumalt,Arva,Cavan,627937,797013,25,12,13
Corfree Court,Loch Gowna,Loch Gowna,Cavan,630458,791815,4,0,1
Clonmahon Place,Hilltop,Ballinagh,Cavan,638915,798365,13,10,3
Lismore View,Crossdoney,Crossdoney,Cavan,636927,800802,18,7,11
No name,Money,Milltown,Cavan,634219,813030,6,3,3
Ashgrove,Garrymore,Ballinagh,Cavan,638463,797674,63,26,12
Ardkill Place,Garrymore,Ballinagh,Cavan,638437,797562,65,33,31
Sean Scoil (Old School),Kilcogy,Kilcogy,Cavan,637913,786516,4,2,2
Not Known,Kilcogy,Kilcogy,Cavan,637948,786575,3,0,0
Ashbrook Retirement Village,Moynalty Rd.,Mullagh,Cavan,670115,784445,30,0,0
Not Known,"Rantavan, Fartagh Rd.",Mullagh,Cavan,667791,784706,2,0,0
An Cuinn,"Rantavan, Fartagh Rd.",Mullagh,Cavan,668924,784937,10,1,5
Oak Park,"Rantavan, Fartagh Rd.",Mullagh,Cavan,668418,784783,8,7,1
Killians Court,Fartagh Rd,Mullagh,Cavan,669055,785149,55,53,2
Dun Mullach,Fartagh Rd,Mullagh,Cavan,669153,785096,45,5,0
Not Known,Main Street,Mullagh,Cavan,669354,785092,8,6,2
Glen Alainn,Moynalty Rd,Mullagh,Cavan,669590,784934,35,26,8
Fairgreen Park,Main Street,Mullagh,Cavan,669387,785401,96,41,19
Abhainn Dubh,Rosehill,Mullagh,Cavan,670064,785164,10,2,4
Sliabh Rosann,Rosehill,Mullagh,Cavan,670043,785239,50,3,3
Cluain Mullach,Moynalty Rd,Mullagh,Cavan,669783,784911,95,13,1
Mullach Mor,Fartagh Rd,Mullagh,Cavan,668939,785015,14,14,0
Brookville,"Fartagh Rd., Rantavan",Mullagh,Cavan,669055,784958,21,20,0
Not Known,Cloughbally Upper,Mullagh,Cavan,667195,783862,2,0,0
Not Known,Mullagh TD,Mullagh,Cavan,668349,786594,2,1,0
Not Known,Lislin Road,Mullagh,Cavan,670026,786690,2,0,0
Unknown,Bailieborough Rd,Mullagh,Cavan,668968,786862,2,1,0
Unknown,Bailieborough Rd,"Kiletter, Mullagh",Cavan,668969,787361,2,0,0
Unknown,Bailieborough Rd,"corlat, Mullough",Cavan,668840,787984,4,1,1
Lisgrey gardens,Virginia Rd,Bailieborough,Cavan,667164,796149,48,4,18
Unknown,Cloverhill,Bailieborough,Cavan,666837,796589,79,0,0
Eastboro,Kingscourt Rd.,Bailieborough,Cavan,668108,797146,62,1,5
Ardan Na Curkish,Corkish,Bailieborough,Cavan,668435,797023,5,0,1
Unknown,Corkish,Bailieborough,Cavan,668309,797097,3,2,1
Rakaeevan Heights,Rakeevan,Bailieborough,Cavan,668233,796584,8,0,1
Hawthorn,Rakeevan,Bailieborough,Cavan,668359,796362,70,1,7
Drumlin Manor,Kingscourt Rd.,Bailieborough,Cavan,668399,797086,16,5,3
Mulberry Manor,"Corkish, Kingscourt Rd",Bailieborough,Cavan,668815,797264,35,6,5
Hazelwood Court,"Mullagh Rd., Ballaghanea",Virginia,Cavan,661549,787197,6,4,0
Ard Aoibhinn,"Mullagh Rd., Ballaghanea",Virginia,Cavan,661634,787259,9,7,1
Lakeview,"Dublin Rd., ",Virginia,Cavan,661070,787189,43,41,0
Yew park,"Dublin Rd., ",Virginia,Cavan,661279,787497,76,65,0
The Drumlins,"Bailieborough Rd., Rahardrum",Virginia,Cavan,660799,787945,201,107,8
Not Known,town centre,Virginia,Cavan,660403,787545,8,0,0
Ridgway Hall,Cavan Rd,Virginia,Cavan,659846,787999,14,1,1
Swift Brook,"Ballyjamesduff Rd.,",Virginia,Cavan,659337,788227,50,40,6
Dunancory Demesne,"Ballyjamesduff Rd.,",Virginia,Cavan,659068,788104,12,1,3
Not Known,Kells Rd.,Kingscourt,Cavan,678158,795527,30,28,2
Ard Dun,Lisanisky,Kingscourt,Cavan,678097,795157,70,70,0
Unknown,Kells Rd.,Kingscourt,Cavan,678166,795325,12,0,0
Carrickleck View,Lissaturrin,Kingscourt,Cavan,678807,795203,30,0,2
Erindale,Lissaturrin,Kingscourt,Cavan,678721,795262,19,16,3
Rockfield,"Rocks Rd., Dunaree",Kingscourt,Cavan,678067,795788,76,13,11
Dun Na Carraige,"Rocks Rd., Dunaree",Kingscourt,Cavan,677725,795779,108,20,2
Shamrock Drive,"Bailieborough Rd.,  ",Kingscourt,Cavan,678264,796217,67,22,5
Cluain Dara,"Bailieborough Rd., ",Kingscourt,Cavan,677582,796294,167,39,13
Unknown,Bailieborough Rd,Kingscourt,Cavan,673000,798615,2,0,0
Woodlands,"Virginia Rd., Dublin Rd. Killyfina",Ballyjamesduff,Cavan,652950,790730,75,38,0
Unknown,Lismeen,Ballyjamesduff,Cavan,653620,791501,2,0,2
Ashgrove Close,"Crosserlough Rd., Derrylurgan",Ballyjamesduff,Cavan,651679,791079,54,39,0
Fortview,Oldcastle Rd.,Ballyjamesduff,Cavan,652338,790101,43,0,1
Lismeen hills,"Virginia Rd., Dublin Rd.",Ballyjamesduff,Cavan,652956,791000,124,36,2
Cherrymount,Virginia Rd.,Ballyjamesduff,Cavan,652409,790950,6,2,0
Ard na Scoil,"Crosserlough Rd.,",Kilnaleck,Cavan,644850,790579,19,8,0
Cul Lana,Coolkill,Kilnaleck,Cavan,644907,790407,68,24,3
Kemton Court,Drumalee,Cavan,Cavan,642731,805583,42,32,10
Castlemanor,Drumalee,Cavan,Cavan,643111,805648,89,16,61
Clares Court,Main St.,Cavan,Cavan,642051,804970,48,23,25
Drumalae Manor,Drumalee,Cavan,Cavan,642669,805665,82,29,3
Connolly Court,Main St.,Cavan,Cavan,641944,804481,12,0,0
Cois Na hAbhann,"Cootehill Rd.,",Cavan,Cavan,662490,806236,14,6,3
Rocklands,"Cootehill Rd.,",Cavan,Cavan,642866,806128,86,79,7
Carraig Beag,"Cootehill Rd.,",Cavan,Cavan,642833,806464,30,3,4
Hampton Court,"Cootehill Rd.,",Cavan,Cavan,642213,805796,54,23,31
Farnham lodge,Farnham Demesne,Farnham,Cavan,639454,805872,51,20,21
Bramble Lane,"Dublin Rd.,",Cavan,Cavan,642791,804593,200,55,15
The Gallops,Lat,Cavan,Cavan,641951,807406,192,178,0
Farham Court,Crossdoney Rd.,Cavan,Cavan,641173,805479,54,10,44
Not Known,"Taghart North, Closnabrandder",Shercock,Cavan,674792,802328,2,0,0
Eagalwood Drive,"Carrickmacross Rd.,",Shercock,Cavan,672507,805606,21,20,1
Clankee,"Carrickmacross Rd.,",Shercock,Cavan,672380,805670,52,6,1
Unknown,Lisdrumskea,Shercock,Cavan,672639,805919,22,22,0
Lakeview,"Shercock Rd., Dung",Cootehill,Cavan,661998,813630,9,5,2
Dartry Pk.,Magheranure,Cootehill,Cavan,660209,813815,50,47,3
Griffith Court,"Griffith Ave., Cavan Rd.",Cootehill,Cavan,659717,813953,4,3,1
