Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,x,y,TOTAL,Complete & occupied,Complete & vacant
"Grand Central, South Central",Rockbrook,Sandyford,DLR,719087,726953,899,135,284
Parkview,Enniskerry Road,Sandyford,DLR,718576,724748,386,346,40
Carrickmines Green,Glenamuck Road,Carrickmines,DLR,721530,723690,279,79,95
Cairnbrook,Glenamuck Road,Carrickmines,DLR,721320,723343,135,121,6
"The Green, Kensington Lodge",Rochestown Avenue,Dun Laoghaire,DLR,723115,726871,100, ,34
Merrion Hall,Mount Merrion Avenue,Mount Merrion ,DLR,719737,728975,45,34,11
Vantage East,Central Park,Leopardstown,DLR,719840,725993,461,60,221
Aubrey,Quinns Road,Shankill,DLR,725265,721508,31,10,8
Olcovar, ,Shanklii,DLR,725118,721243,232,215,17
Granville Road,Granville Road,Blackrock,DLR,721319,726843,2,1,1
Trimblestown 1,Goatstown Road,Goatstown,DLR,717853,729037,222,210,12
2Priory Grove & 5 Priory Drive, ,Blackrock,DLR,720049,728484,4, , 
68 & 70 Roebuck Road, ,Clonskeagh,DLR,717931,729453,3,1,
11Merville Avenue, ,Stillorgan,DLR,720075,727652,2, , 
Brennanstown, ,Cabinteely,DLR,723411,724493,230,220,10
Rockbrook Hall,Stillorgan Road,Foxrock,DLR,721373,726673,4,2,2
Belville Court,Johnstown Road,Dun Laoghaire,DLR,723519,725753,70,69,1
Rochdale,Honeypark,Dun Laoghaire,DLR,723639,727453,856, , 
Trimblestown 2,Goatstown Road,Goatstown,DLR,717835,729147,195, , 
Ronnoco,Hainault Road,Foxrock,DLR,721461,725490,3, , 
44 Castlepark Road,Castlepark Road,Sandycove,DLR,725682,727360,2,0,2
N/A,Castle Close,Sandycove,DLR,725914,727654,5,1,4
N/A,Castle Close / Castlepark Rd,Sandycove,DLR,725902,727589,56,0,0
Park na Silla,Park Na Silla,Loughlinstown,DLR ,724762,722579,51,32,15
Beechwood Court, ,Stillorgan,DLR ,720640,727251,400,257,32
Booterstown Wood,Booterstown Avenue,Booterstown ,DLR ,719689,729165,62, ,62
Beacon South Quarter, ,Sandyford,DLR ,718892,726705,1015,604,191
The Grange,Brewery Road,Stillorgan,DLR ,720468,727129,501,290,40
Ballintyre,Ballinteer Road,Ballinteer,DLR ,716427,726207,483,478,5
Auburn Lodge, ,Cabinteely,DLR ,724250,725482,31, , 
Simonridge, ,Sandyford,DLR ,717546,725901,22, ,22
The Forum,Ballymoss Road,Sandyford,DLR ,719331,726790,127,120,7
Aberdour,Stillorgan Road,Foxrock,DLR ,721258,726800,4, , 
Carrickmines Manor,Glenamuck Road,Carrickmines,DLR ,721527,723536,332,199,13
Elmfield,Ballyogan Road,Leopardstown,DLR ,719638,724880,219,20,27
Belarmine Hall," Belarmine, Newtown Little"," Stepaside, Dublin 18",DLR ,718668,724947,158,128,30
 WYCKHAM  POINT, WYCKHAM  WAY, DUNDRUM,DLR ,717114,726969,541,292,25
ROBINHILL,SANDYFORD ROAD, DUNDRUM,DLR ,718132,726540,51,31,20
THE  VILLAGE,ENNISKERRY ROAD, STEPASIDE,DLR ,719201,723947,34,19,15
GLEBE COURT,DEANSGRANGE  ROAD,DEANS GRANGE,DLR ,722343,727305,8,5,3
KILLINEY VILLAGE,KILLINEY,KILLINEY,DLR ,725721,725435,2,0,2
ICELAND DEVELOPMENT,GEORGES STREET/PLACE,DUNLAOGHAIRE,DLR ,723965,728773,87,0,0
WESTMINISTER  GROVE ,STILLORGAN  ROAD,FOXROCK,DLR ,721877,726237,3,0,3
 ADELPHI  HOUSE,GEORGES STREET,DUNLAOGHAIRE,DLR ,724519,728303,23,18,5
GOLDWILL,CHURCH ROAD,KILLINEY,DLR ,724762,725250,4,0,0
Brehon court,Harolds Grange Road,Rathfarnham,DLR ,716064,725704,4, ,4
CAMBERELY DEMENSE,CHURCHTOWN ROAD,CHURCHTOWN,DLR ,716027,728618,24,0,0
CASTLE AVENUE,UPPER CHURCHTOWN RD,CHURCHTOWN,DLR ,715407,728815,4,1,3
1-2 SALTHILL PLACE,OLD DUNLEARY  ROAD,DUNLAOGHAIRE,DLR ,723459,728831,3,0,0
HARBOUR  COURT,GEORGES  PLACE,DUNLAOGHAIRE,DLR ,723931,728808,62,53,9
TULLYVALE,CHERRYWOOD,CARRICKMINES,DLR ,723767,723560,389,377,12
Hazelbrook,Upper Kilmacud Road,Stillorgan,DLR ,718352,727586,54,52,2
Timeplace,21 Corrig Road,Sandyford,DLR ,719053,726646,90,79,11
Watermint,Bray Road,Cabinteely,DLR ,723320,725025,15,11,4
Traverslea Woods, Glenageary Road Lower,Dun Laoghaire,DLR ,724646,727645,35,16,1
The Gallops, ,Leopardstown,DLR ,720207,725162,277,144,88
Claremont,Claremont Road/Cornelscourt Hill Road,Carrickmines,DLR ,722190,725070,26,13,9
HAZELBROOK SQUARE,WHITEHALL ROAD, CHURCHTOWN,DLR ,715547,728422,231,0,69
MEADOWLANDS,MOUNTTOWN,DUNLAOGHAIRE,DLR ,723506,727773,94,67,0
Shrewsbury Square,19 Sandymount Avenue,Ballsbridge,Dublin City,718500,732237,104,88,16
Thomas Davis St,Thomas Davis St West,Inchicore,Dublin City,711898,733275,128,0,128
N/A,Rear of 36-40 Bloomfield Ave,Portobello,Dublin City,715176,732622,3,2,1
KilIeen Hall,Killeen Road,"Ballyfermot, Dublin 10",Dublin City,709389,732474,29,24,5
RATHMINES  SQUARE,RATHMINES  ROAD, DUBLIN,Dublin City,715501,731918,46,0,46
HOLLES STREET,FENIAN STREET,HOLLES STREET,Dublin City,716815,733747,11,0,11
MILLCOURT,THE TENTERS, BLACKPITTS,Dublin City,714841,733240,132,0,0
KILMAINHAM  LANE,OLD KILMAINHAM, KILMAINHAM,Dublin City,712802,733728,5,0,2
REXDON  COURT,SANDYMOUNT   AVENUE,BALLSBRIDGE,Dublin City,718341,732160,12,4,8
PROTESTANT  ROW,OFF WEXFORD STREET,WEXFORD STREET,Dublin City,715591,733228,4,0,0
MOUNT STREET LOWER,WARRINGTON PLACE, MOUNT STREET,Dublin City,716901,733460,17,5,12
THE  ORCHARD,SUIR ROAD,KILMAINHAM,Dublin City,712672,733615,13,8,5
SANDFORD  SQUARE,MERTON ROAD,RANELAGH,Dublin City,716653,731617,5,0,5
AN CAISHLEAN,ORWELL  ROAD, RATHGAR,Dublin City,715026,730424,14,0,0
3RD LOCK HALL,BLACKHORSE BRIDGE,NASS ROAD,Dublin City,711300,732833,19,0,19
"Spencer Dock; Blocks S, T, U, V, M, N",Spencer Dock and North Wall Quay,Dublin 1,Dublin City,717275,734738,961,556,60
Cannon Hall,"Sherrif St. Upper, East Rd. & Church St. East Corner",Dublin 1,Dublin City,717502,734801,61,17,44
Alexandra Place,55-58 East Road,Dublin 3,Dublin City,717742,735153,73,36,37
Island Key,East Road,Dublin 3,Dublin City,717831,735143,243,90,100
The Liffey Trust,"117 Upper Sherrif Street,",Dublin 1,Dublin City,717835,734729,96,22,74
Site at 68-72 East Road,68-72 East Road,Dublin 1,Dublin City,717723,735129,18,,
Paper Mills Site,113-115 Sherrif Street,Dublin 1,Dublin City,717925,734709,29,,
Ravensdale Road,"68-72 East Road, East Wall",Dublin 3,Dublin City,717681,735246,101,,
Village Watchtower,"East tWall Road,",Dublin 1,Dublin City,718017,734585,158,,
Dublin Maritime Ltd.site,"Castleforbes Street, North Wall Quay",Dublin 1,Dublin City,717719,734451,55, ,
Castleforbes Road (Crosbie site),"Castleforbes Road, ",Dublin 1,Dublin City,717809,734514,159,,
Mountbrook,72-80 North Wall Quay,Dublin 1,Dublin City,717608,734460,48,,
State Street,"Sir John Rogersons Quay, Benson Street",Dublin 2,Dublin City,717754,734249,112,,
The Ivory,"10-13 Cardiff Lane, 28-29 Sr. John Rogersons Quay,",Dublin 2- former Carrolls Factory Site,Dublin City,717134,734231,29,15,14
Grand Canal Square Apartments,Grand Canal Square,Dublin 2,Dublin City,717288,734208,105,,105
Riverside 4,Grand Canal Harbour,Dublin 2,Dublin City,717505,734179,55, , 
"Lime Street, Sir John Rogersons Quay","Sir John Rogersons Quay, ",Dublin 2,Dublin City,716974,734279,130, , 
Mixed use development at Bolands Mills,"Bolands Mills, Barrow Street,",Dublin 4,Dublin City,717393,733862,69,,
Horgans Landing,"76 Sir John Rogersons Quay,",Dublin 2,Dublin City,717585,734200,63,,
Britain Quay,"Britain Quay, Hannover Quay",Dublin 2,Dublin City,717774,734091,56,,
Baggot Street,"18, 20, 21 Baggot Street Lower",Dublin 2,Dublin City,716450,733383,26,22,4
Elm Park Development,Merrion Road,Dublin 4,Dublin City,719702,730727,300,240,60
Hamptonwood,St Margaret's Road,Finglas,Dublin City,714044,740791,1040,711,164
Prospect Square,Navan Road,Finglas,Dublin City,713838,738063,51, ,51
Prospect Hill,Navan Road,Finglas,Dublin City,713698,738063,496,380,116
Meg Dillon House,North Circular Road,Dublin,Dublin City,716169,735734,28, , 
Bakers Yard,North Circular Road,Dublin,Dublin City,716157,735701,61,37,24
Richmond Avenue,18-20 Richmopnd Ave,"Fairview, D3",Dublin City,717006,736302,121,0,0
NCRd & Russell st,543-551NCRd & 17Russell St,", D3",Dublin City,716172,735687,28,0,0
Parkview,Poppintree Pk,"Finglas, D11",Dublin City,713816,740034,268,128,44
Grangegorman Ct,2c Lwr Grangegorman,Dublin 7,Dublin City,714548,734789,8,5,3
Sillogue 4,Sillogue 4,"Ballymun, D11",Dublin City,714555,739955,124,0,0
Manor St,Rear of 74 Manor St,Dublin,Dublin City,714220,734919,2,0,0
Royal Canal Park( Phase 2),Pelletstown,"Ratoath Road, D15",Dublin City,712331,737644,363,358,5
Royal Canal Park( Phase 3),Pelletstown,"Ratoath Road, D15",Dublin City,712285,737555,437,0,0
jerry Beades,21& 29 Richmond Rd,"Fairview, D3",Dublin City,716936,736419,48,0,0
The Mews,Brookwood Cres,"Artane, D5",Dublin City,720239,738273,4,3,1
Forestwood Ave,Santry Cross,"Ballymun, D9",Dublin City,715605,740345,9,3,6
a-d Howth Court,116 howth  Rd , Clontarf,Dublin City,718824,736777,4,2,2
rear of 26-29 summerhill pde,Richmond Crescent,Dublin 1,Dublin City,716618,735640,2,0,0
Station Point,Clongriffin Main Street,"Clongriffin, D11",Dublin City,722622,740753,65,30,35
Belmayne,"Malahide Road to West Mayne river to north, Grange Road ext to sth, hole in the wall Rd to west.","Balgriffin, D17",Dublin City,721451,741044,629,492,137
Old Coal Yard Site,Kilmore Road,"Coolock, D5",Dublin City,718754,739486,49, , 
Howth Junction Court,"Kilbarrack Road, ","Howth Junction, D5",Dublin City,722550,739402,21,2,19
Shieling Square,Howth Road,"Raheny, D5",Dublin City,722324,738195,63, ,63
Burnell Green & Wood,Northern Cross,"Malahide Road, D17",Dublin City,720964,740978,154,70,3
Burnell Court,Northern Cross,"Malahide Road, D17",Dublin City,721043,740956,129,127,2
Scout Hall,Edenmore Avenue,"Coolock, D5",Dublin City,720945,739225,5,4,1
Marrsfield,Clongriffin,Clongriffin,Dublin City,722608,741312,508,164,15
Priory Hall,Hole in The Wall Road,Dublin 13,Dublin City,722102,741312,195,179,16
Belmayne Blocks P5 and P7,Belmayne,Clongriffin,Dublin City,721480,740853,341,153,188
Belmayne Block P20,Belmayne,Clongriffin,Dublin City,721748,740843,166, , 
Belmayne (Stanley Holdings),Belmayne,Clongriffin,Dublin City,721398,741050,430,390,40
College View ,Ballymun,Ballymun,Dublin City,715376,739720,25,16,9
The Plaza,Ballymun,Ballymun,Dublin City,715511,739899,154,125,29
Milners Square,Shanowen Road,Santry,Dublin City,716294,739072,264,32,97
The Waterfront,169 Drumcondra Road,Drumcondra,Dublin City,716139,736743,25,12,13
