id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.28995,-6.25813,Private room,50,3,227,2020-03-06,2.07,3,275
85148,Habitación en Dublín Double room,466111,Don,,South Dublin,53.3011,-6.31992,Private room,30,1,1,2019-05-11,0.09,1,140
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25618,Private room,50,3,182,2020-03-09,1.69,3,267
121030,Comfy double room in central area 1,608225,Norah,,Dublin City,53.33648,-6.22075,Private room,55,2,110,2019-03-19,1.03,3,48
159889,Friendly Single Room,766611,Margaret,,Dublin City,53.39027,-6.23547,Private room,29,2,311,2020-02-09,3.19,3,335
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,55,1,287,2020-02-13,4.90,2,211
165828,Pádraig Pearse apt. Kilmainham,790601,Grainne,,Dublin City,53.3363,-6.32439,Entire home/apt,147,3,43,2019-10-22,0.42,5,248
165829,"The ""Michael Collins"" apartment",790601,Grainne,,Dublin City,53.33811,-6.32259,Entire home/apt,135,3,53,2020-02-23,0.53,5,260
178860,Georgian House in Heart of City Ctr,856312,Danielle,,Dublin City,53.33282,-6.26821,Private room,56,2,312,2020-03-14,3.40,2,143
181823,comfy room near beach/town2,608225,Norah,,Dublin City,53.3365,-6.22066,Private room,75,2,110,2020-03-14,1.63,3,0
200979,"""The Lodge, Dalkey Avenue .""",982970,Paul,,Dn Laoghaire-Rathdown,53.2742,-6.10917,Entire home/apt,220,2,147,2020-02-25,1.53,1,191
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,,Dublin City,53.39558,-6.17524,Entire home/apt,55,2,272,2020-03-08,2.71,3,191
245893,Double warm cosy bedroom in Lucan,1289720,Sheila,,South Dublin,53.34471,-6.41602,Private room,45,30,16,2016-08-29,0.16,2,232
245903,Single cosy bedroom in Lucan.,1289720,Sheila,,South Dublin,53.34636,-6.41734,Private room,30,1,35,2020-01-15,0.38,2,230
254941,Cosy Double Room in South Dublin Home from Home,1339322,Rachel,,Dn Laoghaire-Rathdown,53.27903,-6.18898,Private room,41,1,160,2020-02-26,1.58,2,46
261248,Ensuite Rooms,1370323,Brian And Phyllis,,Dn Laoghaire-Rathdown,53.28467,-6.12436,Private room,36,1,212,2020-03-10,2.09,2,314
266654,small & cosy room for short stays,1398274,Joanne,,Dublin City,53.3915,-6.29314,Private room,29,2,61,2020-01-03,0.67,2,130
266672,Cosy double room,1398274,Joanne,,Dublin City,53.39247,-6.29314,Private room,41,2,48,2016-01-20,0.48,2,0
266856,Award Winning Bed & Breakfast...Rm1,1370323,Brian And Phyllis,,Dn Laoghaire-Rathdown,53.28502,-6.12365,Private room,36,1,134,2020-02-24,1.57,2,333
275425,Luxury family home with all amenities (6 persons),1357428,Emma And Chris,,Dublin City,53.3267,-6.20921,Entire home/apt,248,3,8,2020-01-11,0.08,1,0
286635,Almanii B&B 2 - Dublin Airport/City,1491424,Mary,,Dublin City,53.38834,-6.2451,Private room,59,3,24,2017-03-19,0.25,4,0
292757,Old World Converted Stableyard with Swimming Pool,1515549,Sarah,,Fingal,53.36958,-6.34959,Entire home/apt,120,1,332,2020-03-15,3.61,1,185
302554,Peaceful retreat for 5 - excellent location,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,180,2,56,2019-09-25,0.57,8,297
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,100,2,81,2020-02-03,0.83,8,296
314639,Almanii B&B 4 - Dublin Airport/City,1491424,Mary,,Dublin City,53.38646,-6.24545,Private room,59,3,10,2014-03-09,0.11,4,79
314640,Almanii B&B 1 - Dublin Airport/City,1491424,Mary,,Dublin City,53.38731,-6.24458,Private room,59,3,11,2015-09-17,0.12,4,0
314641,Almanii B&B 3 - Dublin Airport/City,1491424,Mary,,Dublin City,53.38811,-6.24475,Private room,59,3,6,2014-04-10,0.06,4,0
315698,"City Penthouse, Own Balcony, Shower",1625811,Tracey,,Dublin City,53.3398,-6.2266,Private room,56,7,239,2019-12-19,2.54,1,34
333950,Best location in Dublin City Centre,1607393,Daragh,,Dublin City,53.342,-6.27369,Private room,60,2,224,2020-03-05,2.32,3,9
345398,Cosy King Room in South Dublin Home from Home,1339322,Rachel,,Dn Laoghaire-Rathdown,53.28065,-6.19078,Private room,48,1,38,2020-03-04,0.93,2,89
365854,Boutique Cosy Centre Apartment,1847391,Diane,,Dublin City,53.35305,-6.25708,Entire home/apt,85,2,182,2019-11-25,1.87,1,141
374792,"'Grace Gifford' cottage, Kilmainham",790601,Grainne,,Dublin City,53.3368,-6.3241,Entire home/apt,135,3,28,2019-06-30,0.30,5,273
386860,"Stylish Canal Side Cottage, Portobello Dublin",1935798,Sinead,,Dublin City,53.33759,-6.2746,Entire home/apt,150,1,92,2019-12-13,0.99,2,0
393631,Dublin - more than meets the eye!,1968168,Mick & Dee,,Dublin City,53.35796,-6.24145,Entire home/apt,180,3,72,2017-03-19,0.78,1,0
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Liam And Fiona,,Dublin City,53.35682,-6.29132,Entire home/apt,200,2,100,2020-03-08,1.11,8,299
420297,COZY Comfortable Irish Cottage twin room,193005,Teresa,,Dn Laoghaire-Rathdown,53.2907,-6.25763,Private room,50,3,209,2020-03-08,2.21,3,264
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.35572,-6.25803,Entire home/apt,110,2,431,2020-03-08,4.56,4,116
425164,LOCATION LOCATION IN DUBLIN ROOM 1,2106659,Hans,,Dublin City,53.33432,-6.26739,Private room,110,2,240,2019-12-01,2.54,1,70
426326,Large Room With Double & Single Bed,766611,Margaret,,Dublin City,53.39027,-6.23547,Private room,36,2,239,2020-03-01,2.54,3,51
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Karin,,Dublin City,53.35572,-6.25803,Entire home/apt,110,2,438,2020-03-09,4.56,4,135
427495,Lovely Double Room in the Attic,766611,Margaret,,Dublin City,53.39027,-6.23547,Private room,35,2,163,2020-03-08,1.77,3,277
449556,Cloghranguesthouse Quad Room,2232368,Matt,,Fingal,53.42654,-6.22952,Private room,145,1,214,2019-08-29,2.65,2,352
451611,Perfect Location City Centre Apartment,1607393,Daragh,,Dublin City,53.34041,-6.27473,Entire home/apt,83,2,579,2020-03-12,6.09,3,112
454183,Funky Studio & Loft near City Centre,408378,Eddie,,Dublin City,53.35391,-6.298,Entire home/apt,80,3,64,2019-09-26,1.91,4,123
460461,"Horse riding, Golf, Gym & leisure.",2289306,Maria,,Fingal,53.40507,-6.25185,Entire home/apt,200,7,4,2013-06-24,0.05,1,358
468082,"A little bit of country in the city, Fairy House",2115318,Siobhan,,South Dublin,53.35349,-6.45184,Private room,70,1,200,2020-03-02,2.18,2,287
497136,Spacious Double Room near beach 3,608225,Norah,,Dublin City,53.33765,-6.21984,Private room,55,2,113,2019-07-26,1.23,3,49
519416,Amazing City Center Private Room,2556184,Sonia,,Dublin City,53.34773,-6.26858,Private room,52,2,238,2019-11-24,2.52,1,44
522667,"Interesting, Spacious Georgian Flat",2110301,Karin,,Dublin City,53.35572,-6.25801,Entire home/apt,110,2,367,2020-03-09,3.89,4,132
526767,Designer Apt in the heart of Dublin,2340296,Dardo,,Dublin City,53.34769,-6.26388,Entire home/apt,140,1,500,2020-03-01,5.44,1,225
536320,Amazing views in centre of Dublin,1334552,Alison,,Dublin City,53.34948,-6.27997,Private room,50,3,247,2020-02-17,2.65,2,101
543972,Historic Guinness-Built City Centre,2674292,John,,Dublin City,53.33588,-6.29231,Entire home/apt,199,3,58,2020-03-09,0.62,1,64
547945,Single room at Blessington Basin,2692493,Alwyn,,Dublin City,53.35672,-6.27069,Private room,35,1,710,2020-03-14,7.54,1,254
575339,Double Bedroom Close to City Center,1689834,Moris,,Dublin City,53.34173,-6.23949,Private room,50,1,0,,,1,0
587218,sunny double room in victorian home,2895736,James And Tom,,Dublin City,53.36274,-6.27564,Private room,80,2,191,2020-03-09,2.09,1,242
592840,"Fairy House ,A little bit of country in the city",2115318,Siobhan,,South Dublin,53.35153,-6.45154,Private room,55,1,18,2020-02-21,0.20,2,289
595320,"City views in stylish, cosy apt",2941825,Dee,,Dublin City,53.33929,-6.28157,Private room,40,3,45,2015-10-09,0.56,2,0
610233,"Perfect City Centre Apartment, Sleeps 4 - Dublin",687547,Kate,,Dublin City,53.34578,-6.27214,Entire home/apt,101,2,61,2019-03-23,0.66,1,0
630655,Stunning Views in Centre of Dublin,1334552,Alison,,Dublin City,53.34717,-6.27914,Private room,50,7,190,2019-09-29,2.05,2,157
637185,"Quiet, cozy, beautiful 1bdrm!",3177950,Justin,,Dublin City,53.34689,-6.27584,Entire home/apt,98,7,158,2018-10-13,1.75,1,0
641880,Double room w shower by city centre,3207141,Hazel,,Dublin City,53.34459,-6.28475,Private room,85,2,46,2016-09-19,0.67,2,0
654589,City Centre Apartment | TEMPLE BAR | DUBLIN CASTLE,3244025,Garrett,,Dublin City,53.34489,-6.26804,Entire home/apt,170,2,467,2020-03-02,5.08,2,203
681875,"Cosy Double Room, Donnybrook, Near Centre, Dublin4",1615460,B Maria,,Dublin City,53.32949,-6.24455,Private room,48,6,24,2020-01-02,0.26,4,0
690119,Extensively Modernised Georgian House near Everything,3525420,Sarah,,Dn Laoghaire-Rathdown,53.29306,-6.24698,Entire home/apt,295,3,209,2020-02-21,2.54,1,331
692956,Studio Apartment  Ideal for visiting Dublin,3244818,Jim,,Dn Laoghaire-Rathdown,53.28101,-6.12892,Entire home/apt,55,2,265,2020-03-19,3.11,1,248
700142,Dublin  16. Wicklow Way Rest,3591857,Anne-Marie,,Dn Laoghaire-Rathdown,53.25883,-6.29157,Private room,80,2,27,2019-09-27,0.43,3,361
700193,Dublin South Foothills Walkers Base,3591857,Anne-Marie,,Dn Laoghaire-Rathdown,53.25859,-6.29201,Entire home/apt,300,2,1,2019-11-02,0.21,3,0
715205,Gracepark Guesthouse 1,3683952,Roy,,Dublin City,53.37019,-6.25003,Private room,50,2,95,2020-02-24,1.05,6,326
726011,Sunset Crag - Beautiful Apartment,3755932,Valerie,,Fingal,53.58179,-6.12118,Entire home/apt,110,2,116,2020-03-13,1.46,1,273
726075,Chestnut view- 4*approved,3756388,Mary,,Dublin City,53.36973,-6.25788,Entire home/apt,180,30,3,2017-09-02,0.05,1,168
736751,Gracepark Guesthouse 2,3683952,Roy,,Dublin City,53.37184,-6.25112,Private room,50,2,69,2020-03-18,0.77,6,328
736773,Gracepark Guesthouse 3,3683952,Roy,,Dublin City,53.37195,-6.25289,Private room,50,2,64,2020-01-26,0.73,6,336
736794,Gracepark Guesthouse 4,3683952,Roy,,Dublin City,53.37207,-6.25229,Private room,50,2,80,2020-03-01,0.98,6,316
742656,Camden Central. Dublin at your door,3888023,Daragh,,Dublin City,53.33484,-6.26428,Private room,60,2,328,2020-03-02,4.41,2,219
747284,Luxury 2 BED Apartment near  City Centre,1626936,James P  ( J.P),,Dn Laoghaire-Rathdown,53.29444,-6.23302,Entire home/apt,89,1,29,2020-03-15,0.34,1,59
747976,"Chateau de Jimmy in Beaumont, Dublin",3927774,James,,Dublin City,53.39162,-6.23013,Private room,36,4,120,2019-11-23,1.69,1,64
761912,Near Airport & beach free parking & WiFi,3668533,Sharon & Michael,,Fingal,53.43805,-6.15639,Private room,100,3,65,2019-12-23,0.74,1,42
800026,Gracepark Guesthouse Groups,3683952,Roy,,Dublin City,53.36879,-6.2494,Entire home/apt,300,2,75,2020-02-02,0.90,6,308
816039,"Boutique Chic 4BR, 10min Temple Bar! Fab location.",192210,Susan,,Dublin City,53.36609,-6.32459,Entire home/apt,238,3,188,2020-02-09,2.14,2,168
849892,"House rental for April, 2016",4437565,Jean,,Fingal,53.38876,-6.10898,Entire home/apt,250,3,0,,,1,205
870350,Fabulous Malahide Marina Apartment,4586782,Sheelagh,,Fingal,53.45229,-6.15387,Entire home/apt,90,7,45,2020-03-14,0.57,2,219
872539,Contemporary Victorian cottage,4603565,Aida,,Dublin City,53.35799,-6.23991,Entire home/apt,200,3,97,2020-01-01,1.13,1,324
922425,Perfect Location City Centre House,1607393,Daragh,,Dublin City,53.34202,-6.27351,Entire home/apt,134,2,126,2020-01-05,1.49,3,17
928970,Self Catering Barge 'Scéal Eile',5001093,Trish,,Dublin City,53.34246,-6.2391,Entire home/apt,165,2,37,2020-03-09,0.46,2,324
929816,"Luxury Room,Grand Canal,City Center",4985632,Ashton,,Dublin City,53.343,-6.24073,Private room,75,2,161,2020-02-17,1.88,2,0
939866,"Designer Apt,GrandCanal,City Center",4985632,Ashton,,Dublin City,53.3437,-6.23975,Entire home/apt,170,2,146,2020-03-19,1.71,2,28
990300,**Superhost Home Near City**,5438017,Melanie,,Dublin City,53.31327,-6.2528,Private room,65,1,205,2018-02-25,2.40,1,0
998407,self contained cozy tot private near city & airpor,1245198,Amanda,,Dublin City,53.39622,-6.1756,Entire home/apt,45,1,184,2020-03-20,2.82,3,171
999963,Ten-shui Meatman's Quarter,5497230,Sarah And Johnny,,Dublin City,53.36181,-6.27475,Entire home/apt,200,7,10,2017-08-16,0.15,1,0
1017861,Double Room with Private Bathroom,5601956,Rob And Stef,,Dublin City,53.37804,-6.32835,Private room,50,3,111,2020-02-23,1.40,1,74
1073487,Open Plan Dublin/UCD Adjacent Home,5905039,Jane,,Dn Laoghaire-Rathdown,53.30296,-6.24063,Private room,55,1,51,2019-09-08,0.61,1,293
1076514,Accomodation beside Trinity college,4435361,Georgia & Gar,,Dublin City,53.34652,-6.24697,Entire home/apt,110,3,176,2020-03-08,2.11,1,161
1076634,"Lovely Hse, Kimmage D6W, (5km to centre).",823405,Declan,,Dublin City,53.31599,-6.31129,Private room,59,5,50,2019-05-11,0.62,1,324
1086416,"Cosy, self-contained, 1-bed space.",5971713,Eileen,,Dublin City,53.35787,-6.27497,Entire home/apt,100,3,230,2020-03-16,2.76,1,63
1207950,Large 5 Star Prime South Dublin House,6593571,Dave & Ann,,Dn Laoghaire-Rathdown,53.28315,-6.24647,Entire home/apt,280,5,62,2019-09-16,0.77,1,289
1244710,NEW° Modern Design Apartment - No Internet,5605429,Eddy,,Dublin City,53.35352,-6.25016,Entire home/apt,128,3,65,2020-02-23,0.81,4,0
1270261,Old Country house,474328,James,,Fingal,53.56548,-6.31617,Private room,70,1,7,2019-03-17,0.10,1,340
1276002,City Centre HOME by the Liffey w outdoor Patio,6938108,Caroline,,Dublin City,53.3519,-6.23396,Entire home/apt,350,2,62,2019-10-13,0.82,1,50
1289697,"Riverside relaxation, great location.",2061662,John And Diana,,South Dublin,53.30471,-6.27694,Entire home/apt,130,4,14,2020-03-06,0.17,1,267
1296492,"Charming & clean - Dublin, Aviva",4580868,Bren & Fer,,Dublin City,53.33837,-6.22411,Private room,48,2,54,2017-12-20,0.69,1,0
1296923,spare bedroom in Dublin Town house ,7046849,Michael,,Fingal,53.37555,-6.40658,Private room,50,1,0,,,1,365
1322440,Fab rooms for long and short stay,7202989,Gillian,,Dublin City,53.38223,-6.22899,Private room,22,3,1,2017-03-19,0.03,1,0
1332458,City centre Historic house up to 18 Guests,7169837,Nicole,,Dublin City,53.35362,-6.27086,Entire home/apt,299,1,226,2020-02-16,2.79,1,253
1341478,Lovely old world Dublin Central,408378,Eddie,,Dublin City,53.35415,-6.29679,Private room,85,3,106,2019-09-24,1.81,4,0
1364560,"Cosy double in Eclectic Arty home, near Guinness",6977448,Ayelet & Steve,,Dublin City,53.33578,-6.28937,Private room,64,2,130,2020-03-16,1.62,1,47
1378351,LOFT for events & meetings,7466416,Antonella,,Dublin City,53.3452,-6.27741,Private room,250,1,0,,,1,365
1407832,Beautifully Renovated Dublin House,5818278,Therese,,Dn Laoghaire-Rathdown,53.29831,-6.17206,Entire home/apt,160,2,53,2019-12-31,0.66,1,35
1411019,City Centre Double Room in Penthouse Apartment,765874,Sam,,Dublin City,53.3475,-6.26732,Private room,85,2,220,2020-02-24,4.51,2,107
