"","date","region","properties","available days per year","properties per host"
"5","2016-Jan","Dún Laoghaire-Rathdown",327,256.562691131498,1.44036697247706
"6","2016-Jan","Dublin City",3117,211.251203079885,2.25633622072506
"7","2016-Jan","Fingal",226,273.898230088496,1.57964601769911
"8","2016-Jan","South Dublin",103,265.378640776699,1.61165048543689
"1","2016-Aug","Dún Laoghaire-Rathdown",633,168.254344391785,1.61927330173776
"2","2016-Aug","Dublin City",4931,154.173798418171,2.89332792537011
"3","2016-Aug","Fingal",450,210.148888888889,2.13555555555556
"4","2016-Aug","South Dublin",211,212.876777251185,1.7345971563981
"9","2017-Feb","Dún Laoghaire-Rathdown",633,152.638230647709,1.88151658767773
"10","2017-Feb","Dublin City",5377,132.021573368049,3.01357634368607
"11","2017-Feb","Fingal",491,177.006109979633,2.03665987780041
"12","2017-Feb","South Dublin",228,193.008771929825,1.62280701754386
"13","2018-Apr","Dún Laoghaire-Rathdown",887,108.050732807215,1.96617812852311
"14","2018-Apr","Dublin City",7047,84.242656449553,3.0180218532709
"15","2018-Apr","Fingal",710,134.085915492958,2.25633802816901
"16","2018-Apr","South Dublin",305,141.711475409836,1.64918032786885
"29","2018-May","Dún Laoghaire-Rathdown",876,97.7614155251142,2.11073059360731
"30","2018-May","Dublin City",7103,82.1797831902013,3.12670702520062
"31","2018-May","Fingal",731,132.134062927497,2.25991792065663
"32","2018-May","South Dublin",318,138.459119496855,1.66666666666667
"25","2018-Jul","Dún Laoghaire-Rathdown",985,99.4568527918782,2.06395939086294
"26","2018-Jul","Dublin City",7727,86.0737673094344,3.53164229325741
"27","2018-Jul","Fingal",797,135.341279799247,2.33500627352572
"28","2018-Jul","South Dublin",357,140.355742296919,1.67226890756303
"17","2018-Aug","Dún Laoghaire-Rathdown",984,97.9186991869919,2.13821138211382
"18","2018-Aug","Dublin City",7839,85.195688225539,3.55644852659778
"19","2018-Aug","Fingal",839,136.548271752086,2.61025029797378
"20","2018-Aug","South Dublin",358,139.463687150838,1.70670391061453
"41","2018-Sep","Dún Laoghaire-Rathdown",974,96.8418891170431,2.30082135523614
"42","2018-Sep","Dublin City",7675,87.0583713355049,3.26110749185668
"43","2018-Sep","Fingal",811,134.277435265105,2.50308261405672
"44","2018-Sep","South Dublin",343,138.425655976676,1.67055393586006
"37","2018-Oct","Dún Laoghaire-Rathdown",942,96.255838641189,2.29405520169851
"38","2018-Oct","Dublin City",7478,84.6774538646697,3.25688686814656
"39","2018-Oct","Fingal",799,133.549436795995,2.97997496871089
"40","2018-Oct","South Dublin",326,133.751533742331,1.57668711656442
"33","2018-Nov","Dún Laoghaire-Rathdown",922,96.5986984815618,2.27982646420824
"34","2018-Nov","Dublin City",7476,85.7129481005885,3.47940074906367
"35","2018-Nov","Fingal",788,132.899746192893,3.15609137055838
"36","2018-Nov","South Dublin",344,131.270348837209,1.625
"21","2018-Dec","Dún Laoghaire-Rathdown",930,99.0795698924731,2.21720430107527
"22","2018-Dec","Dublin City",7621,85.3588767878231,3.66395486156672
"23","2018-Dec","Fingal",788,130.521573604061,3.35406091370558
"24","2018-Dec","South Dublin",344,124.630813953488,1.59011627906977
"61","2019-Jan","Dún Laoghaire-Rathdown",919,96.2687704026115,2.17736670293798
"62","2019-Jan","Dublin City",7496,80.3847385272145,3.99546424759872
"63","2019-Jan","Fingal",764,125.253926701571,4.20942408376963
"64","2019-Jan","South Dublin",341,116.381231671554,1.67448680351906
"57","2019-Feb","Dún Laoghaire-Rathdown",915,89.5027322404372,2.18360655737705
"58","2019-Feb","Dublin City",7485,75.5700734802939,3.79625918503674
"59","2019-Feb","Fingal",756,121.933862433862,3.03439153439153
"60","2019-Feb","South Dublin",340,107.994117647059,1.60882352941176
"73","2019-Mar","Dún Laoghaire-Rathdown",954,91.2442348008386,2.29979035639413
"74","2019-Mar","Dublin City",7515,69.5398536260812,3.62581503659348
"75","2019-Mar","Fingal",764,113.473821989529,2.03141361256545
"76","2019-Mar","South Dublin",351,112.076923076923,1.65242165242165
"45","2019-Apr","Dún Laoghaire-Rathdown",977,84.6734902763562,2.29989764585466
"46","2019-Apr","Dublin City",7563,67.290096522544,4.24157080523602
"47","2019-Apr","Fingal",768,109.046875,1.99739583333333
"48","2019-Apr","South Dublin",352,118.940340909091,1.63636363636364
"77","2019-May","Dún Laoghaire-Rathdown",983,81.353001017294,2.353001017294
"78","2019-May","Dublin City",7661,66.3282861245268,4.53974676935126
"79","2019-May","Fingal",812,112.125615763547,2.02709359605911
"80","2019-May","South Dublin",366,117.590163934426,1.72131147540984
"69","2019-Jun","Dún Laoghaire-Rathdown",1006,85.1848906560636,2.31312127236581
"70","2019-Jun","Dublin City",7712,67.0484958506224,4.66104771784232
"71","2019-Jun","Fingal",809,108.525339925834,2.02843016069221
"72","2019-Jun","South Dublin",375,113.501333333333,1.68533333333333
"65","2019-Jul","Dún Laoghaire-Rathdown",1004,82.49203187251,2.30478087649402
"66","2019-Jul","Dublin City",7785,65.7210019267823,4.78805394990366
"67","2019-Jul","Fingal",841,110.483947681332,2.01783590963139
"68","2019-Jul","South Dublin",383,111.281984334204,1.63707571801567
"49","2019-Aug","Dún Laoghaire-Rathdown",1004,85.0029880478088,2.30577689243028
"50","2019-Aug","Dublin City",7634,67.9546764474718,4.92101126539167
"51","2019-Aug","Fingal",839,114.654350417163,2.0476758045292
"52","2019-Aug","South Dublin",378,113.703703703704,1.70634920634921
"89","2019-Sep","Dún Laoghaire-Rathdown",994,88.0593561368209,2.43561368209256
"90","2019-Sep","Dublin City",7323,69.1721971869452,4.14474941963676
"91","2019-Sep","Fingal",825,114.192727272727,2.10909090909091
"92","2019-Sep","South Dublin",370,108.954054054054,1.74324324324324
"85","2019-Oct","Dún Laoghaire-Rathdown",985,85.0345177664975,2.49340101522843
"86","2019-Oct","Dublin City",7278,70.8319593294861,4.46757350920583
"87","2019-Oct","Fingal",844,116.454976303318,2.18483412322275
"88","2019-Oct","South Dublin",378,111.293650793651,1.77248677248677
"81","2019-Nov","Dún Laoghaire-Rathdown",1002,85.4880239520958,2.5189620758483
"82","2019-Nov","Dublin City",7218,68.8057633693544,4.40260459961208
"83","2019-Nov","Fingal",840,116.678571428571,2.19047619047619
"84","2019-Nov","South Dublin",377,108.175066312997,1.84880636604775
"53","2019-Dec","Dún Laoghaire-Rathdown",982,88.1720977596741,2.39307535641548
"54","2019-Dec","Dublin City",7199,67.8334490901514,3.70607028753994
"55","2019-Dec","Fingal",823,114.636695018226,2.19927095990279
"56","2019-Dec","South Dublin",372,113.024193548387,1.78494623655914
"97","2020-Jan","Dún Laoghaire-Rathdown",983,86.2767039674466,2.36826042726348
"98","2020-Jan","Dublin City",7079,66.536092668456,3.73583839525357
"99","2020-Jan","Fingal",823,112.39489671932,2.16646415552855
"100","2020-Jan","South Dublin",365,110.175342465753,1.86027397260274
"93","2020-Feb","Dún Laoghaire-Rathdown",990,85.2424242424242,2.46565656565657
"94","2020-Feb","Dublin City",7086,64.8261360429015,3.97149308495625
"95","2020-Feb","Fingal",815,108.096932515337,2.19509202453988
"96","2020-Feb","South Dublin",368,103.8125,1.85597826086957
"101","2020-Mar","Dún Laoghaire-Rathdown",957,84.7617554858934,2.62591431556949
"102","2020-Mar","Dublin City",7038,70.872406933788,4.31727763569196
"103","2020-Mar","Fingal",796,107.386934673367,2.2713567839196
"104","2020-Mar","South Dublin",352,104.528409090909,1.81534090909091
