date,Hotels and B&Bs,All Other Accommodation,Total Families
Jun-14,149,115,264
Jul-14,160,113,273
Aug-14,164,130,294
Sep-14,179,130,309
Oct-14,183,124,307
Nov-14,204,121,325
Dec-14,201,130,331
Jan-15,223,136,359
Feb-15,235,136,371
Mar-15,270,141,411
Apr-15,303,139,442
May-15,357,133,490
Jun-15,388,143,531
Jul-15,361,195,556
Aug-15,404,203,607
Sep-15,436,201,637
Oct-15,461,216,677
Nov-15,500,205,705
Dec-15,466,217,683
Jan-16,553,216,769
Feb-16,581,209,790
Mar-16,629,210,839
Apr-16,670,218,888
May-16,685,228,913
Jun-16,682,257,939
Jul-16,731,262,993
Aug-16,739,259,998
Sep-16,760,254,1014
Oct-16,783,243,1026
Nov-16,780,243,1023
Dec-16,778,250,1028
Jan-17,764,243,1007
Feb-17,801,254,1055
Mar-17,815,254,1069
Apr-17,750,341,1091
May-17,794,305,1099
Jun-17,710,405,1115
Jul-17,753,425,1178
Aug-17,704,442,1146
Sep-17,726,412,1138
Oct-17,716,423,1139
Nov-17,758,430,1188
Dec-17,688,433,1121
Jan-18,716,475,1191
Feb-18,731,598,1329
Mar-18,778,551,1329
Apr-18,830,614,1444
May-18,795,543,1338
Jun-18,822,530,1352
Jul-18,821,556,1377
Aug-18,848,459,1307
