date,Dependents,Individual adults
Jun-14,567,346
Jul-14,595,359
Aug-14,640,387
Sep-14,668,410
Oct-14,680,421
Nov-14,741,440
Dec-14,726,465
Jan-15,780,493
Feb-15,803,507
Mar-15,911,571
Apr-15,970,616
May-15,1034,677
Jun-15,1122,729
Jul-15,1185,770
Aug-15,1275,832
Sep-15,1343,855
Oct-15,1425,916
Nov-15,1466,963
Dec-15,1409,939
Jan-16,1570,1042
Feb-16,1616,1063
Mar-16,1723,1132
Apr-16,1786,1188
May-16,1847,1218
Jun-16,1894,1270
Jul-16,2020,1331
Aug-16,2012,1338
Sep-16,2065,1357
Oct-16,2110,1376
Nov-16,2110,1368
Dec-16,2046,1353
Jan-17,2096,1382
Feb-17,2129,1410
Mar-17,2214,1426
Apr-17,2262,1465
May-17,2266,1477
Jun-17,2270,1492
Jul-17,2423,1586
Aug-17,2379,1559
Sep-17,2416,1562
Oct-17,2425,1561
Nov-17,2533,1632
Dec-17,2385,1562
Jan-18,2509,1658
Feb-18,2801,1846
Mar-18,2780,1853
Apr-18,2810,1899
May-18,2886,1859
Jun-18,2858,1878
Jul-18,2894,1896
Aug-18,2821,1821
Sep-18,2869,1839
Oct-18,2800,1810
Nov-18,2816,1819
