date,region,population,households
1991,Dublin City,478389,159163
1996,Dublin City,481854,173085
2002,Dublin City,495781,180852
2006,Dublin City,506211,190984
2011,Dublin City,527612,208008
2016,Dublin City,554554,211747
1991,Dún Laoghaire-Rathdown,185410,56352
1996,Dún Laoghaire-Rathdown,189999,61649
2002,Dún Laoghaire-Rathdown,191792,64132
2006,Dún Laoghaire-Rathdown,194038,68412
2011,Dún Laoghaire-Rathdown,206261,75819
2016,Dún Laoghaire-Rathdown,218018,78601
1991,Fingal,152766,40692
1996,Fingal,167683,47721
2002,Fingal,196413,60872
2006,Fingal,239992,80402
2011,Fingal,273991,93146
2016,Fingal,296020,96812
1991,South Dublin,208739,54802
1996,South Dublin,218728,61809
2002,South Dublin,238835,73516
2006,South Dublin,246935,80631
2011,South Dublin,265205,90019
2016,South Dublin,278767,92523
1991,Kildare,122656,32956
1996,Kildare,134992,39041
2002,Kildare,163944,50477
2006,Kildare,186335,60957
2011,Kildare,210312,70763
2016,Kildare,222504,73596
1991,Meath,105370,28806
1996,Meath,109732,31863
2002,Meath,134005,41675
2006,Meath,162831,53938
2011,Meath,184135,62201
2016,Meath,195044,64234
1991,Wicklow,97265,28066
1996,Wicklow,102683,31263
2002,Wicklow,114676,36572
2006,Wicklow,126194,42870
2011,Wicklow,136640,47798
2016,Wicklow,142425,49211
