date,type,value
1975,National New House Prices (Euro),13254
1976,National New House Prices (Euro),15564
1977,National New House Prices (Euro),18754
1978,National New House Prices (Euro),24082
1979,National New House Prices (Euro),29387
1980,National New House Prices (Euro),34967
1981,National New House Prices (Euro),40167
1982,National New House Prices (Euro),44060
1983,National New House Prices (Euro),44448
1984,National New House Prices (Euro),45419
1985,National New House Prices (Euro),46542
1986,National New House Prices (Euro),48256
1987,National New House Prices (Euro),48151
1988,National New House Prices (Euro),52450
1989,National New House Prices (Euro),58178
1990,National New House Prices (Euro),65541
1991,National New House Prices (Euro),66914
1992,National New House Prices (Euro),69264
1993,National New House Prices (Euro),69883
1994,National New House Prices (Euro),72732
1995,National New House Prices (Euro),77994
1996,National New House Prices (Euro),87202
1997,National New House Prices (Euro),102222
1998,National New House Prices (Euro),125302
1999,National New House Prices (Euro),148521
2000,National New House Prices (Euro),169191
2001,National New House Prices (Euro),182863
2002,National New House Prices (Euro),198087
2003,National New House Prices (Euro),224567
2004,National New House Prices (Euro),249191
2005,National New House Prices (Euro),276221
2006,National New House Prices (Euro),305637
2007,National New House Prices (Euro),322634
2008,National New House Prices (Euro),305269
2009,National New House Prices (Euro),242033
2010,National New House Prices (Euro),228268
2011,National New House Prices (Euro),230303
2012,National New House Prices (Euro),220415
2013,National New House Prices (Euro),228216
2014,National New House Prices (Euro),246378
2015,National New House Prices (Euro),281432
2016,National New House Prices (Euro),313483
1975,National Second Hand House Prices (Euro),12478
1976,National Second Hand House Prices (Euro),15303
1977,National Second Hand House Prices (Euro),17925
1978,National Second Hand House Prices (Euro),21895
1979,National Second Hand House Prices (Euro),27598
1980,National Second Hand House Prices (Euro),30927
1981,National Second Hand House Prices (Euro),37394
1982,National Second Hand House Prices (Euro),40308
1983,National Second Hand House Prices (Euro),43204
1984,National Second Hand House Prices (Euro),45208
1985,National Second Hand House Prices (Euro),45608
1986,National Second Hand House Prices (Euro),47082
1987,National Second Hand House Prices (Euro),46330
1988,National Second Hand House Prices (Euro),50501
1989,National Second Hand House Prices (Euro),54586
1990,National Second Hand House Prices (Euro),62387
1991,National Second Hand House Prices (Euro),64122
1992,National Second Hand House Prices (Euro),65331
1993,National Second Hand House Prices (Euro),66736
1994,National Second Hand House Prices (Euro),69877
1995,National Second Hand House Prices (Euro),74313
1996,National Second Hand House Prices (Euro),85629
1997,National Second Hand House Prices (Euro),102712
1998,National Second Hand House Prices (Euro),134529
1999,National Second Hand House Prices (Euro),163316
2000,National Second Hand House Prices (Euro),190550
2001,National Second Hand House Prices (Euro),206117
2002,National Second Hand House Prices (Euro),227799
2003,National Second Hand House Prices (Euro),264898
2004,National Second Hand House Prices (Euro),294667
2005,National Second Hand House Prices (Euro),330399
2006,National Second Hand House Prices (Euro),371447
2007,National Second Hand House Prices (Euro),377850
2008,National Second Hand House Prices (Euro),348804
2009,National Second Hand House Prices (Euro),275250
2010,National Second Hand House Prices (Euro),274125
2011,National Second Hand House Prices (Euro),260387
2012,National Second Hand House Prices (Euro),249132
2013,National Second Hand House Prices (Euro),255912
2014,National Second Hand House Prices (Euro),261634
2015,National Second Hand House Prices (Euro),264565
2016,National Second Hand House Prices (Euro),276272
1975,Dublin New House Prices (Euro),13137
1976,Dublin New House Prices (Euro),15342
1977,Dublin New House Prices (Euro),19055
1978,Dublin New House Prices (Euro),25745
1979,Dublin New House Prices (Euro),32005
1980,Dublin New House Prices (Euro),37822
1981,Dublin New House Prices (Euro),44456
1982,Dublin New House Prices (Euro),48886
1983,Dublin New House Prices (Euro),48169
1984,Dublin New House Prices (Euro),48819
1985,Dublin New House Prices (Euro),49166
1986,Dublin New House Prices (Euro),50891
1987,Dublin New House Prices (Euro),50864
1988,Dublin New House Prices (Euro),57994
1989,Dublin New House Prices (Euro),68393
1990,Dublin New House Prices (Euro),80749
1991,Dublin New House Prices (Euro),78715
1992,Dublin New House Prices (Euro),79200
1993,Dublin New House Prices (Euro),75539
1994,Dublin New House Prices (Euro),81993
1995,Dublin New House Prices (Euro),86671
1996,Dublin New House Prices (Euro),97058
1997,Dublin New House Prices (Euro),122036
1998,Dublin New House Prices (Euro),160699
1999,Dublin New House Prices (Euro),193526
2000,Dublin New House Prices (Euro),221724
2001,Dublin New House Prices (Euro),243095
2002,Dublin New House Prices (Euro),256109
2003,Dublin New House Prices (Euro),291646
2004,Dublin New House Prices (Euro),322628
2005,Dublin New House Prices (Euro),350891
2006,Dublin New House Prices (Euro),405957
2007,Dublin New House Prices (Euro),416225
2008,Dublin New House Prices (Euro),370495
2009,Dublin New House Prices (Euro),260170
2010,Dublin New House Prices (Euro),251629
2011,Dublin New House Prices (Euro),290668
2012,Dublin New House Prices (Euro),265633
2013,Dublin New House Prices (Euro),300466
2014,Dublin New House Prices (Euro),333720
2015,Dublin New House Prices (Euro),377741
2016,Dublin New House Prices (Euro),397676
1975,Dublin Second Hand House Prices (Euro),12774
1976,Dublin Second Hand House Prices (Euro),15850
1977,Dublin Second Hand House Prices (Euro),18778
1978,Dublin Second Hand House Prices (Euro),22920
1979,Dublin Second Hand House Prices (Euro),30092
1980,Dublin Second Hand House Prices (Euro),34129
1981,Dublin Second Hand House Prices (Euro),42193
1982,Dublin Second Hand House Prices (Euro),45912
1983,Dublin Second Hand House Prices (Euro),48249
1984,Dublin Second Hand House Prices (Euro),50936
1985,Dublin Second Hand House Prices (Euro),50382
1986,Dublin Second Hand House Prices (Euro),51450
1987,Dublin Second Hand House Prices (Euro),49139
1988,Dublin Second Hand House Prices (Euro),54077
1989,Dublin Second Hand House Prices (Euro),63148
1990,Dublin Second Hand House Prices (Euro),74833
1991,Dublin Second Hand House Prices (Euro),76075
1992,Dublin Second Hand House Prices (Euro),77490
1993,Dublin Second Hand House Prices (Euro),76814
1994,Dublin Second Hand House Prices (Euro),82772
1995,Dublin Second Hand House Prices (Euro),88939
1996,Dublin Second Hand House Prices (Euro),104431
1997,Dublin Second Hand House Prices (Euro),131258
1998,Dublin Second Hand House Prices (Euro),176420
1999,Dublin Second Hand House Prices (Euro),210610
2000,Dublin Second Hand House Prices (Euro),247039
2001,Dublin Second Hand House Prices (Euro),267939
2002,Dublin Second Hand House Prices (Euro),297424
2003,Dublin Second Hand House Prices (Euro),355451
2004,Dublin Second Hand House Prices (Euro),389791
2005,Dublin Second Hand House Prices (Euro),438790
2006,Dublin Second Hand House Prices (Euro),512461
2007,Dublin Second Hand House Prices (Euro),495576
2008,Dublin Second Hand House Prices (Euro),444207
2009,Dublin Second Hand House Prices (Euro),345444
2010,Dublin Second Hand House Prices (Euro),344891
2011,Dublin Second Hand House Prices (Euro),330894
2012,Dublin Second Hand House Prices (Euro),320947
2013,Dublin Second Hand House Prices (Euro),350239
2014,Dublin Second Hand House Prices (Euro),347700
2015,Dublin Second Hand House Prices (Euro),335013
2016,Dublin Second Hand House Prices (Euro),351354
