StopID	Name	Abbreviation	LineID	SortOrder	IsEnabled	IsParkAndRide	IsCycleAndRide	ZoneCountA	ZoneCountB	Latitude	Longitude	IrishName
1	Tallaght	TAL	1	260	1	1	1	4	4	53.2874944444444	-6.37458888888889	Tamhlacht
2	Hospital	HOS	1	250	1	0	0	4	4	53.2893694444444	-6.37885	Ospidéal Thamhlachta
3	Cookstown	COO	1	240	1	0	1	4	4	53.2935055555556	-6.38439722222222	Baile an Chócaigh 
4	Belgard	BEL	1	230	1	0	1	4	4	53.2992861111111	-6.37488611111111	Belgard 
5	Kingswood	KIN	1	220	1	0	1	4	4	53.3036944444444	-6.36525	Coill an Rí 
6	Red Cow	RED	1	210	1	1	1	4	3	53.3168333333333	-6.36987222222222	An Bhó Dhearg
7	Kylemore	KYL	1	200	1	0	0	3	3	53.3266555555556	-6.34344444444444	An Chill Mhór
8	Bluebell	BLU	1	190	1	0	1	3	3	53.3292972222222	-6.33379166666667	An Cloigín Gorm 
9	Blackhorse	BLA	1	180	1	0	0	3	3	53.3342583333333	-6.32739444444444	An Capall Dubh
10	Drimnagh	DRI	1	170	1	0	0	3	3	53.3353611111111	-6.31816111111111	Droimeanach
11	Goldenbridge	GOL	1	160	1	0	1	3	3	53.3358916666667	-6.31356944444444	An Droichead Órga 
12	Suir Road	SUI	1	150	1	0	1	3	2	53.3366166666667	-6.30721111111111	Bóthar na Siúire 
13	Rialto	RIA	1	140	1	0	0	2	2	53.3379083333333	-6.29724166666667	Rialto
14	Fatima	FAT	1	130	1	0	1	2	2	53.3384388888889	-6.29254722222222	Fatima 
15	James's	JAM	1	120	1	0	0	2	2	53.3419416666667	-6.29336111111111	Ospidéal San Séamas
16	Heuston	HEU	1	110	1	0	1	2	1	53.3466472222222	-6.29180833333333	Heuston 
17	Museum	MUS	1	100	1	0	0	1	1	53.3478666666667	-6.28671388888889	Ard-Mhúsaem
18	Smithfield	SMI	1	90	1	0	1	1	1	53.3471333333333	-6.27772777777778	Margadh na Feirme 
19	Four Courts	FOU	1	80	1	0	0	1	1	53.3468638888889	-6.27343611111111	Na Ceithre Cúirteanna
20	Jervis	JER	1	70	1	0	1	1	1	53.3476861111111	-6.26533333333333	Jervis 
21	Abbey Street	ABB	1	60	1	0	1	1	1	53.3485888888889	-6.25817222222222	Sráid na Mainistreach 
22	Busáras	BUS	1	50	1	0	0	1	0	53.350075	-6.25145	Busáras 
23	Connolly	CON	1	45	1	0	1	1	0	53.3509222222222	-6.24994166666667	Conghaile 
24	St. Stephen's Green	STS	2	10	1	0	0	1	1	53.3390722222222	-6.26133333333333	Faiche Stiabhna
25	Harcourt	HAR	2	20	1	0	1	1	1	53.3333583333333	-6.26265	Sráid Fhearchair 
26	Charlemont	CHA	2	30	1	0	1	2	1	53.3306694444444	-6.25868333333333	Charlemont 
27	Ranelagh	RAN	2	40	1	0	1	2	2	53.3264333333333	-6.25620277777778	Raghnallach 
28	Beechwood	BEE	2	50	1	0	1	2	2	53.3208222222222	-6.25465277777778	Coill na Feá 
29	Cowper	COW	2	60	1	0	1	2	2	53.3164666666667	-6.25344722222222	Cowper 
30	Milltown	MIL	2	70	1	0	1	2	2	53.3099166666667	-6.25172777777778	Baile an Mhuilinn 
31	Windy Arbour	WIN	2	80	1	0	1	2	2	53.3015583333333	-6.25070833333333	Na Glasáin 
32	Dundrum	DUN	2	90	1	0	1	3	2	53.2923583333333	-6.24511666666667	Dún Droma 
33	Balally	BAL	2	100	1	1	1	3	3	53.2861055555556	-6.23677222222222	Baile Amhlaoibh 
34	Kilmacud	KIL	2	110	1	0	1	3	3	53.2830083333333	-6.22388611111111	Cill Mochuda 
35	Stillorgan	STI	2	120	1	1	1	3	3	53.2793111111111	-6.20991944444444	Stigh Lorgan 
36	Sandyford	SAN	2	130	1	1	1	4	3	53.2776027777778	-6.20467777777778	Áth an Ghainimh 
37	Central Park	CPK	2	140	1	0	0	4	4	53.27015	-6.20376388888889	An Pháirc Láir 
38	Glencairn	GLE	2	150	1	0	1	4	4	53.2663361111111	-6.20994166666667	Gleann an Chairn
39	The Gallops	GAL	2	160	1	0	1	4	4	53.2611638888889	-6.20602222222222	An Eachrais 
40	Leopardstown Valley	LEO	2	170	1	0	1	4	4	53.2582472222222	-6.19836111111111	Gleann Bhaile na Lobhar 
42	Ballyogan Wood	BAW	2	180	1	0	0	4	4	53.255047	-6.184475	Coill Bhaile Uí Ógáin
43	Racecourse	RCC	2	190	0	0	0	5	4	53.2553666666667	-6.17516111111111	An Ráschúrsa
44	Carrickmines	CCK	2	200	1	1	1	5	5	53.2540333333333	-6.16990833333333	Carraig Mhaighin 
45	Brennanstown	BRE	2	210	0	0	0	5	5	53.2526194444444	-6.16159722222222	Baile Uí Bhraonáin 
46	Laughanstown	LAU	2	220	1	0	0	5	5	53.2506055555556	-6.15500555555556	Baile an Locháin
47	Cherrywood	CHE	2	230	1	0	0	5	5	53.2453333333333	-6.14585277777778	Coill na Silíní
48	Brides Glen	BRI	2	240	1	0	0	5	5	53.242075	-6.14288611111111	Gleann Bhríde
49	Fettercairn	FET	1	280	1	0	1	4	4	53.29351885	-6.395553516667	Fothair Chardain
50	Cheeverstown	CVN	1	290	1	1	1	4	4	53.290982416667	-6.4068485	Baile an tSíbhrigh
51	Citywest Campus	CIT	1	300	1	0	1	4	4	53.28783255	-6.418914583333	Campas Gnó Iarthar na Cathrach
52	Fortunestown	FOR	1	310	1	0	1	4	4	53.284250633333	-6.42460165	Baile Uí Fhoirtcheirn
53	Saggart	SAG	1	320	1	0	1	4	4	53.28467885	-6.43776255	Teach Sagard
54	George's Dock	GDK	1	40	1	0	0	1	0	53.349528	-6.247575	Duga Sheoirse
55	Mayor Square - NCI	MYS	1	30	1	0	0	0	0	53.3492472222222	-6.24339444444444	Cearnóg an Mhéara - CNÉ
56	Spencer Dock	SDK	1	20	1	0	0	0	0	53.3488222222222	-6.23714722222222	Duga Spencer
57	The Point	TPT	1	10	1	0	0	0	0	53.34835	-6.22925833333333	Iosta na Rinne
58	Depot	DEP	1	580	0	0	0	1	1	53.3146583333333	-6.36995833333333	
