SMALL_AREA,OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,GEOGID,ESRI_OID,Shape__Are,Shape__Len,Cluster
267006001,1441,4c07d11d-fcf7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3001,267006,Ballinascorney,267006001,A267006001,1441,0.002973691,0.318605627,5
267035001,1442,4c07d11d-fcf8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3003,267035,Bohernabreena,267035001,A267035001,1442,0.003732405,0.281264991,5
267107002,1443,4c07d11d-fcf9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3018,267107,Newcastle,267107002,A267107002,1443,0.001782382,0.28658678,5
267092001,1445,4c07d11d-fcfb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5057,267092,Glencullen,267092001,A267092001,1445,0.001510271,0.190411421,5
267158009/02,1450,4c07d11d-fd00-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4041,267158,The Ward,267158009,A267158009,1450,0.001601032,0.274844928,5
267066001,1451,4c07d11d-fd01-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4020,267066,Dubber,267066001,A267066001,1451,0.001529531,0.260984317,4
267002034,3390,4c07d11e-0695-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4002,267002,Balbriggan Rural,267002034,A267002034,3390,0.000604844,0.134671083,4
267091003,3583,4c07d11e-063c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4021,267091,Garristown,267091003,A267091003,3583,0.001630666,0.280917868,5
267091002,3650,4c07d11e-063d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4021,267091,Garristown,267091002,A267091002,3650,0.000240783,0.099172336,5
267091004,3651,4c07d11e-063e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4021,267091,Garristown,267091004,A267091004,3651,0.000936667,0.182876211,5
267093002,3653,4c07d11e-0640-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4022,267093,Hollywood,267093002,A267093002,3653,0.000765995,0.174347882,5
267133001,3654,4c07d11e-0641-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4038,267133,Swords-Lissenhall,267133001,A267133001,3654,0.00096112,0.197964699,5
267065001,3655,4c07d11e-0642-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4019,267065,Donabate,267065001,A267065001,3655,0.001169548,0.202054237,5
267133031,3656,4c07d11e-0643-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4038,267133,Swords-Lissenhall,267133031,A267133031,3656,0.0013208,0.224428032,4
267014003,3657,4c07d11e-0644-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4006,267014,Ballyboghil,267014003,A267014003,3657,0.00053381,0.122916817,5
267014001,3658,4c07d11e-0645-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4006,267014,Ballyboghil,267014001,A267014001,3658,0.00066936,0.186794328,5
267104001,3659,4c07d11e-0646-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4028,267104,Lusk,267104001,A267104001,3659,0.001065618,0.244696832,5
267104002,3660,4c07d11e-0647-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4028,267104,Lusk,267104002,A267104002,3660,0.001136569,0.271547015,5
267102001,3802,4c07d11e-0da3-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4027,267102,Lucan North,267102001,A267102001,3802,0.001240184,0.226878611,4
267101018,3803,4c07d11e-0da4-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3016,267101,Lucan Heights,267101018,A267101018,3803,0.000272163,0.100239372,7
267098002,3835,4c07d11e-0609-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4025,267098,Kilsallaghan,267098002,A267098002,3835,0.001098254,0.240369037,5
267054002,3836,4c07d11e-060a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4018,267054,Clonmethan,267054002,A267054002,3836,0.000436672,0.117567149,3
267054001,3837,4c07d11e-0633-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4018,267054,Clonmethan,267054001,A267054001,3837,0.001746728,0.267216342,5
267014002,3838,4c07d11e-0634-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4006,267014,Ballyboghil,267014002,A267014002,3838,0.001449245,0.264307807,4
267034001/01,3881,4c07d11e-0da5-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,FL,Fingal,4015,267034,Blanchardstown-Tyrrelstown,267034001,A267034001,3881,0.000239168,0.100386856,2
268118001,3882,4c07d11e-0da7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2079,268118,Phoenix Park,268118001,A268118001,3882,0.0009378,0.148279279,3
