OBJECTID,Cluster
1441,5
1442,5
1443,5
1445,5
1450,5
1451,4
3390,4
3583,5
3650,5
3651,5
3653,5
3654,5
3655,5
3656,4
3657,5
3658,5
3659,5
3660,5
3802,4
3803,7
3835,5
3836,3
3837,5
3838,4
3881,2
3882,3
2261,5
2263,5
2264,5
2275,5
2276,5
2277,3
4145,2
4146,3
4148,2
4149,5
4150,3
4151,5
4152,4
4153,7
4154,3
4155,3
4156,4
4343,4
4344,5
4345,4
4346,5
4347,4
4348,5
4349,5
4350,2
7026,3
7040,4
7041,5
7042,4
7043,5
7044,5
7046,1
7126,4
7127,6
7132,6
7133,3
7134,3
7135,1
7136,4
7137,4
7138,2
7139,2
7140,2
7399,5
7400,2
7401,4
7453,4
7454,5
7834,4
6361,5
6362,5
6364,5
6365,4
6366,3
6367,5
6368,4
6369,5
6439,5
6440,3
6441,4
6442,4
6443,5
6444,4
6445,5
6446,5
6447,5
6448,5
6449,4
6557,2
6558,4
6559,4
6739,4
6740,2
6741,6
6743,4
6744,5
6745,4
6746,4
6747,4
6810,4
6816,4
6817,2
6818,2
6819,4
6820,4
6821,4
6822,2
6823,7
6824,5
6829,2
6830,2
6831,4
6832,3
6833,5
6834,4
6835,4
6836,1
6837,7
6840,4
6841,4
6843,5
6845,2
6846,4
6847,5
6848,5
6849,5
6913,3
6914,2
6915,1
6917,4
6918,4
6919,4
6920,5
6923,2
6925,4
6927,5
6928,5
6929,4
6930,3
5552,5
5553,4
5554,5
5555,4
5556,4
5557,4
5558,5
5559,5
5560,5
5561,5
5562,3
5563,3
5564,6
5565,4
8344,4
8345,4
8353,7
8354,4
8355,4
8383,7
8384,3
8385,2
8386,4
8387,4
8388,3
8389,2
8390,6
8391,4
8395,4
8396,4
8397,7
8398,4
8399,4
8400,7
8401,3
8402,5
8422,3
8423,3
8424,4
8427,4
8428,3
8429,4
8430,5
8431,4
8432,4
8433,7
8434,7
8435,6
8440,4
8443,4
8454,4
8464,3
8465,4
8466,4
8467,4
8468,6
8469,4
8470,5
8471,6
8472,7
8476,3
8477,5
8481,3
8482,4
8505,4
8506,3
8507,4
8508,3
8516,7
8517,6
8518,6
8519,5
8520,5
8521,5
8522,5
8523,5
8524,2
8525,3
8526,1
8527,2
8528,3
8532,4
8533,4
8554,2
8555,4
8556,4
8557,3
8558,4
8559,3
8560,2
8561,3
8562,2
8563,5
8564,4
8565,3
8566,7
8567,2
8568,6
8569,3
8570,2
8571,2
8572,3
8573,5
8578,4
8579,4
8580,1
8581,4
8582,4
8583,4
8584,3
8585,3
8586,5
8587,2
8588,4
8589,4
8590,4
8591,4
8597,2
8598,3
8599,4
8600,3
8601,2
8602,4
8603,4
8604,4
8605,4
8606,4
8607,4
8608,4
8609,4
8610,4
8611,4
8612,1
8613,4
8614,4
8615,5
8616,4
8617,4
8618,1
8619,4
8620,4
8621,4
8622,4
8623,2
8624,2
8625,5
8626,4
8627,2
8628,5
8629,4
8630,4
8631,4
8632,4
8633,4
8634,3
8635,3
8636,4
8637,4
8638,4
8639,4
8640,4
8641,4
8642,3
8643,2
8644,4
8645,4
8646,4
8647,4
8648,7
8649,7
8653,4
8654,3
8655,4
8656,5
8657,5
8658,3
8659,4
8660,3
8661,4
8662,3
8663,5
8664,6
8665,4
8666,4
8667,3
8668,4
8669,3
8670,3
8671,3
8672,4
8673,4
8674,7
8675,3
8676,7
8677,4
8678,4
8679,4
8680,2
8681,4
8682,4
8683,4
8684,4
8685,4
8686,4
8687,2
8688,4
8689,3
8690,4
8691,3
8692,4
8693,4
8694,4
8695,4
8696,3
8697,4
8698,4
8699,4
8701,7
8702,6
8703,7
8704,7
8705,4
8706,5
8708,1
8709,4
8710,4
8711,3
8712,3
8713,6
8714,3
8715,2
8716,5
8719,4
8720,3
8721,3
8722,4
8723,4
8724,4
8725,3
8726,3
8727,3
8728,3
8729,4
8730,2
8731,4
8732,1
8733,1
8734,7
8735,4
8736,2
8737,2
8738,6
8739,4
8740,1
8743,4
8744,7
8747,3
8748,6
8749,3
8750,7
8751,7
8753,2
8754,3
8755,7
8761,5
8765,4
8766,4
8767,4
8768,4
8792,4
8793,5
8794,4
8795,4
8796,5
8797,4
8798,4
8801,4
8802,4
8803,4
8804,5
8812,5
8813,4
8814,4
8815,4
8844,3
8845,4
8846,4
8847,4
8848,4
8849,4
8852,5
8862,5
8869,2
8870,2
8885,4
8886,4
8887,4
8888,4
8889,3
8906,5
8908,3
8909,4
8910,5
8911,7
8924,7
8994,4
8995,2
8996,4
9024,2
9138,6
9139,5
9172,4
9174,1
9209,5
9216,5
9217,2
9218,4
9219,5
