SMALL_AREA,Cluster
267006001,5
267035001,5
267107002,5
267092001,5
267158009/02,5
267066001,4
267002034,4
267091003,5
267091002,5
267091004,5
267093002,5
267133001,5
267065001,5
267133031,4
267014003,5
267014001,5
267104001,5
267104002,5
267102001,4
267101018,7
267098002,5
267054002,3
267054001,5
267014002,4
267034001/01,2
268118001,3
267091001,5
267093001,5
267094001/267094002/267094005,5
267016001,5
267016002,5
267065027/267065031,3
267027016/02,2
267027002,3
267158012,2
267158001,5
267066016,3
267098001,5
267098005,4
268108026/268108027,7
268126006,3
267001009/02,3
267005001,4
267159001,4
267092003,5
267092002,4
267092022,5
267120001,4
267038003,5
268110015,5
267103001/01,2
268118002,3
267092055/01,4
267120004,5
267120002,4
267120008,5
267122003,5
268148004/01,1
267041015,4
267032011,6
267034001/04,6
267098003,3
267098004,3
268049004,1
268042017,4
268041007,4
267001010/02,2
268121002,2
267005005,2
267006002,5
267085011,2
267083001,4
267112008/02,4
267107003,5
267111005,4
267098006,5
267054003,5
267093004,5
267104019,4
267065029,3
267118005,5
267094008,4
267094003,5
267065008,5
267065010,3
267104015,4
267104017,4
267104003,5
267002001,4
267093003,5
267002041,5
267002002,5
267094004,5
267094006/01,4
267094006/02,2
267094007,4
267094009,4
267107008,4
267138002,2
267138018,6
267120014,4
267038007,5
267038004,4
267097001,4
267010001,4
267087003,4
267095004,4
267004010,2
267004011,2
267095005,4
267095027,4
267095019/267095021,4
267132011,2
267099015,7
267099021,5
267103001/02,2
267049001,2
267146005,4
267137001,3
267083002,5
267153001,4
267142014,4
267075008,1
267067003,7
267103002,4
267103003,4
267028004/02,5
267099020,2
267099028/02,4
267099031,5
267099028/01,5
267131001,5
267051001,3
267050037,2
268040005,1
267092005,4
267092004,4
267092021,4
267092056,5
267029013/01,2
267040060,4
267132044,5
267134007/267134025,5
267106005,4
267111001,3
267112001,5
267112002,4
267119001,5
267119003,4
267035002,4
267035011,4
267035012,5
267107001,5
267119002,5
267107005/02,5
267107005/01,3
267053001,3
267048001,6
267047006,4
267090003,4
267039007,4
268070008,7
268048015,4
268043001,4
267160006,7
