Year,Business,Statistic,Count
2008,Mining and quarrying (B),Active Enterprise (Number),35
2008,Manufacturing (C),Active Enterprise (Number),548
2008,"Electricity, gas, steam and air conditioning supply (D)",Active Enterprise (Number),
2008,"Water supply, sewerage, waste management and remediation activities (E)",Active Enterprise (Number),
2008,Construction (F),Active Enterprise (Number),2921
2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Active Enterprise (Number),1662
2008,Transportation and storage (H),Active Enterprise (Number),649
2008,Accommodation and food service activities (I),Active Enterprise (Number),865
2008,Information and communication (J),Active Enterprise (Number),158
2008,Financial and insurance activities excluding activities of holding companies (K-642),Active Enterprise (Number),106
2008,Real estate activities (L),Active Enterprise (Number),272
2008,"Professional, scientific and technical activities (M)",Active Enterprise (Number),647
2008,Administrative and support service activities (N),Active Enterprise (Number),402
2008,Education (P),Active Enterprise (Number),324
2008,"ICT services (261 to 264,268,465,582,61,62,631)",Active Enterprise (Number),114
2008,"Business economy excluding activities of holding companies (B to N,-642)",Active Enterprise (Number),8298
2009,Mining and quarrying (B),Active Enterprise (Number),29
2009,Manufacturing (C),Active Enterprise (Number),541
2009,"Electricity, gas, steam and air conditioning supply (D)",Active Enterprise (Number),12
2009,"Water supply, sewerage, waste management and remediation activities (E)",Active Enterprise (Number),27
2009,Construction (F),Active Enterprise (Number),2587
2009,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Active Enterprise (Number),1666
2009,Transportation and storage (H),Active Enterprise (Number),664
2009,Accommodation and food service activities (I),Active Enterprise (Number),852
2009,Information and communication (J),Active Enterprise (Number),160
2009,Financial and insurance activities excluding activities of holding companies (K-642),Active Enterprise (Number),103
2009,Real estate activities (L),Active Enterprise (Number),302
2009,"Professional, scientific and technical activities (M)",Active Enterprise (Number),650
2009,Administrative and support service activities (N),Active Enterprise (Number),408
2009,Education (P),Active Enterprise (Number),323
2009,"ICT services (261 to 264,268,465,582,61,62,631)",Active Enterprise (Number),117
2009,"Business economy excluding activities of holding companies (B to N,-642)",Active Enterprise (Number),8001
2010,Mining and quarrying (B),Active Enterprise (Number),29
2010,Manufacturing (C),Active Enterprise (Number),530
2010,"Electricity, gas, steam and air conditioning supply (D)",Active Enterprise (Number),15
2010,"Water supply, sewerage, waste management and remediation activities (E)",Active Enterprise (Number),28
2010,Construction (F),Active Enterprise (Number),2242
2010,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Active Enterprise (Number),1615
2010,Transportation and storage (H),Active Enterprise (Number),671
2010,Accommodation and food service activities (I),Active Enterprise (Number),835
2010,Information and communication (J),Active Enterprise (Number),168
2010,Financial and insurance activities excluding activities of holding companies (K-642),Active Enterprise (Number),107
2010,Real estate activities (L),Active Enterprise (Number),334
2010,"Professional, scientific and technical activities (M)",Active Enterprise (Number),657
2010,Administrative and support service activities (N),Active Enterprise (Number),383
2010,Education (P),Active Enterprise (Number),349
2010,"ICT services (261 to 264,268,465,582,61,62,631)",Active Enterprise (Number),120
2010,"Business economy excluding activities of holding companies (B to N,-642)",Active Enterprise (Number),7614
2011,Mining and quarrying (B),Active Enterprise (Number),29
2011,Manufacturing (C),Active Enterprise (Number),535
2011,"Electricity, gas, steam and air conditioning supply (D)",Active Enterprise (Number),17
2011,"Water supply, sewerage, waste management and remediation activities (E)",Active Enterprise (Number),31
2011,Construction (F),Active Enterprise (Number),2103
2011,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Active Enterprise (Number),1623
2011,Transportation and storage (H),Active Enterprise (Number),645
