Sector,Count
"Agriculture, forestry and fishing (A)",6351
Mining and quarrying (B),238
Manufacturing (C),9207
"Electricity, gas, steam and air conditioning supply (D)",286
"Water supply; sewerage, waste management and remediation activities (E)",629
Construction (F),6995
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),18839
Transportation and storage (H),3320
Accommodation and food service activities (I),7007
Information and communication (J),3434
Financial and insurance activities (K),2993
Real estate activities (L),1032
"Professional, scientific and technical activities (M)",3415
Administrative and support service activities (N),4550
Public administration and defence; compulsory social security (O),8694
Education (P),12347
Human health and social work activities (Q),17062
"Arts, entertainment and recreation (R)",2188
Other service activities (S),2486
